Project,ReleaseVersion,ReleaseDate,ReleaseDate2,TotalFiles,JavaCFiles,JNINativeFiles,,BuggyJavac,InducingJavac,SmellyJavac,,JNIBuggy,JNIInducing,JNISmelly,,JavacBuggySmelly,JavaInducingSmelly,,JNIBuggySmeely,JNIInducingSmelly,,TotalTIMEFIX,MINTIMEFIX,MEANTIMEFIX,MEDIANTIMEFIX,MODETIMEFIX,,TotalChangedINDUCING,TotalADDEDINDUCING,TotalREMOVEDINDUCING,,TotalChangedFIX,TotalADDEDFIX,TotalREMOVEDFIX,excessiveInterlangCommunication,Toomuchclustring,ToomuchScattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,,excessiveInterlangCommunicationIND,ToomuchclustringIND,Too_much_ScatteringIND,UnusedMethodDeclarationIND,UnusedMethodImplementationIND,UnusedParameterIND,AssumingSafeReturnValueIND,ExcessiveObjectsIND,NotHandlingExceptionsIND,NotCachingObjectsIND,NotSecuringLibrariesIND,HardCodingLibrariesIND,NotUsingRelativePathIND,MemoryManagementMismatchIND,LocalReferencesAbuseIND,,excessiveInterlangCommunicationFIX,Too_much_clustringFIX,Too_much_ScatteringFIX,UnusedMethodDeclarationFIX,UnusedMethodImplementationFIX,UnusedParameterFIX,AssumingSafeReturnValueFIX,ExcessiveObjectsFIX,NotHandlingExceptionsFIX,NotCachingObjectsFIX,NotSecuringLibrariesFIX,HardCodingLibrariesFIX,NotUsingRelativePathFIX,MemoryManagementMismatchFIX,LocalReferencesAbuseFIX
google/conscrypt,1.0.0.RC11,9/25/2017,2017-09-25T18:13:57Z,447,354,146,,0,5,48,,0,3,48,,0,2,,0,2,,0,0,0,0,0,,1648,389,132,0,0,0,,4,1,0,269,0,185,8,0,11,0,5,0,8,1,4,,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/conscrypt,1.0.0.RC14,12/11/2017,2017-12-11T13:46:58Z,447,354,122,,0,10,4,,0,4,4,,0,2,,0,2,,0,0,0,0,0,,7450,1460,1063,0,0,0,,0,0,0,214,0,0,3,0,5,0,0,0,0,1,4,,0,0,0,214,0,0,0,0,0,0,0,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/conscrypt,1.0.0.RC2,5/1/2017,2017-03-01T17:53:26Z,447,354,139,,0,4,29,,0,3,29,,0,2,,0,2,,0,0,0,0,0,,418,22,22,0,0,0,,4,1,0,256,0,156,0,0,0,0,5,0,8,0,0,,4,1,0,256,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/conscrypt,1.0.0.RC8,6/15/2017,2017-06-15T14:24:13Z,447,354,142,,0,45,37,,0,24,37,,0,8,,0,8,,0,0,0,0,0,,293752,8248,5717,0,0,0,,4,1,0,260,0,171,0,0,0,0,5,0,8,0,0,,4,1,0,260,0,22,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/conscrypt,1.0.1,2/14/2018,2018-02-14T10:23:14Z,447,354,147,,0,14,49,,0,8,49,,0,4,,0,4,,0,0,0,0,0,,42442,620,40,0,0,0,,4,1,0,272,0,191,3,0,5,0,5,0,8,1,4,,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/conscrypt,1.0.2,5/10/2018,2018-05-10T13:02:13Z,447,354,147,,0,0,49,,0,0,49,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,4,1,0,272,0,191,3,0,5,0,5,0,8,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/conscrypt,1.1.1,5/1/2018,2018-05-01T10:42:52Z,447,354,152,,0,6,54,,0,2,54,,0,0,,0,0,,0,0,0,0,0,,40554,319,4,0,0,0,,4,1,0,275,0,337,3,0,5,0,5,0,8,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/conscrypt,1.2.0,8/1/2018,2018-08-01T15:02:36Z,447,354,158,,0,4,60,,0,1,60,,0,1,,0,1,,0,0,0,0,0,,26264,50,22,0,0,0,,2,1,0,279,0,352,3,0,5,0,4,0,6,1,4,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/conscrypt,1.4.2,12/11/1018,2018-12-11T10:28:11Z,447,354,158,,0,3,61,,0,2,61,,0,2,,0,2,,0,0,0,0,0,,235,51,4,0,0,0,,2,1,0,276,0,355,3,0,5,0,4,0,6,1,4,,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/conscrypt,2.1.0,4/3/2019,2019-04-03T10:36:23Z,447,354,159,,0,0,64,,0,0,64,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,2,1,0,276,0,396,3,0,5,0,4,0,6,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
