Project,ReleaseVersion,ReleaseDate,ReleaseDate2,TotalFiles,JavaCFiles,JNINativeFiles,,BuggyJavac,InducingJavac,SmellyJavac,,JNIBuggy,JNIInducing,JNISmelly,,JavacBuggySmelly,JavaInducingSmelly,,JNIBuggySmeely,JNIInducingSmelly,,TotalTIMEFIX,MINTIMEFIX,MEANTIMEFIX,MEDIANTIMEFIX,MODETIMEFIX,,TotalChangedINDUCING,TotalADDEDINDUCING,TotalREMOVEDINDUCING,,TotalChangedFIX,TotalADDEDFIX,TotalREMOVEDFIX,excessiveInterlangCommunication,Toomuchclustring,ToomuchScattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,,excessiveInterlangCommunicationIND,ToomuchclustringIND,Too_much_ScatteringIND,UnusedMethodDeclarationIND,UnusedMethodImplementationIND,UnusedParameterIND,AssumingSafeReturnValueIND,ExcessiveObjectsIND,NotHandlingExceptionsIND,NotCachingObjectsIND,NotSecuringLibrariesIND,HardCodingLibrariesIND,NotUsingRelativePathIND,MemoryManagementMismatchIND,LocalReferencesAbuseIND,,excessiveInterlangCommunicationFIX,Too_much_clustringFIX,Too_much_ScatteringFIX,UnusedMethodDeclarationFIX,UnusedMethodImplementationFIX,UnusedParameterFIX,AssumingSafeReturnValueFIX,ExcessiveObjectsFIX,NotHandlingExceptionsFIX,NotCachingObjectsFIX,NotSecuringLibrariesFIX,HardCodingLibrariesFIX,NotUsingRelativePathFIX,MemoryManagementMismatchFIX,LocalReferencesAbuseFIX
luben/zstd-jni,0.4.4,12/17/2015,2015-12-17T11:57:33Z,122,89,21,,2,19,4,,0,5,4,,0,3,,0,3,,0,0,0,0,0,,126263,25455,1865,,87,9,4,10,0,2,0,0,0,0,0,0,0,1,0,0,0,0,,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luben/zstd-jni,1.3.0-1,7/9/2017,2017-07-09T22:55:09Z,122,89,21,,0,0,22,,0,0,22,,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,28,3,3,0,18,20,11,0,13,0,2,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luben/zstd-jni,1.3.2-2,10/19/2017,2017-10-17T00:24:45Z,122,89,21,,0,0,22,,0,0,22,,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,28,3,3,0,18,20,11,0,13,0,2,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luben/zstd-jni,1.3.3-1,12/26/2017,2017-12-26T09:44:33Z,122,89,21,,0,8,23,,0,2,23,,0,1,,0,1,,0,0,0,0,0,,159596,8168,4911,,0,0,0,28,3,3,0,20,22,12,0,14,0,2,2,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luben/zstd-jni,1.3.4-1,3/27/2018,2018-03-28T00:29:32Z,122,89,21,,0,10,28,,0,7,28,,0,6,,0,6,,0,0,0,0,0,,74780,3417,1955,,0,0,0,28,3,3,0,19,46,12,0,14,0,2,2,0,12,0,,0,0,0,0,0,26,2,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luben/zstd-jni,1.3.4-8,5/31/2018,2018-06-01T01:12:09Z,122,89,21,,0,0,28,,0,0,28,,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,30,3,3,0,18,46,12,0,14,0,2,2,0,12,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luben/zstd-jni,1.3.5-3,8/11/2018,2018-08-11T05:26:26Z,122,89,21,,0,5,28,,0,5,28,,0,4,,0,4,,0,0,0,0,0,,213,95,61,,0,0,0,38,5,2,0,19,54,32,0,34,0,2,2,0,12,0,,22,2,0,0,19,0,2,0,2,0,2,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luben/zstd-jni,1.3.7-1,10/21/2018,2018-10-21T22:26:04Z,122,89,21,,0,0,28,,0,0,28,,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,38,5,2,0,22,54,32,0,34,0,2,2,0,12,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luben/zstd-jni,1.3.8-1,1/8/2019,2019-01-08T14:31:03Z,122,89,21,,0,0,28,,0,0,28,,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,38,5,2,4,20,56,32,0,34,0,2,2,0,12,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luben/zstd-jni,1.4.0-1,4/16/2019,2019-04-17T03:33:26Z,122,89,21,,0,0,29,,0,0,29,,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,31,3,3,4,18,58,17,0,19,0,2,2,0,12,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luben/zstd-jni,master,8/19/2019,2019-07-27T09:03:36Z,122,89,21,,0,0,29,,0,0,29,,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,31,3,3,27,18,58,17,0,19,0,2,2,0,12,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
