System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,pvalue
conscrypt,conscrypt-1.1.1,excessiveInterlangCommunication,1,41,0,12,inf,1.0
conscrypt,conscrypt-1.1.1,Toomuchclustring,1,41,0,12,inf,1.0
conscrypt,conscrypt-1.1.1,ToomuchScattering,0,42,0,12,nan,1.0
conscrypt,conscrypt-1.1.1,UnusedMethodDeclaration,1,41,0,12,inf,1.0
conscrypt,conscrypt-1.1.1,UnusedMethodImplementation,0,42,0,12,nan,1.0
conscrypt,conscrypt-1.1.1,UnusedParameter,38,4,10,2,1.9,0.6047566196
conscrypt,conscrypt-1.1.1,AssumingSafeReturnValue,1,41,0,12,inf,1.0
conscrypt,conscrypt-1.1.1,ExcessiveObjects,0,42,0,12,nan,1.0
conscrypt,conscrypt-1.1.1,NotHandlingExceptions,1,41,0,12,inf,1.0
conscrypt,conscrypt-1.1.1,NotCachingObjects,0,42,0,12,nan,1.0
conscrypt,conscrypt-1.1.1,NotSecuringLibraries,1,41,2,10,0.12195121951219512,0.1206257055
conscrypt,conscrypt-1.1.1,HardCodingLibraries,0,42,0,12,nan,1.0
conscrypt,conscrypt-1.1.1,NotUsingRelativePath,0,42,2,10,0.0,0.04612159329
conscrypt,conscrypt-1.1.1,MemoryManagementMismatch,1,41,0,12,inf,1.0
conscrypt,conscrypt-1.1.1,LocalReferencesAbuse,1,41,0,12,inf,1.0
conscrypt,conscrypt-1.0.2,excessiveInterlangCommunication,1,37,0,11,inf,1.0
conscrypt,conscrypt-1.0.2,Toomuchclustring,1,37,0,11,inf,1.0
conscrypt,conscrypt-1.0.2,ToomuchScattering,0,38,0,11,nan,1.0
conscrypt,conscrypt-1.0.2,UnusedMethodDeclaration,1,37,0,11,inf,1.0
conscrypt,conscrypt-1.0.2,UnusedMethodImplementation,0,38,0,11,nan,1.0
conscrypt,conscrypt-1.0.2,UnusedParameter,34,4,9,2,1.8888888888888888,0.6051605656
conscrypt,conscrypt-1.0.2,AssumingSafeReturnValue,1,37,0,11,inf,1.0
conscrypt,conscrypt-1.0.2,ExcessiveObjects,0,38,0,11,nan,1.0
conscrypt,conscrypt-1.0.2,NotHandlingExceptions,1,37,0,11,inf,1.0
conscrypt,conscrypt-1.0.2,NotCachingObjects,0,38,0,11,nan,1.0
conscrypt,conscrypt-1.0.2,NotSecuringLibraries,1,37,2,9,0.12162162162162163,0.1223947026
conscrypt,conscrypt-1.0.2,HardCodingLibraries,0,38,0,11,nan,1.0
conscrypt,conscrypt-1.0.2,NotUsingRelativePath,0,38,2,9,0.0,0.04676870748
conscrypt,conscrypt-1.0.2,MemoryManagementMismatch,1,37,0,11,inf,1.0
conscrypt,conscrypt-1.0.2,LocalReferencesAbuse,1,37,0,11,inf,1.0
conscrypt,conscrypt-1.0.0.RC8,excessiveInterlangCommunication,1,25,0,11,inf,1.0
conscrypt,conscrypt-1.0.0.RC8,Toomuchclustring,1,25,0,11,inf,1.0
conscrypt,conscrypt-1.0.0.RC8,ToomuchScattering,0,26,0,11,nan,1.0
conscrypt,conscrypt-1.0.0.RC8,UnusedMethodDeclaration,1,25,0,11,inf,1.0
conscrypt,conscrypt-1.0.0.RC8,UnusedMethodImplementation,0,26,0,11,nan,1.0
conscrypt,conscrypt-1.0.0.RC8,UnusedParameter,24,2,9,2,2.6666666666666665,0.5669619199
conscrypt,conscrypt-1.0.0.RC8,AssumingSafeReturnValue,0,26,0,11,nan,1.0
conscrypt,conscrypt-1.0.0.RC8,ExcessiveObjects,0,26,0,11,nan,1.0
conscrypt,conscrypt-1.0.0.RC8,NotHandlingExceptions,0,26,0,11,nan,1.0
conscrypt,conscrypt-1.0.0.RC8,NotCachingObjects,0,26,0,11,nan,1.0
conscrypt,conscrypt-1.0.0.RC8,NotSecuringLibraries,1,25,2,9,0.18,0.2052767053
conscrypt,conscrypt-1.0.0.RC8,HardCodingLibraries,0,26,0,11,nan,1.0
conscrypt,conscrypt-1.0.0.RC8,NotUsingRelativePath,0,26,2,9,0.0,0.08258258258
conscrypt,conscrypt-1.0.0.RC8,MemoryManagementMismatch,0,26,0,11,nan,1.0
conscrypt,conscrypt-1.0.0.RC8,LocalReferencesAbuse,0,26,0,11,nan,1.0
