System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,p-value
conscrypt,conscrypt-1.1.1,excessiveInterlangCommunication,0,0,54,54,nan,1.0
conscrypt,conscrypt-1.1.1,Toomuchclustring,0,0,54,54,nan,1.0
conscrypt,conscrypt-1.1.1,ToomuchScattering,0,0,54,54,nan,1.0
conscrypt,conscrypt-1.1.1,UnusedMethodDeclaration,0,0,54,54,nan,1.0
conscrypt,conscrypt-1.1.1,UnusedMethodImplementation,0,0,54,54,nan,1.0
conscrypt,conscrypt-1.1.1,UnusedParameter,0,0,54,54,nan,1.0
conscrypt,conscrypt-1.1.1,NotHandlingExceptions,0,0,54,54,nan,1.0
conscrypt,conscrypt-1.1.1,NotSecuringLibraries,0,0,54,54,nan,1.0
conscrypt,conscrypt-1.1.1,HardCodingLibraries,0,0,54,54,nan,1.0
conscrypt,conscrypt-1.1.1,NotUsingRelativePath,0,0,54,54,nan,1.0
conscrypt,conscrypt-1.1.1,MemoryManagementMismatch,0,0,54,54,nan,1.0
conscrypt,conscrypt-1.1.1,LocalReferencesAbuse,0,0,54,54,nan,1.0
conscrypt,conscrypt-1.0.0.RC14,excessiveInterlangCommunication,0,2,4,2,0.0,0.42857
conscrypt,conscrypt-1.0.0.RC14,Toomuchclustring,0,2,4,2,0.0,0.42857
conscrypt,conscrypt-1.0.0.RC14,ToomuchScattering,0,2,4,2,0.0,0.42857
conscrypt,conscrypt-1.0.0.RC14,UnusedMethodDeclaration,1,1,3,3,1.0,1.0
conscrypt,conscrypt-1.0.0.RC14,UnusedMethodImplementation,0,2,4,2,0.0,0.42857
conscrypt,conscrypt-1.0.0.RC14,UnusedParameter,0,2,4,2,0.0,0.42857
conscrypt,conscrypt-1.0.0.RC14,NotHandlingExceptions,0,2,4,2,0.0,0.42857
conscrypt,conscrypt-1.0.0.RC14,NotSecuringLibraries,0,2,4,2,0.0,0.42857
conscrypt,conscrypt-1.0.0.RC14,HardCodingLibraries,0,2,4,2,0.0,0.42857
conscrypt,conscrypt-1.0.0.RC14,NotUsingRelativePath,0,2,4,2,0.0,0.42857
conscrypt,conscrypt-1.0.0.RC14,MemoryManagementMismatch,0,2,4,2,0.0,0.42857
conscrypt,conscrypt-1.0.0.RC14,LocalReferencesAbuse,1,1,3,3,1.0,1.0
conscrypt,conscrypt-1.0.0.RC11,excessiveInterlangCommunication,0,2,48,46,0.0,0.49474
conscrypt,conscrypt-1.0.0.RC11,Toomuchclustring,0,2,48,46,0.0,0.49474
conscrypt,conscrypt-1.0.0.RC11,ToomuchScattering,0,2,48,46,0.0,0.49474
conscrypt,conscrypt-1.0.0.RC11,UnusedMethodDeclaration,0,2,48,46,0.0,0.49474
conscrypt,conscrypt-1.0.0.RC11,UnusedMethodImplementation,0,2,48,46,0.0,0.49474
conscrypt,conscrypt-1.0.0.RC11,UnusedParameter,2,0,46,48,inf,0.49474
conscrypt,conscrypt-1.0.0.RC11,NotHandlingExceptions,0,2,48,46,0.0,0.49474
conscrypt,conscrypt-1.0.0.RC11,NotSecuringLibraries,0,2,48,46,0.0,0.49474
conscrypt,conscrypt-1.0.0.RC11,HardCodingLibraries,0,2,48,46,0.0,0.49474
conscrypt,conscrypt-1.0.0.RC11,NotUsingRelativePath,0,2,48,46,0.0,0.49474
conscrypt,conscrypt-1.0.0.RC11,MemoryManagementMismatch,0,2,48,46,0.0,0.49474
conscrypt,conscrypt-1.0.0.RC11,LocalReferencesAbuse,1,1,47,47,1.0,1.0
conscrypt,conscrypt-1.0.1,excessiveInterlangCommunication,0,4,49,45,0.0,0.11731
conscrypt,conscrypt-1.0.1,Toomuchclustring,0,4,49,45,0.0,0.11731
conscrypt,conscrypt-1.0.1,ToomuchScattering,0,4,49,45,0.0,0.11731
conscrypt,conscrypt-1.0.1,UnusedMethodDeclaration,0,4,49,45,0.0,0.11731
conscrypt,conscrypt-1.0.1,UnusedMethodImplementation,0,4,49,45,0.0,0.11731
conscrypt,conscrypt-1.0.1,UnusedParameter,4,0,45,49,inf,0.11731
conscrypt,conscrypt-1.0.1,NotHandlingExceptions,0,4,49,45,0.0,0.11731
conscrypt,conscrypt-1.0.1,NotSecuringLibraries,0,4,49,45,0.0,0.11731
conscrypt,conscrypt-1.0.1,HardCodingLibraries,0,4,49,45,0.0,0.11731
conscrypt,conscrypt-1.0.1,NotUsingRelativePath,0,4,49,45,0.0,0.11731
conscrypt,conscrypt-1.0.1,MemoryManagementMismatch,0,4,49,45,0.0,0.11731
conscrypt,conscrypt-1.0.1,LocalReferencesAbuse,1,3,48,46,0.3194444444444444,0.61715
conscrypt,conscrypt-1.2.0,excessiveInterlangCommunication,0,1,60,59,0.0,1.0
conscrypt,conscrypt-1.2.0,Toomuchclustring,0,1,60,59,0.0,1.0
conscrypt,conscrypt-1.2.0,ToomuchScattering,0,1,60,59,0.0,1.0
conscrypt,conscrypt-1.2.0,UnusedMethodDeclaration,0,1,60,59,0.0,1.0
conscrypt,conscrypt-1.2.0,UnusedMethodImplementation,0,1,60,59,0.0,1.0
conscrypt,conscrypt-1.2.0,UnusedParameter,1,0,59,60,inf,1.0
conscrypt,conscrypt-1.2.0,NotHandlingExceptions,0,1,60,59,0.0,1.0
conscrypt,conscrypt-1.2.0,NotSecuringLibraries,0,1,60,59,0.0,1.0
conscrypt,conscrypt-1.2.0,HardCodingLibraries,0,1,60,59,0.0,1.0
conscrypt,conscrypt-1.2.0,NotUsingRelativePath,0,1,60,59,0.0,1.0
conscrypt,conscrypt-1.2.0,MemoryManagementMismatch,0,1,60,59,0.0,1.0
