System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,p-value
conscrypt,conscrypt-1.1.1,excessiveInterlangCommunication,0,2,152,150,0.0,0.49835
conscrypt,conscrypt-1.1.1,Toomuchclustring,0,2,152,150,0.0,0.49835
conscrypt,conscrypt-1.1.1,ToomuchScattering,0,2,152,150,0.0,0.49835
conscrypt,conscrypt-1.1.1,UnusedMethodDeclaration,0,2,152,150,0.0,0.49835
conscrypt,conscrypt-1.1.1,UnusedMethodImplementation,0,2,152,150,0.0,0.49835
conscrypt,conscrypt-1.1.1,UnusedParameter,0,2,152,150,0.0,0.49835
conscrypt,conscrypt-1.1.1,NotHandlingExceptions,0,2,152,150,0.0,0.49835
conscrypt,conscrypt-1.1.1,NotSecuringLibraries,0,2,152,150,0.0,0.49835
conscrypt,conscrypt-1.1.1,HardCodingLibraries,0,2,152,150,0.0,0.49835
conscrypt,conscrypt-1.1.1,NotUsingRelativePath,0,2,152,150,0.0,0.49835
conscrypt,conscrypt-1.1.1,MemoryManagementMismatch,0,2,152,150,0.0,0.49835
conscrypt,conscrypt-1.1.1,LocalReferencesAbuse,0,2,152,150,0.0,0.49835
conscrypt,conscrypt-1.0.0.RC14,excessiveInterlangCommunication,0,4,122,118,0.0,0.12192
conscrypt,conscrypt-1.0.0.RC14,Toomuchclustring,0,4,122,118,0.0,0.12192
conscrypt,conscrypt-1.0.0.RC14,ToomuchScattering,0,4,122,118,0.0,0.12192
conscrypt,conscrypt-1.0.0.RC14,UnusedMethodDeclaration,1,3,121,119,0.3278236914600551,0.62189
conscrypt,conscrypt-1.0.0.RC14,UnusedMethodImplementation,0,4,122,118,0.0,0.12192
conscrypt,conscrypt-1.0.0.RC14,UnusedParameter,0,4,122,118,0.0,0.12192
conscrypt,conscrypt-1.0.0.RC14,NotHandlingExceptions,0,4,122,118,0.0,0.12192
conscrypt,conscrypt-1.0.0.RC14,NotSecuringLibraries,0,4,122,118,0.0,0.12192
conscrypt,conscrypt-1.0.0.RC14,HardCodingLibraries,0,4,122,118,0.0,0.12192
conscrypt,conscrypt-1.0.0.RC14,NotUsingRelativePath,0,4,122,118,0.0,0.12192
