System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,pvalue
java-smt,java-smt-0.60,excessiveInterlangCommunication,0,0,0,0,nan,1.0
java-smt,java-smt-0.60,Toomuchclustring,0,0,0,0,nan,1.0
java-smt,java-smt-0.60,ToomuchScattering,0,0,0,0,nan,1.0
java-smt,java-smt-0.60,UnusedMethodDeclaration,0,0,0,0,nan,1.0
java-smt,java-smt-0.60,UnusedMethodImplementation,0,0,0,0,nan,1.0
java-smt,java-smt-0.60,UnusedParameter,0,0,0,0,nan,1.0
java-smt,java-smt-0.60,AssumingSafeReturnValue,0,0,0,0,nan,1.0
java-smt,java-smt-0.60,ExcessiveObjects,0,0,0,0,nan,1.0
java-smt,java-smt-0.60,NotHandlingExceptions,0,0,0,0,nan,1.0
java-smt,java-smt-0.60,NotCachingObjects,0,0,0,0,nan,1.0
java-smt,java-smt-0.60,NotSecuringLibraries,0,0,0,0,nan,1.0
java-smt,java-smt-0.60,HardCodingLibraries,0,0,0,0,nan,1.0
java-smt,java-smt-0.60,NotUsingRelativePath,0,0,0,0,nan,1.0
java-smt,java-smt-0.60,MemoryManagementMismatch,0,0,0,0,nan,1.0
java-smt,java-smt-0.60,LocalReferencesAbuse,0,0,0,0,nan,1.0
java-smt,java-smt-2.0.0,excessiveInterlangCommunication,0,0,0,0,nan,1.0
java-smt,java-smt-2.0.0,Toomuchclustring,0,0,0,0,nan,1.0
java-smt,java-smt-2.0.0,ToomuchScattering,0,0,0,0,nan,1.0
java-smt,java-smt-2.0.0,UnusedMethodDeclaration,0,0,0,0,nan,1.0
java-smt,java-smt-2.0.0,UnusedMethodImplementation,0,0,0,0,nan,1.0
java-smt,java-smt-2.0.0,UnusedParameter,0,0,0,0,nan,1.0
java-smt,java-smt-2.0.0,AssumingSafeReturnValue,0,0,0,0,nan,1.0
java-smt,java-smt-2.0.0,ExcessiveObjects,0,0,0,0,nan,1.0
java-smt,java-smt-2.0.0,NotHandlingExceptions,0,0,0,0,nan,1.0
java-smt,java-smt-2.0.0,NotCachingObjects,0,0,0,0,nan,1.0
java-smt,java-smt-2.0.0,NotSecuringLibraries,0,0,0,0,nan,1.0
java-smt,java-smt-2.0.0,HardCodingLibraries,0,0,0,0,nan,1.0
java-smt,java-smt-2.0.0,NotUsingRelativePath,0,0,0,0,nan,1.0
java-smt,java-smt-2.0.0,MemoryManagementMismatch,0,0,0,0,nan,1.0
java-smt,java-smt-2.0.0,LocalReferencesAbuse,0,0,0,0,nan,1.0
java-smt,java-smt-2.0.0-alpha,excessiveInterlangCommunication,0,22,0,11,nan,1.0
java-smt,java-smt-2.0.0-alpha,Toomuchclustring,1,21,0,11,inf,1.0
java-smt,java-smt-2.0.0-alpha,ToomuchScattering,0,22,0,11,nan,1.0
java-smt,java-smt-2.0.0-alpha,UnusedMethodDeclaration,1,21,0,11,inf,1.0
java-smt,java-smt-2.0.0-alpha,UnusedMethodImplementation,0,22,0,11,nan,1.0
java-smt,java-smt-2.0.0-alpha,UnusedParameter,20,2,11,0,0.0,0.5416666667
java-smt,java-smt-2.0.0-alpha,AssumingSafeReturnValue,0,22,0,11,nan,1.0
java-smt,java-smt-2.0.0-alpha,ExcessiveObjects,0,22,0,11,nan,1.0
java-smt,java-smt-2.0.0-alpha,NotHandlingExceptions,0,22,0,11,nan,1.0
java-smt,java-smt-2.0.0-alpha,NotCachingObjects,0,22,0,11,nan,1.0
java-smt,java-smt-2.0.0-alpha,NotSecuringLibraries,1,21,0,11,inf,1.0
java-smt,java-smt-2.0.0-alpha,HardCodingLibraries,1,21,0,11,inf,1.0
java-smt,java-smt-2.0.0-alpha,NotUsingRelativePath,1,21,0,11,inf,1.0
java-smt,java-smt-2.0.0-alpha,MemoryManagementMismatch,0,22,0,11,nan,1.0
java-smt,java-smt-2.0.0-alpha,LocalReferencesAbuse,0,22,0,11,nan,1.0
java-smt,java-smt-0.5,excessiveInterlangCommunication,0,0,0,0,nan,1.0
java-smt,java-smt-0.5,Toomuchclustring,0,0,0,0,nan,1.0
java-smt,java-smt-0.5,ToomuchScattering,0,0,0,0,nan,1.0
java-smt,java-smt-0.5,UnusedMethodDeclaration,0,0,0,0,nan,1.0
java-smt,java-smt-0.5,UnusedMethodImplementation,0,0,0,0,nan,1.0
java-smt,java-smt-0.5,UnusedParameter,0,0,0,0,nan,1.0
java-smt,java-smt-0.5,AssumingSafeReturnValue,0,0,0,0,nan,1.0
java-smt,java-smt-0.5,ExcessiveObjects,0,0,0,0,nan,1.0
java-smt,java-smt-0.5,NotHandlingExceptions,0,0,0,0,nan,1.0
java-smt,java-smt-0.5,NotCachingObjects,0,0,0,0,nan,1.0
