System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,p-value
conscrypt,java-smt-0.5,excessiveInterlangCommunication,0,0,0,0,nan,1.0
conscrypt,java-smt-0.5,Toomuchclustring,0,0,0,0,nan,1.0
conscrypt,java-smt-0.5,ToomuchScattering,0,0,0,0,nan,1.0
conscrypt,java-smt-0.5,UnusedMethodDeclaration,0,0,0,0,nan,1.0
conscrypt,java-smt-0.5,UnusedMethodImplementation,0,0,0,0,nan,1.0
conscrypt,java-smt-0.5,UnusedParameter,0,0,0,0,nan,1.0
conscrypt,java-smt-0.5,NotHandlingExceptions,0,0,0,0,nan,1.0
conscrypt,java-smt-0.5,NotSecuringLibraries,0,0,0,0,nan,1.0
conscrypt,java-smt-0.5,HardCodingLibraries,0,0,0,0,nan,1.0
conscrypt,java-smt-0.5,NotUsingRelativePath,0,0,0,0,nan,1.0
conscrypt,java-smt-0.5,MemoryManagementMismatch,0,0,0,0,nan,1.0
conscrypt,java-smt-0.5,LocalReferencesAbuse,0,0,0,0,nan,1.0
conscrypt,java-smt-0.3,excessiveInterlangCommunication,0,0,0,0,nan,1.0
conscrypt,java-smt-0.3,Toomuchclustring,0,0,0,0,nan,1.0
conscrypt,java-smt-0.3,ToomuchScattering,0,0,0,0,nan,1.0
conscrypt,java-smt-0.3,UnusedMethodDeclaration,0,0,0,0,nan,1.0
conscrypt,java-smt-0.3,UnusedMethodImplementation,0,0,0,0,nan,1.0
conscrypt,java-smt-0.3,UnusedParameter,0,0,0,0,nan,1.0
conscrypt,java-smt-0.3,NotHandlingExceptions,0,0,0,0,nan,1.0
conscrypt,java-smt-0.3,NotSecuringLibraries,0,0,0,0,nan,1.0
conscrypt,java-smt-0.3,HardCodingLibraries,0,0,0,0,nan,1.0
conscrypt,java-smt-0.3,NotUsingRelativePath,0,0,0,0,nan,1.0
conscrypt,java-smt-0.3,MemoryManagementMismatch,0,0,0,0,nan,1.0
conscrypt,java-smt-0.3,LocalReferencesAbuse,0,0,0,0,nan,1.0
conscrypt,java-smt-2.0.0,excessiveInterlangCommunication,0,0,0,0,nan,1.0
conscrypt,java-smt-2.0.0,Toomuchclustring,0,0,0,0,nan,1.0
conscrypt,java-smt-2.0.0,ToomuchScattering,0,0,0,0,nan,1.0
conscrypt,java-smt-2.0.0,UnusedMethodDeclaration,0,0,0,0,nan,1.0
conscrypt,java-smt-2.0.0,UnusedMethodImplementation,0,0,0,0,nan,1.0
conscrypt,java-smt-2.0.0,UnusedParameter,0,0,0,0,nan,1.0
conscrypt,java-smt-2.0.0,NotHandlingExceptions,0,0,0,0,nan,1.0
conscrypt,java-smt-2.0.0,NotSecuringLibraries,0,0,0,0,nan,1.0
conscrypt,java-smt-2.0.0,HardCodingLibraries,0,0,0,0,nan,1.0
conscrypt,java-smt-2.0.0,NotUsingRelativePath,0,0,0,0,nan,1.0
conscrypt,java-smt-2.0.0,MemoryManagementMismatch,0,0,0,0,nan,1.0
conscrypt,java-smt-2.0.0,LocalReferencesAbuse,0,0,0,0,nan,1.0
conscrypt,java-smt-0.1,excessiveInterlangCommunication,0,0,0,0,nan,1.0
conscrypt,java-smt-0.1,Toomuchclustring,0,0,0,0,nan,1.0
conscrypt,java-smt-0.1,ToomuchScattering,0,0,0,0,nan,1.0
conscrypt,java-smt-0.1,UnusedMethodDeclaration,0,0,0,0,nan,1.0
conscrypt,java-smt-0.1,UnusedMethodImplementation,0,0,0,0,nan,1.0
conscrypt,java-smt-0.1,UnusedParameter,0,0,0,0,nan,1.0
conscrypt,java-smt-0.1,NotHandlingExceptions,0,0,0,0,nan,1.0
conscrypt,java-smt-0.1,NotSecuringLibraries,0,0,0,0,nan,1.0
conscrypt,java-smt-0.1,HardCodingLibraries,0,0,0,0,nan,1.0
conscrypt,java-smt-0.1,NotUsingRelativePath,0,0,0,0,nan,1.0
conscrypt,java-smt-0.1,MemoryManagementMismatch,0,0,0,0,nan,1.0
conscrypt,java-smt-0.1,LocalReferencesAbuse,0,0,0,0,nan,1.0
conscrypt,java-smt-2.2.0,excessiveInterlangCommunication,0,0,39,39,nan,1.0
conscrypt,java-smt-2.2.0,Toomuchclustring,0,0,39,39,nan,1.0
conscrypt,java-smt-2.2.0,ToomuchScattering,0,0,39,39,nan,1.0
conscrypt,java-smt-2.2.0,UnusedMethodDeclaration,0,0,39,39,nan,1.0
conscrypt,java-smt-2.2.0,UnusedMethodImplementation,0,0,39,39,nan,1.0
conscrypt,java-smt-2.2.0,UnusedParameter,0,0,39,39,nan,1.0
conscrypt,java-smt-2.2.0,NotHandlingExceptions,0,0,39,39,nan,1.0
conscrypt,java-smt-2.2.0,NotSecuringLibraries,0,0,39,39,nan,1.0
conscrypt,java-smt-2.2.0,HardCodingLibraries,0,0,39,39,nan,1.0
conscrypt,java-smt-2.2.0,NotUsingRelativePath,0,0,39,39,nan,1.0
conscrypt,java-smt-2.2.0,MemoryManagementMismatch,0,0,39,39,nan,1.0
conscrypt,java-smt-2.2.0,LocalReferencesAbuse,0,0,39,39,nan,1.0
conscrypt,java-smt-1.0.1,excessiveInterlangCommunication,0,9,26,17,0.0,0.0017
conscrypt,java-smt-1.0.1,Toomuchclustring,0,9,26,17,0.0,0.0017
conscrypt,java-smt-1.0.1,ToomuchScattering,0,9,26,17,0.0,0.0017
conscrypt,java-smt-1.0.1,UnusedMethodDeclaration,0,9,26,17,0.0,0.0017
conscrypt,java-smt-1.0.1,UnusedMethodImplementation,0,9,26,17,0.0,0.0017
conscrypt,java-smt-1.0.1,UnusedParameter,8,1,18,25,11.11111111111111,0.02378
conscrypt,java-smt-1.0.1,NotHandlingExceptions,0,9,26,17,0.0,0.0017
conscrypt,java-smt-1.0.1,NotSecuringLibraries,1,8,25,18,0.09,0.02378
conscrypt,java-smt-1.0.1,HardCodingLibraries,0,9,26,17,0.0,0.0017
conscrypt,java-smt-1.0.1,NotUsingRelativePath,1,8,25,18,0.09,0.02378
conscrypt,java-smt-1.0.1,MemoryManagementMismatch,0,9,26,17,0.0,0.0017
