System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,pvalue
javacpp,javacpp-1.4.4,excessiveInterlangCommunication,6,5,7,1,0.17142857142857143,0.1769865841
javacpp,javacpp-1.4.4,Toomuchclustring,4,7,0,8,inf,0.1031991744
javacpp,javacpp-1.4.4,ToomuchScattering,7,4,7,1,0.25,0.3378052976
javacpp,javacpp-1.4.4,UnusedMethodDeclaration,6,5,1,7,8.4,0.1472969755
javacpp,javacpp-1.4.4,UnusedMethodImplementation,0,11,0,8,nan,1.0
javacpp,javacpp-1.4.4,UnusedParameter,0,11,1,7,0.0,0.4210526316
javacpp,javacpp-1.4.4,AssumingSafeReturnValue,0,11,0,8,nan,1.0
javacpp,javacpp-1.4.4,ExcessiveObjects,0,11,0,8,nan,1.0
javacpp,javacpp-1.4.4,NotHandlingExceptions,0,11,0,8,nan,1.0
javacpp,javacpp-1.4.4,NotCachingObjects,0,11,0,8,nan,1.0
javacpp,javacpp-1.4.4,NotSecuringLibraries,1,10,0,8,inf,1.0
javacpp,javacpp-1.4.4,HardCodingLibraries,0,11,0,8,nan,1.0
javacpp,javacpp-1.4.4,NotUsingRelativePath,0,11,0,8,nan,1.0
javacpp,javacpp-1.4.4,MemoryManagementMismatch,0,11,0,8,nan,1.0
javacpp,javacpp-1.4.4,LocalReferencesAbuse,0,11,0,8,nan,1.0
javacpp,javacpp-0.9,excessiveInterlangCommunication,3,7,2,1,0.21428571428571427,0.5104895105
javacpp,javacpp-0.9,Toomuchclustring,1,9,0,3,inf,1.0
javacpp,javacpp-0.9,ToomuchScattering,8,2,3,0,0.0,1.0
javacpp,javacpp-0.9,UnusedMethodDeclaration,2,8,0,3,inf,1.0
javacpp,javacpp-0.9,UnusedMethodImplementation,0,10,0,3,nan,1.0
javacpp,javacpp-0.9,UnusedParameter,0,10,0,3,nan,1.0
javacpp,javacpp-0.9,AssumingSafeReturnValue,0,10,0,3,nan,1.0
javacpp,javacpp-0.9,ExcessiveObjects,0,10,0,3,nan,1.0
javacpp,javacpp-0.9,NotHandlingExceptions,0,10,0,3,nan,1.0
javacpp,javacpp-0.9,NotCachingObjects,0,10,0,3,nan,1.0
javacpp,javacpp-0.9,NotSecuringLibraries,1,9,0,3,inf,1.0
javacpp,javacpp-0.9,HardCodingLibraries,0,10,0,3,nan,1.0
javacpp,javacpp-0.9,NotUsingRelativePath,0,10,0,3,nan,1.0
javacpp,javacpp-0.9,MemoryManagementMismatch,0,10,0,3,nan,1.0
javacpp,javacpp-0.9,LocalReferencesAbuse,0,10,0,3,nan,1.0
javacpp,javacpp-1.3,excessiveInterlangCommunication,6,4,4,0,0.0,0.2507492507
javacpp,javacpp-1.3,Toomuchclustring,3,7,0,4,inf,0.5054945055
javacpp,javacpp-1.3,ToomuchScattering,6,4,4,0,0.0,0.2507492507
javacpp,javacpp-1.3,UnusedMethodDeclaration,4,6,0,4,inf,0.2507492507
javacpp,javacpp-1.3,UnusedMethodImplementation,0,10,0,4,nan,1.0
javacpp,javacpp-1.3,UnusedParameter,0,10,0,4,nan,1.0
javacpp,javacpp-1.3,AssumingSafeReturnValue,0,10,0,4,nan,1.0
javacpp,javacpp-1.3,ExcessiveObjects,0,10,0,4,nan,1.0
javacpp,javacpp-1.3,NotHandlingExceptions,0,10,0,4,nan,1.0
javacpp,javacpp-1.3,NotCachingObjects,0,10,0,4,nan,1.0
javacpp,javacpp-1.3,NotSecuringLibraries,1,9,0,4,inf,1.0
javacpp,javacpp-1.3,HardCodingLibraries,1,9,0,4,inf,1.0
javacpp,javacpp-1.3,NotUsingRelativePath,0,10,0,4,nan,1.0
javacpp,javacpp-1.3,MemoryManagementMismatch,0,10,0,4,nan,1.0
javacpp,javacpp-1.3,LocalReferencesAbuse,0,10,0,4,nan,1.0
javacpp,javacpp-0.5,excessiveInterlangCommunication,0,0,0,0,nan,1.0
javacpp,javacpp-0.5,Toomuchclustring,0,0,0,0,nan,1.0
javacpp,javacpp-0.5,ToomuchScattering,0,0,0,0,nan,1.0
javacpp,javacpp-0.5,UnusedMethodDeclaration,0,0,0,0,nan,1.0
javacpp,javacpp-0.5,UnusedMethodImplementation,0,0,0,0,nan,1.0
javacpp,javacpp-0.5,UnusedParameter,0,0,0,0,nan,1.0
javacpp,javacpp-0.5,AssumingSafeReturnValue,0,0,0,0,nan,1.0
javacpp,javacpp-0.5,ExcessiveObjects,0,0,0,0,nan,1.0
javacpp,javacpp-0.5,NotHandlingExceptions,0,0,0,0,nan,1.0
javacpp,javacpp-0.5,NotCachingObjects,0,0,0,0,nan,1.0
javacpp,javacpp-0.5,NotSecuringLibraries,0,0,0,0,nan,1.0
javacpp,javacpp-0.5,HardCodingLibraries,0,0,0,0,nan,1.0
javacpp,javacpp-0.5,NotUsingRelativePath,0,0,0,0,nan,1.0
javacpp,javacpp-0.5,MemoryManagementMismatch,0,0,0,0,nan,1.0
javacpp,javacpp-0.5,LocalReferencesAbuse,0,0,0,0,nan,1.0
javacpp,javacpp-1.4,excessiveInterlangCommunication,7,5,4,0,0.0,0.2445054945
javacpp,javacpp-1.4,Toomuchclustring,3,9,0,4,inf,0.5285714286
javacpp,javacpp-1.4,ToomuchScattering,8,4,4,0,0.0,0.5164835165
javacpp,javacpp-1.4,UnusedMethodDeclaration,6,6,0,4,inf,0.2335164835
javacpp,javacpp-1.4,UnusedMethodImplementation,0,12,0,4,nan,1.0
javacpp,javacpp-1.4,UnusedParameter,1,11,0,4,inf,1.0
javacpp,javacpp-1.4,AssumingSafeReturnValue,0,12,0,4,nan,1.0
javacpp,javacpp-1.4,ExcessiveObjects,0,12,0,4,nan,1.0
javacpp,javacpp-1.4,NotHandlingExceptions,0,12,0,4,nan,1.0
javacpp,javacpp-1.4,NotCachingObjects,0,12,0,4,nan,1.0
javacpp,javacpp-1.4,NotSecuringLibraries,1,11,0,4,inf,1.0
javacpp,javacpp-1.4,HardCodingLibraries,1,11,0,4,inf,1.0
javacpp,javacpp-1.4,NotUsingRelativePath,0,12,0,4,nan,1.0
javacpp,javacpp-1.4,MemoryManagementMismatch,0,12,0,4,nan,1.0
javacpp,javacpp-1.4,LocalReferencesAbuse,0,12,0,4,nan,1.0
javacpp,javacpp-1.5.1-1,excessiveInterlangCommunication,8,2,8,1,0.5,1.0
javacpp,javacpp-1.5.1-1,Toomuchclustring,4,6,0,9,inf,0.08668730650
javacpp,javacpp-1.5.1-1,ToomuchScattering,6,4,7,2,0.42857142857142855,0.6284829721
javacpp,javacpp-1.5.1-1,UnusedMethodDeclaration,6,4,1,8,12.0,0.05727554180
javacpp,javacpp-1.5.1-1,UnusedMethodImplementation,0,10,0,9,nan,1.0
javacpp,javacpp-1.5.1-1,UnusedParameter,0,10,1,8,0.0,0.4736842105
javacpp,javacpp-1.5.1-1,AssumingSafeReturnValue,0,10,0,9,nan,1.0
javacpp,javacpp-1.5.1-1,ExcessiveObjects,0,10,0,9,nan,1.0
javacpp,javacpp-1.5.1-1,NotHandlingExceptions,0,10,0,9,nan,1.0
