System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,p-value
conscrypt,javacpp-1.2,excessiveInterlangCommunication,8,4,13,17,2.6153846153846154,0.30576
conscrypt,javacpp-1.2,Toomuchclustring,1,11,20,10,0.045454545454545456,0.00139
conscrypt,javacpp-1.2,ToomuchScattering,10,2,11,19,8.636363636363637,0.01479
conscrypt,javacpp-1.2,UnusedMethodDeclaration,2,10,19,11,0.11578947368421053,0.01479
conscrypt,javacpp-1.2,UnusedMethodImplementation,0,12,21,9,0.0,5e-05
conscrypt,javacpp-1.2,UnusedParameter,0,12,21,9,0.0,5e-05
conscrypt,javacpp-1.2,NotHandlingExceptions,0,12,21,9,0.0,5e-05
conscrypt,javacpp-1.2,NotSecuringLibraries,1,11,20,10,0.045454545454545456,0.00139
conscrypt,javacpp-1.2,HardCodingLibraries,0,12,21,9,0.0,5e-05
conscrypt,javacpp-1.2,NotUsingRelativePath,0,12,21,9,0.0,5e-05
conscrypt,javacpp-1.2,MemoryManagementMismatch,0,12,21,9,0.0,5e-05
conscrypt,javacpp-1.2,LocalReferencesAbuse,0,12,21,9,0.0,5e-05
conscrypt,javacpp-1.2.7,excessiveInterlangCommunication,1,1,20,20,1.0,1.0
conscrypt,javacpp-1.2.7,Toomuchclustring,1,1,20,20,1.0,1.0
conscrypt,javacpp-1.2.7,ToomuchScattering,0,2,21,19,0.0,0.4878
conscrypt,javacpp-1.2.7,UnusedMethodDeclaration,1,1,20,20,1.0,1.0
conscrypt,javacpp-1.2.7,UnusedMethodImplementation,0,2,21,19,0.0,0.4878
conscrypt,javacpp-1.2.7,UnusedParameter,0,2,21,19,0.0,0.4878
conscrypt,javacpp-1.2.7,NotHandlingExceptions,0,2,21,19,0.0,0.4878
conscrypt,javacpp-1.2.7,NotSecuringLibraries,1,1,20,20,1.0,1.0
conscrypt,javacpp-1.2.7,HardCodingLibraries,1,1,20,20,1.0,1.0
conscrypt,javacpp-1.2.7,NotUsingRelativePath,0,2,21,19,0.0,0.4878
