System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,pvalue
jpype,jpype-0.5.5.4,excessiveInterlangCommunication,0,5,0,0,nan,1.0
jpype,jpype-0.5.5.4,Toomuchclustring,0,5,0,0,nan,1.0
jpype,jpype-0.5.5.4,ToomuchScattering,0,5,0,0,nan,1.0
jpype,jpype-0.5.5.4,UnusedMethodDeclaration,0,5,0,0,nan,1.0
jpype,jpype-0.5.5.4,UnusedMethodImplementation,0,5,0,0,nan,1.0
jpype,jpype-0.5.5.4,UnusedParameter,5,0,0,0,nan,1.0
jpype,jpype-0.5.5.4,AssumingSafeReturnValue,0,5,0,0,nan,1.0
jpype,jpype-0.5.5.4,ExcessiveObjects,0,5,0,0,nan,1.0
jpype,jpype-0.5.5.4,NotHandlingExceptions,0,5,0,0,nan,1.0
jpype,jpype-0.5.5.4,NotCachingObjects,0,5,0,0,nan,1.0
jpype,jpype-0.5.5.4,NotSecuringLibraries,0,5,0,0,nan,1.0
jpype,jpype-0.5.5.4,HardCodingLibraries,0,5,0,0,nan,1.0
jpype,jpype-0.5.5.4,NotUsingRelativePath,0,5,0,0,nan,1.0
jpype,jpype-0.5.5.4,MemoryManagementMismatch,0,5,0,0,nan,1.0
jpype,jpype-0.5.5.4,LocalReferencesAbuse,0,5,0,0,nan,1.0
jpype,jpype-0.6.2,excessiveInterlangCommunication,0,6,0,1,nan,1.0
jpype,jpype-0.6.2,Toomuchclustring,0,6,0,1,nan,1.0
jpype,jpype-0.6.2,ToomuchScattering,0,6,0,1,nan,1.0
jpype,jpype-0.6.2,UnusedMethodDeclaration,0,6,0,1,nan,1.0
jpype,jpype-0.6.2,UnusedMethodImplementation,0,6,0,1,nan,1.0
jpype,jpype-0.6.2,UnusedParameter,5,1,1,0,0.0,1.0
jpype,jpype-0.6.2,AssumingSafeReturnValue,0,6,0,1,nan,1.0
jpype,jpype-0.6.2,ExcessiveObjects,0,6,0,1,nan,1.0
jpype,jpype-0.6.2,NotHandlingExceptions,0,6,0,1,nan,1.0
jpype,jpype-0.6.2,NotCachingObjects,0,6,0,1,nan,1.0
jpype,jpype-0.6.2,NotSecuringLibraries,0,6,0,1,nan,1.0
jpype,jpype-0.6.2,HardCodingLibraries,0,6,0,1,nan,1.0
jpype,jpype-0.6.2,NotUsingRelativePath,0,6,0,1,nan,1.0
jpype,jpype-0.6.2,MemoryManagementMismatch,1,5,0,1,inf,1.0
jpype,jpype-0.6.2,LocalReferencesAbuse,0,6,0,1,nan,1.0
jpype,jpype-0.5.6,excessiveInterlangCommunication,0,5,0,0,nan,1.0
jpype,jpype-0.5.6,Toomuchclustring,0,5,0,0,nan,1.0
jpype,jpype-0.5.6,ToomuchScattering,0,5,0,0,nan,1.0
jpype,jpype-0.5.6,UnusedMethodDeclaration,0,5,0,0,nan,1.0
jpype,jpype-0.5.6,UnusedMethodImplementation,0,5,0,0,nan,1.0
jpype,jpype-0.5.6,UnusedParameter,5,0,0,0,nan,1.0
jpype,jpype-0.5.6,AssumingSafeReturnValue,0,5,0,0,nan,1.0
jpype,jpype-0.5.6,ExcessiveObjects,0,5,0,0,nan,1.0
jpype,jpype-0.5.6,NotHandlingExceptions,0,5,0,0,nan,1.0
jpype,jpype-0.5.6,NotCachingObjects,0,5,0,0,nan,1.0
jpype,jpype-0.5.6,NotSecuringLibraries,0,5,0,0,nan,1.0
jpype,jpype-0.5.6,HardCodingLibraries,0,5,0,0,nan,1.0
jpype,jpype-0.5.6,NotUsingRelativePath,0,5,0,0,nan,1.0
jpype,jpype-0.5.6,MemoryManagementMismatch,0,5,0,0,nan,1.0
jpype,jpype-0.5.6,LocalReferencesAbuse,0,5,0,0,nan,1.0
jpype,jpype-0.5.7,excessiveInterlangCommunication,0,6,0,0,nan,1.0
jpype,jpype-0.5.7,Toomuchclustring,0,6,0,0,nan,1.0
jpype,jpype-0.5.7,ToomuchScattering,0,6,0,0,nan,1.0
jpype,jpype-0.5.7,UnusedMethodDeclaration,0,6,0,0,nan,1.0
jpype,jpype-0.5.7,UnusedMethodImplementation,0,6,0,0,nan,1.0
jpype,jpype-0.5.7,UnusedParameter,5,1,0,0,nan,1.0
jpype,jpype-0.5.7,AssumingSafeReturnValue,0,6,0,0,nan,1.0
jpype,jpype-0.5.7,ExcessiveObjects,0,6,0,0,nan,1.0
jpype,jpype-0.5.7,NotHandlingExceptions,0,6,0,0,nan,1.0
jpype,jpype-0.5.7,NotCachingObjects,0,6,0,0,nan,1.0
jpype,jpype-0.5.7,NotSecuringLibraries,0,6,0,0,nan,1.0
jpype,jpype-0.5.7,HardCodingLibraries,0,6,0,0,nan,1.0
jpype,jpype-0.5.7,NotUsingRelativePath,0,6,0,0,nan,1.0
jpype,jpype-0.5.7,MemoryManagementMismatch,1,5,0,0,nan,1.0
jpype,jpype-0.5.7,LocalReferencesAbuse,0,6,0,0,nan,1.0
jpype,jpype-0.6.3,excessiveInterlangCommunication,0,6,0,3,nan,1.0
jpype,jpype-0.6.3,Toomuchclustring,0,6,0,3,nan,1.0
jpype,jpype-0.6.3,ToomuchScattering,0,6,0,3,nan,1.0
jpype,jpype-0.6.3,UnusedMethodDeclaration,0,6,0,3,nan,1.0
jpype,jpype-0.6.3,UnusedMethodImplementation,0,6,0,3,nan,1.0
jpype,jpype-0.6.3,UnusedParameter,5,1,3,0,0.0,1.0
jpype,jpype-0.6.3,AssumingSafeReturnValue,0,6,0,3,nan,1.0
