System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,p-value
conscrypt,jpype-0.5.5.1,excessiveInterlangCommunication,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.1,Toomuchclustring,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.1,ToomuchScattering,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.1,UnusedMethodDeclaration,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.1,UnusedMethodImplementation,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.1,UnusedParameter,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.1,NotHandlingExceptions,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.1,NotSecuringLibraries,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.1,HardCodingLibraries,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.1,NotUsingRelativePath,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.1,MemoryManagementMismatch,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.1,LocalReferencesAbuse,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.7,excessiveInterlangCommunication,0,0,6,6,nan,1.0
conscrypt,jpype-0.5.7,Toomuchclustring,0,0,6,6,nan,1.0
conscrypt,jpype-0.5.7,ToomuchScattering,0,0,6,6,nan,1.0
conscrypt,jpype-0.5.7,UnusedMethodDeclaration,0,0,6,6,nan,1.0
conscrypt,jpype-0.5.7,UnusedMethodImplementation,0,0,6,6,nan,1.0
conscrypt,jpype-0.5.7,UnusedParameter,0,0,6,6,nan,1.0
conscrypt,jpype-0.5.7,NotHandlingExceptions,0,0,6,6,nan,1.0
conscrypt,jpype-0.5.7,NotSecuringLibraries,0,0,6,6,nan,1.0
conscrypt,jpype-0.5.7,HardCodingLibraries,0,0,6,6,nan,1.0
conscrypt,jpype-0.5.7,NotUsingRelativePath,0,0,6,6,nan,1.0
conscrypt,jpype-0.5.7,MemoryManagementMismatch,0,0,6,6,nan,1.0
conscrypt,jpype-0.5.7,LocalReferencesAbuse,0,0,6,6,nan,1.0
conscrypt,jpype-0.6.0,excessiveInterlangCommunication,0,0,6,6,nan,1.0
conscrypt,jpype-0.6.0,Toomuchclustring,0,0,6,6,nan,1.0
conscrypt,jpype-0.6.0,ToomuchScattering,0,0,6,6,nan,1.0
conscrypt,jpype-0.6.0,UnusedMethodDeclaration,0,0,6,6,nan,1.0
conscrypt,jpype-0.6.0,UnusedMethodImplementation,0,0,6,6,nan,1.0
conscrypt,jpype-0.6.0,UnusedParameter,0,0,6,6,nan,1.0
conscrypt,jpype-0.6.0,NotHandlingExceptions,0,0,6,6,nan,1.0
conscrypt,jpype-0.6.0,NotSecuringLibraries,0,0,6,6,nan,1.0
conscrypt,jpype-0.6.0,HardCodingLibraries,0,0,6,6,nan,1.0
conscrypt,jpype-0.6.0,NotUsingRelativePath,0,0,6,6,nan,1.0
conscrypt,jpype-0.6.0,MemoryManagementMismatch,0,0,6,6,nan,1.0
conscrypt,jpype-0.6.0,LocalReferencesAbuse,0,0,6,6,nan,1.0
conscrypt,jpype-master,excessiveInterlangCommunication,0,0,28,28,nan,1.0
conscrypt,jpype-master,Toomuchclustring,0,0,28,28,nan,1.0
conscrypt,jpype-master,ToomuchScattering,0,0,28,28,nan,1.0
conscrypt,jpype-master,UnusedMethodDeclaration,0,0,28,28,nan,1.0
conscrypt,jpype-master,UnusedMethodImplementation,0,0,28,28,nan,1.0
conscrypt,jpype-master,UnusedParameter,0,0,28,28,nan,1.0
conscrypt,jpype-master,NotHandlingExceptions,0,0,28,28,nan,1.0
conscrypt,jpype-master,NotSecuringLibraries,0,0,28,28,nan,1.0
conscrypt,jpype-master,HardCodingLibraries,0,0,28,28,nan,1.0
conscrypt,jpype-master,NotUsingRelativePath,0,0,28,28,nan,1.0
conscrypt,jpype-master,MemoryManagementMismatch,0,0,28,28,nan,1.0
conscrypt,jpype-master,LocalReferencesAbuse,0,0,28,28,nan,1.0
conscrypt,jpype-0.5.5.4,excessiveInterlangCommunication,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.4,Toomuchclustring,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.4,ToomuchScattering,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.4,UnusedMethodDeclaration,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.4,UnusedMethodImplementation,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.4,UnusedParameter,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.4,NotHandlingExceptions,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.4,NotSecuringLibraries,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.4,HardCodingLibraries,0,0,5,5,nan,1.0
conscrypt,jpype-0.5.5.4,NotUsingRelativePath,0,0,5,5,nan,1.0
