System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,pvalue
pljava,pljava-master,excessiveInterlangCommunication,1,38,0,16,inf,1.0
pljava,pljava-master,Toomuchclustring,5,34,0,16,inf,0.3064496239
pljava,pljava-master,ToomuchScattering,12,27,4,12,1.3333333333333333,0.7539093430
pljava,pljava-master,UnusedMethodDeclaration,17,22,3,13,3.3484848484848486,0.1238292358
pljava,pljava-master,UnusedMethodImplementation,1,38,0,16,inf,1.0
pljava,pljava-master,UnusedParameter,26,13,12,4,0.6666666666666666,0.7497026651
pljava,pljava-master,AssumingSafeReturnValue,0,39,0,16,nan,1.0
pljava,pljava-master,ExcessiveObjects,0,39,0,16,nan,1.0
pljava,pljava-master,NotHandlingExceptions,1,38,0,16,inf,1.0
pljava,pljava-master,NotCachingObjects,0,39,0,16,nan,1.0
pljava,pljava-master,NotSecuringLibraries,0,39,0,16,nan,1.0
pljava,pljava-master,HardCodingLibraries,0,39,0,16,nan,1.0
pljava,pljava-master,NotUsingRelativePath,0,39,0,16,nan,1.0
pljava,pljava-master,MemoryManagementMismatch,1,38,0,16,inf,1.0
pljava,pljava-master,LocalReferencesAbuse,0,39,0,16,nan,1.0
pljava,pljava-1_2_0,excessiveInterlangCommunication,0,0,0,0,nan,1.0
pljava,pljava-1_2_0,Toomuchclustring,0,0,0,0,nan,1.0
pljava,pljava-1_2_0,ToomuchScattering,0,0,0,0,nan,1.0
pljava,pljava-1_2_0,UnusedMethodDeclaration,0,0,0,0,nan,1.0
pljava,pljava-1_2_0,UnusedMethodImplementation,0,0,0,0,nan,1.0
pljava,pljava-1_2_0,UnusedParameter,0,0,0,0,nan,1.0
pljava,pljava-1_2_0,AssumingSafeReturnValue,0,0,0,0,nan,1.0
pljava,pljava-1_2_0,ExcessiveObjects,0,0,0,0,nan,1.0
pljava,pljava-1_2_0,NotHandlingExceptions,0,0,0,0,nan,1.0
pljava,pljava-1_2_0,NotCachingObjects,0,0,0,0,nan,1.0
pljava,pljava-1_2_0,NotSecuringLibraries,0,0,0,0,nan,1.0
pljava,pljava-1_2_0,HardCodingLibraries,0,0,0,0,nan,1.0
pljava,pljava-1_2_0,NotUsingRelativePath,0,0,0,0,nan,1.0
pljava,pljava-1_2_0,MemoryManagementMismatch,0,0,0,0,nan,1.0
pljava,pljava-1_2_0,LocalReferencesAbuse,0,0,0,0,nan,1.0
pljava,pljava-1_5_0,excessiveInterlangCommunication,2,31,0,13,inf,1.0
pljava,pljava-1_5_0,Toomuchclustring,4,29,0,13,inf,0.3129760701
pljava,pljava-1_5_0,ToomuchScattering,11,22,3,10,1.6666666666666667,0.7241044639
pljava,pljava-1_5_0,UnusedMethodDeclaration,14,19,2,11,4.052631578947368,0.1006322088
pljava,pljava-1_5_0,UnusedMethodImplementation,1,32,0,13,inf,1.0
pljava,pljava-1_5_0,UnusedParameter,19,14,10,3,0.40714285714285714,0.3149818177
pljava,pljava-1_5_0,AssumingSafeReturnValue,0,33,0,13,nan,1.0
pljava,pljava-1_5_0,ExcessiveObjects,0,33,0,13,nan,1.0
pljava,pljava-1_5_0,NotHandlingExceptions,1,32,0,13,inf,1.0
pljava,pljava-1_5_0,NotCachingObjects,0,33,0,13,nan,1.0
pljava,pljava-1_5_0,NotSecuringLibraries,0,33,0,13,nan,1.0
pljava,pljava-1_5_0,HardCodingLibraries,0,33,0,13,nan,1.0
pljava,pljava-1_5_0,NotUsingRelativePath,0,33,0,13,nan,1.0
pljava,pljava-1_5_0,MemoryManagementMismatch,1,32,0,13,inf,1.0
pljava,pljava-1_5_0,LocalReferencesAbuse,0,33,0,13,nan,1.0
pljava,pljava-REL1_5_STABLE-BASE,excessiveInterlangCommunication,2,31,0,13,inf,1.0
pljava,pljava-REL1_5_STABLE-BASE,Toomuchclustring,4,29,0,13,inf,0.3129760701
pljava,pljava-REL1_5_STABLE-BASE,ToomuchScattering,12,21,3,10,1.9047619047619047,0.4968041643
pljava,pljava-REL1_5_STABLE-BASE,UnusedMethodDeclaration,15,18,2,11,4.583333333333333,0.09036314422
pljava,pljava-REL1_5_STABLE-BASE,UnusedMethodImplementation,1,32,0,13,inf,1.0
pljava,pljava-REL1_5_STABLE-BASE,UnusedParameter,18,15,10,3,0.36,0.1968332783
pljava,pljava-REL1_5_STABLE-BASE,AssumingSafeReturnValue,0,33,0,13,nan,1.0
pljava,pljava-REL1_5_STABLE-BASE,ExcessiveObjects,0,33,0,13,nan,1.0
pljava,pljava-REL1_5_STABLE-BASE,NotHandlingExceptions,1,32,0,13,inf,1.0
pljava,pljava-REL1_5_STABLE-BASE,NotCachingObjects,0,33,0,13,nan,1.0
pljava,pljava-REL1_5_STABLE-BASE,NotSecuringLibraries,0,33,0,13,nan,1.0
pljava,pljava-REL1_5_STABLE-BASE,HardCodingLibraries,0,33,0,13,nan,1.0
pljava,pljava-REL1_5_STABLE-BASE,NotUsingRelativePath,0,33,0,13,nan,1.0
pljava,pljava-REL1_5_STABLE-BASE,MemoryManagementMismatch,1,32,0,13,inf,1.0
pljava,pljava-REL1_5_STABLE-BASE,LocalReferencesAbuse,0,33,0,13,nan,1.0
pljava,pljava-1_5_1b1,excessiveInterlangCommunication,2,30,0,14,inf,1.0
pljava,pljava-1_5_1b1,Toomuchclustring,4,28,0,14,inf,0.2978766431
pljava,pljava-1_5_1b1,ToomuchScattering,10,22,4,10,1.1363636363636365,1.0
pljava,pljava-1_5_1b1,UnusedMethodDeclaration,13,19,3,11,2.508771929824561,0.3161269740
pljava,pljava-1_5_1b1,UnusedMethodImplementation,1,31,0,14,inf,1.0
pljava,pljava-1_5_1b1,UnusedParameter,19,13,10,4,0.5846153846153846,0.5202033690
pljava,pljava-1_5_1b1,AssumingSafeReturnValue,0,32,0,14,nan,1.0
pljava,pljava-1_5_1b1,ExcessiveObjects,0,32,0,14,nan,1.0
pljava,pljava-1_5_1b1,NotHandlingExceptions,1,31,0,14,inf,1.0
pljava,pljava-1_5_1b1,NotCachingObjects,0,32,0,14,nan,1.0
pljava,pljava-1_5_1b1,NotSecuringLibraries,0,32,0,14,nan,1.0
pljava,pljava-1_5_1b1,HardCodingLibraries,0,32,0,14,nan,1.0
pljava,pljava-1_5_1b1,NotUsingRelativePath,0,32,0,14,nan,1.0
pljava,pljava-1_5_1b1,MemoryManagementMismatch,1,31,0,14,inf,1.0
pljava,pljava-1_5_1b1,LocalReferencesAbuse,0,32,0,14,nan,1.0
pljava,pljava-1_3_0,excessiveInterlangCommunication,0,0,0,0,nan,1.0
pljava,pljava-1_3_0,Toomuchclustring,0,0,0,0,nan,1.0
pljava,pljava-1_3_0,ToomuchScattering,0,0,0,0,nan,1.0
pljava,pljava-1_3_0,UnusedMethodDeclaration,0,0,0,0,nan,1.0
pljava,pljava-1_3_0,UnusedMethodImplementation,0,0,0,0,nan,1.0
pljava,pljava-1_3_0,UnusedParameter,0,0,0,0,nan,1.0
pljava,pljava-1_3_0,AssumingSafeReturnValue,0,0,0,0,nan,1.0
pljava,pljava-1_3_0,ExcessiveObjects,0,0,0,0,nan,1.0
pljava,pljava-1_3_0,NotHandlingExceptions,0,0,0,0,nan,1.0
pljava,pljava-1_3_0,NotCachingObjects,0,0,0,0,nan,1.0
pljava,pljava-1_3_0,NotSecuringLibraries,0,0,0,0,nan,1.0
pljava,pljava-1_3_0,HardCodingLibraries,0,0,0,0,nan,1.0
pljava,pljava-1_3_0,NotUsingRelativePath,0,0,0,0,nan,1.0
pljava,pljava-1_3_0,MemoryManagementMismatch,0,0,0,0,nan,1.0
pljava,pljava-1_3_0,LocalReferencesAbuse,0,0,0,0,nan,1.0
pljava,pljava-1_5_2,excessiveInterlangCommunication,3,35,0,15,inf,0.5498591309
pljava,pljava-1_5_2,Toomuchclustring,4,34,0,15,inf,0.5678647656
pljava,pljava-1_5_2,ToomuchScattering,14,24,3,12,2.3333333333333335,0.3331663663
pljava,pljava-1_5_2,UnusedMethodDeclaration,17,21,2,13,5.261904761904762,0.05451782022
pljava,pljava-1_5_2,UnusedMethodImplementation,1,37,0,15,inf,1.0
pljava,pljava-1_5_2,UnusedParameter,23,15,12,3,0.38333333333333336,0.2145428482
pljava,pljava-1_5_2,AssumingSafeReturnValue,0,38,0,15,nan,1.0
pljava,pljava-1_5_2,ExcessiveObjects,0,38,0,15,nan,1.0
pljava,pljava-1_5_2,NotHandlingExceptions,1,37,0,15,inf,1.0
pljava,pljava-1_5_2,NotCachingObjects,0,38,0,15,nan,1.0
pljava,pljava-1_5_2,NotSecuringLibraries,0,38,0,15,nan,1.0
pljava,pljava-1_5_2,HardCodingLibraries,0,38,0,15,nan,1.0
pljava,pljava-1_5_2,NotUsingRelativePath,0,38,0,15,nan,1.0
pljava,pljava-1_5_2,MemoryManagementMismatch,1,37,0,15,inf,1.0
pljava,pljava-1_5_2,LocalReferencesAbuse,0,38,0,15,nan,1.0
pljava,pljava-1_4_3,excessiveInterlangCommunication,0,0,0,0,nan,1.0
pljava,pljava-1_4_3,Toomuchclustring,0,0,0,0,nan,1.0
pljava,pljava-1_4_3,ToomuchScattering,0,0,0,0,nan,1.0
pljava,pljava-1_4_3,UnusedMethodDeclaration,0,0,0,0,nan,1.0
pljava,pljava-1_4_3,UnusedMethodImplementation,0,0,0,0,nan,1.0
pljava,pljava-1_4_3,UnusedParameter,0,0,0,0,nan,1.0
pljava,pljava-1_4_3,AssumingSafeReturnValue,0,0,0,0,nan,1.0
pljava,pljava-1_4_3,ExcessiveObjects,0,0,0,0,nan,1.0
pljava,pljava-1_4_3,NotHandlingExceptions,0,0,0,0,nan,1.0
pljava,pljava-1_4_3,NotCachingObjects,0,0,0,0,nan,1.0
pljava,pljava-1_4_3,NotSecuringLibraries,0,0,0,0,nan,1.0
pljava,pljava-1_4_3,HardCodingLibraries,0,0,0,0,nan,1.0
pljava,pljava-1_4_3,NotUsingRelativePath,0,0,0,0,nan,1.0
pljava,pljava-1_4_3,MemoryManagementMismatch,0,0,0,0,nan,1.0
pljava,pljava-1_4_3,LocalReferencesAbuse,0,0,0,0,nan,1.0
pljava,pljava-1_4_2,excessiveInterlangCommunication,0,0,0,0,nan,1.0
pljava,pljava-1_4_2,Toomuchclustring,0,0,0,0,nan,1.0
pljava,pljava-1_4_2,ToomuchScattering,0,0,0,0,nan,1.0
pljava,pljava-1_4_2,UnusedMethodDeclaration,0,0,0,0,nan,1.0
pljava,pljava-1_4_2,UnusedMethodImplementation,0,0,0,0,nan,1.0
pljava,pljava-1_4_2,UnusedParameter,0,0,0,0,nan,1.0
pljava,pljava-1_4_2,AssumingSafeReturnValue,0,0,0,0,nan,1.0
pljava,pljava-1_4_2,ExcessiveObjects,0,0,0,0,nan,1.0
pljava,pljava-1_4_2,NotHandlingExceptions,0,0,0,0,nan,1.0
pljava,pljava-1_4_2,NotCachingObjects,0,0,0,0,nan,1.0
pljava,pljava-1_4_2,NotSecuringLibraries,0,0,0,0,nan,1.0
pljava,pljava-1_4_2,HardCodingLibraries,0,0,0,0,nan,1.0
pljava,pljava-1_4_2,NotUsingRelativePath,0,0,0,0,nan,1.0
pljava,pljava-1_4_2,MemoryManagementMismatch,0,0,0,0,nan,1.0
pljava,pljava-1_4_2,LocalReferencesAbuse,0,0,0,0,nan,1.0
pljava,pljava-1_4_0,excessiveInterlangCommunication,0,0,0,0,nan,1.0
pljava,pljava-1_4_0,Toomuchclustring,0,0,0,0,nan,1.0
pljava,pljava-1_4_0,ToomuchScattering,0,0,0,0,nan,1.0
pljava,pljava-1_4_0,UnusedMethodDeclaration,0,0,0,0,nan,1.0
pljava,pljava-1_4_0,UnusedMethodImplementation,0,0,0,0,nan,1.0
pljava,pljava-1_4_0,UnusedParameter,0,0,0,0,nan,1.0
pljava,pljava-1_4_0,AssumingSafeReturnValue,0,0,0,0,nan,1.0
pljava,pljava-1_4_0,ExcessiveObjects,0,0,0,0,nan,1.0
pljava,pljava-1_4_0,NotHandlingExceptions,0,0,0,0,nan,1.0
pljava,pljava-1_4_0,NotCachingObjects,0,0,0,0,nan,1.0
pljava,pljava-1_4_0,NotSecuringLibraries,0,0,0,0,nan,1.0
pljava,pljava-1_4_0,HardCodingLibraries,0,0,0,0,nan,1.0
pljava,pljava-1_4_0,NotUsingRelativePath,0,0,0,0,nan,1.0
pljava,pljava-1_4_0,MemoryManagementMismatch,0,0,0,0,nan,1.0
pljava,pljava-1_4_0,LocalReferencesAbuse,0,0,0,0,nan,1.0
pljava,pljava-1_5_1b2,excessiveInterlangCommunication,3,36,0,14,inf,0.5571587125
pljava,pljava-1_5_1b2,Toomuchclustring,4,35,0,14,inf,0.5630632630
pljava,pljava-1_5_1b2,ToomuchScattering,14,25,3,11,2.0533333333333332,0.5060177783
pljava,pljava-1_5_1b2,UnusedMethodDeclaration,17,22,2,12,4.636363636363637,0.05959390386
pljava,pljava-1_5_1b2,UnusedMethodImplementation,1,38,0,14,inf,1.0
pljava,pljava-1_5_1b2,UnusedParameter,24,15,11,3,0.43636363636363634,0.3329242775
pljava,pljava-1_5_1b2,AssumingSafeReturnValue,0,39,0,14,nan,1.0
pljava,pljava-1_5_1b2,ExcessiveObjects,0,39,0,14,nan,1.0
pljava,pljava-1_5_1b2,NotHandlingExceptions,1,38,0,14,inf,1.0
pljava,pljava-1_5_1b2,NotCachingObjects,0,39,0,14,nan,1.0
pljava,pljava-1_5_1b2,NotSecuringLibraries,0,39,0,14,nan,1.0
pljava,pljava-1_5_1b2,HardCodingLibraries,0,39,0,14,nan,1.0
pljava,pljava-1_5_1b2,NotUsingRelativePath,0,39,0,14,nan,1.0
pljava,pljava-1_5_1b2,MemoryManagementMismatch,1,38,0,14,inf,1.0
pljava,pljava-1_5_1b2,LocalReferencesAbuse,0,39,0,14,nan,1.0
pljava,pljava-1_5_0b3,excessiveInterlangCommunication,2,30,0,14,inf,1.0
pljava,pljava-1_5_0b3,Toomuchclustring,4,28,0,14,inf,0.2978766431
pljava,pljava-1_5_0b3,ToomuchScattering,10,22,4,10,1.1363636363636365,1.0
pljava,pljava-1_5_0b3,UnusedMethodDeclaration,13,19,3,11,2.508771929824561,0.3161269740
pljava,pljava-1_5_0b3,UnusedMethodImplementation,1,31,0,14,inf,1.0
pljava,pljava-1_5_0b3,UnusedParameter,19,13,10,4,0.5846153846153846,0.5202033690
pljava,pljava-1_5_0b3,AssumingSafeReturnValue,0,32,0,14,nan,1.0
pljava,pljava-1_5_0b3,ExcessiveObjects,0,32,0,14,nan,1.0
pljava,pljava-1_5_0b3,NotHandlingExceptions,1,31,0,14,inf,1.0
pljava,pljava-1_5_0b3,NotCachingObjects,0,32,0,14,nan,1.0
pljava,pljava-1_5_0b3,NotSecuringLibraries,0,32,0,14,nan,1.0
pljava,pljava-1_5_0b3,HardCodingLibraries,0,32,0,14,nan,1.0
pljava,pljava-1_5_0b3,NotUsingRelativePath,0,32,0,14,nan,1.0
pljava,pljava-1_5_0b3,MemoryManagementMismatch,1,31,0,14,inf,1.0
pljava,pljava-1_5_0b3,LocalReferencesAbuse,0,32,0,14,nan,1.0
