System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,p-value
conscrypt,pljava-1_5_0b3,excessiveInterlangCommunication,0,1,46,45,0.0,1.0
conscrypt,pljava-1_5_0b3,Toomuchclustring,0,1,46,45,0.0,1.0
conscrypt,pljava-1_5_0b3,ToomuchScattering,0,1,46,45,0.0,1.0
conscrypt,pljava-1_5_0b3,UnusedMethodDeclaration,0,1,46,45,0.0,1.0
conscrypt,pljava-1_5_0b3,UnusedMethodImplementation,0,1,46,45,0.0,1.0
conscrypt,pljava-1_5_0b3,UnusedParameter,1,0,45,46,inf,1.0
conscrypt,pljava-1_5_0b3,NotHandlingExceptions,0,1,46,45,0.0,1.0
conscrypt,pljava-1_5_0b3,NotSecuringLibraries,0,1,46,45,0.0,1.0
conscrypt,pljava-1_5_0b3,HardCodingLibraries,0,1,46,45,0.0,1.0
conscrypt,pljava-1_5_0b3,NotUsingRelativePath,0,1,46,45,0.0,1.0
conscrypt,pljava-1_5_0b3,MemoryManagementMismatch,0,1,46,45,0.0,1.0
conscrypt,pljava-1_5_0b3,LocalReferencesAbuse,0,1,46,45,0.0,1.0
conscrypt,pljava-1_5_1b2,excessiveInterlangCommunication,0,1,53,52,0.0,1.0
conscrypt,pljava-1_5_1b2,Toomuchclustring,0,1,53,52,0.0,1.0
conscrypt,pljava-1_5_1b2,ToomuchScattering,0,1,53,52,0.0,1.0
conscrypt,pljava-1_5_1b2,UnusedMethodDeclaration,0,1,53,52,0.0,1.0
conscrypt,pljava-1_5_1b2,UnusedMethodImplementation,0,1,53,52,0.0,1.0
conscrypt,pljava-1_5_1b2,UnusedParameter,1,0,52,53,inf,1.0
conscrypt,pljava-1_5_1b2,NotHandlingExceptions,0,1,53,52,0.0,1.0
conscrypt,pljava-1_5_1b2,NotSecuringLibraries,0,1,53,52,0.0,1.0
conscrypt,pljava-1_5_1b2,HardCodingLibraries,0,1,53,52,0.0,1.0
conscrypt,pljava-1_5_1b2,NotUsingRelativePath,0,1,53,52,0.0,1.0
conscrypt,pljava-1_5_1b2,MemoryManagementMismatch,0,1,53,52,0.0,1.0
conscrypt,pljava-1_5_1b2,LocalReferencesAbuse,0,1,53,52,0.0,1.0
conscrypt,pljava-1_4_2,excessiveInterlangCommunication,0,0,0,0,nan,1.0
conscrypt,pljava-1_4_2,Toomuchclustring,0,0,0,0,nan,1.0
conscrypt,pljava-1_4_2,ToomuchScattering,0,0,0,0,nan,1.0
conscrypt,pljava-1_4_2,UnusedMethodDeclaration,0,0,0,0,nan,1.0
conscrypt,pljava-1_4_2,UnusedMethodImplementation,0,0,0,0,nan,1.0
conscrypt,pljava-1_4_2,UnusedParameter,0,0,0,0,nan,1.0
conscrypt,pljava-1_4_2,NotHandlingExceptions,0,0,0,0,nan,1.0
conscrypt,pljava-1_4_2,NotSecuringLibraries,0,0,0,0,nan,1.0
conscrypt,pljava-1_4_2,HardCodingLibraries,0,0,0,0,nan,1.0
conscrypt,pljava-1_4_2,NotUsingRelativePath,0,0,0,0,nan,1.0
conscrypt,pljava-1_4_2,MemoryManagementMismatch,0,0,0,0,nan,1.0
conscrypt,pljava-1_4_2,LocalReferencesAbuse,0,0,0,0,nan,1.0
conscrypt,pljava-1_3_0,excessiveInterlangCommunication,0,0,0,0,nan,1.0
conscrypt,pljava-1_3_0,Toomuchclustring,0,0,0,0,nan,1.0
conscrypt,pljava-1_3_0,ToomuchScattering,0,0,0,0,nan,1.0
