System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,pvalue
realm-java,realm-java-1.2.0,excessiveInterlangCommunication,3,17,0,2,inf,1.0
realm-java,realm-java-1.2.0,Toomuchclustring,4,16,0,2,inf,1.0
realm-java,realm-java-1.2.0,ToomuchScattering,0,20,0,2,nan,1.0
realm-java,realm-java-1.2.0,UnusedMethodDeclaration,2,18,0,2,inf,1.0
realm-java,realm-java-1.2.0,UnusedMethodImplementation,1,19,0,2,inf,1.0
realm-java,realm-java-1.2.0,UnusedParameter,16,4,2,0,0.0,1.0
realm-java,realm-java-1.2.0,AssumingSafeReturnValue,0,20,0,2,nan,1.0
realm-java,realm-java-1.2.0,ExcessiveObjects,0,20,0,2,nan,1.0
realm-java,realm-java-1.2.0,NotHandlingExceptions,0,20,0,2,nan,1.0
realm-java,realm-java-1.2.0,NotCachingObjects,0,20,0,2,nan,1.0
realm-java,realm-java-1.2.0,NotSecuringLibraries,1,19,0,2,inf,1.0
realm-java,realm-java-1.2.0,HardCodingLibraries,0,20,0,2,nan,1.0
realm-java,realm-java-1.2.0,NotUsingRelativePath,0,20,0,2,nan,1.0
realm-java,realm-java-1.2.0,MemoryManagementMismatch,0,20,0,2,nan,1.0
realm-java,realm-java-1.2.0,LocalReferencesAbuse,0,20,0,2,nan,1.0
realm-java,realm-java-5.7.1,excessiveInterlangCommunication,9,43,0,22,inf,0.05040789392
realm-java,realm-java-5.7.1,Toomuchclustring,9,43,0,22,inf,0.05040789392
realm-java,realm-java-5.7.1,ToomuchScattering,7,45,0,22,inf,0.09599681806
realm-java,realm-java-5.7.1,UnusedMethodDeclaration,1,51,0,22,inf,1.0
realm-java,realm-java-5.7.1,UnusedMethodImplementation,1,51,0,22,inf,1.0
realm-java,realm-java-5.7.1,UnusedParameter,29,23,22,0,0.0,0.00005961181449
realm-java,realm-java-5.7.1,AssumingSafeReturnValue,3,49,0,22,inf,0.5499814883
realm-java,realm-java-5.7.1,ExcessiveObjects,0,52,0,22,nan,1.0
realm-java,realm-java-5.7.1,NotHandlingExceptions,4,48,0,22,inf,0.3112392732
realm-java,realm-java-5.7.1,NotCachingObjects,0,52,0,22,nan,1.0
realm-java,realm-java-5.7.1,NotSecuringLibraries,1,51,0,22,inf,1.0
realm-java,realm-java-5.7.1,HardCodingLibraries,0,52,0,22,nan,1.0
realm-java,realm-java-5.7.1,NotUsingRelativePath,0,52,0,22,nan,1.0
realm-java,realm-java-5.7.1,MemoryManagementMismatch,0,52,0,22,nan,1.0
realm-java,realm-java-5.7.1,LocalReferencesAbuse,1,51,0,22,inf,1.0
realm-java,realm-java-5.11.0,excessiveInterlangCommunication,9,45,1,23,4.6,0.1619919781
realm-java,realm-java-5.11.0,Toomuchclustring,10,44,2,22,2.5,0.3242845536
realm-java,realm-java-5.11.0,ToomuchScattering,8,46,0,24,inf,0.05341852233
realm-java,realm-java-5.11.0,UnusedMethodDeclaration,1,53,0,24,inf,1.0
realm-java,realm-java-5.11.0,UnusedMethodImplementation,1,53,1,23,0.4339622641509434,0.5234765235
realm-java,realm-java-5.11.0,UnusedParameter,29,25,22,2,0.10545454545454545,0.001550384011
realm-java,realm-java-5.11.0,AssumingSafeReturnValue,3,51,0,24,inf,0.5485567065
realm-java,realm-java-5.11.0,ExcessiveObjects,0,54,0,24,nan,1.0
realm-java,realm-java-5.11.0,NotHandlingExceptions,4,50,0,24,inf,0.3057805353
realm-java,realm-java-5.11.0,NotCachingObjects,0,54,0,24,nan,1.0
realm-java,realm-java-5.11.0,NotSecuringLibraries,1,53,0,24,inf,1.0
realm-java,realm-java-5.11.0,HardCodingLibraries,0,54,0,24,nan,1.0
realm-java,realm-java-5.11.0,NotUsingRelativePath,0,54,0,24,nan,1.0
realm-java,realm-java-5.11.0,MemoryManagementMismatch,0,54,0,24,nan,1.0
realm-java,realm-java-5.11.0,LocalReferencesAbuse,1,53,0,24,inf,1.0
realm-java,realm-java-4.4.0,excessiveInterlangCommunication,9,39,0,18,inf,0.1000536108
realm-java,realm-java-4.4.0,Toomuchclustring,9,39,0,18,inf,0.1000536108
realm-java,realm-java-4.4.0,ToomuchScattering,7,41,0,18,inf,0.1760969332
realm-java,realm-java-4.4.0,UnusedMethodDeclaration,1,47,0,18,inf,1.0
realm-java,realm-java-4.4.0,UnusedMethodImplementation,1,47,0,18,inf,1.0
realm-java,realm-java-4.4.0,UnusedParameter,26,22,18,0,0.0,0.0002358713225
realm-java,realm-java-4.4.0,AssumingSafeReturnValue,3,45,0,18,inf,0.5562937063
realm-java,realm-java-4.4.0,ExcessiveObjects,0,48,0,18,nan,1.0
realm-java,realm-java-4.4.0,NotHandlingExceptions,4,44,0,18,inf,0.5680319680
realm-java,realm-java-4.4.0,NotCachingObjects,0,48,0,18,nan,1.0
realm-java,realm-java-4.4.0,NotSecuringLibraries,1,47,0,18,inf,1.0
realm-java,realm-java-4.4.0,HardCodingLibraries,0,48,0,18,nan,1.0
realm-java,realm-java-4.4.0,NotUsingRelativePath,0,48,0,18,nan,1.0
realm-java,realm-java-4.4.0,MemoryManagementMismatch,0,48,0,18,nan,1.0
realm-java,realm-java-4.4.0,LocalReferencesAbuse,0,48,0,18,nan,1.0
realm-java,realm-java-0.90.0,excessiveInterlangCommunication,3,18,0,2,inf,1.0
realm-java,realm-java-0.90.0,Toomuchclustring,4,17,0,2,inf,1.0
realm-java,realm-java-0.90.0,ToomuchScattering,1,20,0,2,inf,1.0
realm-java,realm-java-0.90.0,UnusedMethodDeclaration,2,19,0,2,inf,1.0
realm-java,realm-java-0.90.0,UnusedMethodImplementation,0,21,0,2,nan,1.0
realm-java,realm-java-0.90.0,UnusedParameter,16,5,2,0,0.0,1.0
realm-java,realm-java-0.90.0,AssumingSafeReturnValue,0,21,0,2,nan,1.0
realm-java,realm-java-0.90.0,ExcessiveObjects,0,21,0,2,nan,1.0
realm-java,realm-java-0.90.0,NotHandlingExceptions,0,21,0,2,nan,1.0
realm-java,realm-java-0.90.0,NotCachingObjects,0,21,0,2,nan,1.0
realm-java,realm-java-0.90.0,NotSecuringLibraries,1,20,0,2,inf,1.0
realm-java,realm-java-0.90.0,HardCodingLibraries,0,21,0,2,nan,1.0
realm-java,realm-java-0.90.0,NotUsingRelativePath,0,21,0,2,nan,1.0
realm-java,realm-java-0.90.0,MemoryManagementMismatch,0,21,0,2,nan,1.0
realm-java,realm-java-0.90.0,LocalReferencesAbuse,0,21,0,2,nan,1.0
realm-java,realm-java-5.4.0,excessiveInterlangCommunication,9,41,0,21,inf,0.04997617361
realm-java,realm-java-5.4.0,Toomuchclustring,9,41,0,21,inf,0.04997617361
realm-java,realm-java-5.4.0,ToomuchScattering,7,43,0,21,inf,0.09597886843
realm-java,realm-java-5.4.0,UnusedMethodDeclaration,1,49,0,21,inf,1.0
realm-java,realm-java-5.4.0,UnusedMethodImplementation,1,49,0,21,inf,1.0
realm-java,realm-java-5.4.0,UnusedParameter,28,22,21,0,0.0,0.0001261614358
realm-java,realm-java-5.4.0,AssumingSafeReturnValue,3,47,0,21,inf,0.5499081445
realm-java,realm-java-5.4.0,ExcessiveObjects,0,50,0,21,nan,1.0
realm-java,realm-java-5.4.0,NotHandlingExceptions,4,46,0,21,inf,0.3116242210
realm-java,realm-java-5.4.0,NotCachingObjects,0,50,0,21,nan,1.0
realm-java,realm-java-5.4.0,NotSecuringLibraries,1,49,0,21,inf,1.0
realm-java,realm-java-5.4.0,HardCodingLibraries,0,50,0,21,nan,1.0
realm-java,realm-java-5.4.0,NotUsingRelativePath,0,50,0,21,nan,1.0
realm-java,realm-java-5.4.0,MemoryManagementMismatch,0,50,0,21,nan,1.0
realm-java,realm-java-5.4.0,LocalReferencesAbuse,0,50,0,21,nan,1.0
realm-java,realm-java-3.7.2,excessiveInterlangCommunication,7,36,0,8,inf,0.5787381570
realm-java,realm-java-3.7.2,Toomuchclustring,7,36,1,7,1.3611111111111112,1.0
realm-java,realm-java-3.7.2,ToomuchScattering,8,35,0,8,inf,0.3270752378
realm-java,realm-java-3.7.2,UnusedMethodDeclaration,1,42,0,8,inf,1.0
realm-java,realm-java-3.7.2,UnusedMethodImplementation,2,41,0,8,inf,1.0
realm-java,realm-java-3.7.2,UnusedParameter,22,21,7,1,0.14965986394557823,0.1165075910
realm-java,realm-java-3.7.2,AssumingSafeReturnValue,4,39,0,8,inf,1.0
realm-java,realm-java-3.7.2,ExcessiveObjects,0,43,0,8,nan,1.0
realm-java,realm-java-3.7.2,NotHandlingExceptions,4,39,0,8,inf,1.0
realm-java,realm-java-3.7.2,NotCachingObjects,0,43,0,8,nan,1.0
realm-java,realm-java-3.7.2,NotSecuringLibraries,1,42,0,8,inf,1.0
realm-java,realm-java-3.7.2,HardCodingLibraries,0,43,0,8,nan,1.0
realm-java,realm-java-3.7.2,NotUsingRelativePath,0,43,0,8,nan,1.0
realm-java,realm-java-3.7.2,MemoryManagementMismatch,0,43,0,8,nan,1.0
realm-java,realm-java-3.7.2,LocalReferencesAbuse,0,43,0,8,nan,1.0
realm-java,realm-java-2.3.2,excessiveInterlangCommunication,3,30,0,3,inf,1.0
realm-java,realm-java-2.3.2,Toomuchclustring,5,28,0,3,inf,1.0
realm-java,realm-java-2.3.2,ToomuchScattering,6,27,0,3,inf,1.0
realm-java,realm-java-2.3.2,UnusedMethodDeclaration,1,32,0,3,inf,1.0
realm-java,realm-java-2.3.2,UnusedMethodImplementation,1,32,0,3,inf,1.0
realm-java,realm-java-2.3.2,UnusedParameter,18,15,3,0,0.0,0.2500000000
realm-java,realm-java-2.3.2,AssumingSafeReturnValue,4,29,0,3,inf,1.0
realm-java,realm-java-2.3.2,ExcessiveObjects,0,33,0,3,nan,1.0
realm-java,realm-java-2.3.2,NotHandlingExceptions,4,29,0,3,inf,1.0
realm-java,realm-java-2.3.2,NotCachingObjects,0,33,0,3,nan,1.0
realm-java,realm-java-2.3.2,NotSecuringLibraries,1,32,0,3,inf,1.0
realm-java,realm-java-2.3.2,HardCodingLibraries,0,33,0,3,nan,1.0
realm-java,realm-java-2.3.2,NotUsingRelativePath,0,33,0,3,nan,1.0
realm-java,realm-java-2.3.2,MemoryManagementMismatch,0,33,0,3,nan,1.0
realm-java,realm-java-2.3.2,LocalReferencesAbuse,1,32,0,3,inf,1.0
realm-java,realm-java-5.15.0,excessiveInterlangCommunication,9,45,1,23,4.6,0.1619919781
realm-java,realm-java-5.15.0,Toomuchclustring,10,44,2,22,2.5,0.3242845536
realm-java,realm-java-5.15.0,ToomuchScattering,8,46,0,24,inf,0.05341852233
realm-java,realm-java-5.15.0,UnusedMethodDeclaration,1,53,0,24,inf,1.0
realm-java,realm-java-5.15.0,UnusedMethodImplementation,1,53,1,23,0.4339622641509434,0.5234765235
realm-java,realm-java-5.15.0,UnusedParameter,29,25,22,2,0.10545454545454545,0.001550384011
realm-java,realm-java-5.15.0,AssumingSafeReturnValue,3,51,0,24,inf,0.5485567065
realm-java,realm-java-5.15.0,ExcessiveObjects,0,54,0,24,nan,1.0
realm-java,realm-java-5.15.0,NotHandlingExceptions,4,50,0,24,inf,0.3057805353
realm-java,realm-java-5.15.0,NotCachingObjects,0,54,0,24,nan,1.0
realm-java,realm-java-5.15.0,NotSecuringLibraries,1,53,0,24,inf,1.0
realm-java,realm-java-5.15.0,HardCodingLibraries,0,54,0,24,nan,1.0
realm-java,realm-java-5.15.0,NotUsingRelativePath,0,54,0,24,nan,1.0
realm-java,realm-java-5.15.0,MemoryManagementMismatch,0,54,0,24,nan,1.0
realm-java,realm-java-5.15.0,LocalReferencesAbuse,1,53,0,24,inf,1.0
realm-java,realm-java-5.9.0,excessiveInterlangCommunication,9,45,1,22,4.4,0.2656450992
realm-java,realm-java-5.9.0,Toomuchclustring,10,44,1,22,5.0,0.1580889021
realm-java,realm-java-5.9.0,ToomuchScattering,8,46,0,23,inf,0.09662924073
realm-java,realm-java-5.9.0,UnusedMethodDeclaration,1,53,0,23,inf,1.0
realm-java,realm-java-5.9.0,UnusedMethodImplementation,1,53,1,22,0.41509433962264153,0.5109364320
realm-java,realm-java-5.9.0,UnusedParameter,29,25,22,1,0.05272727272727273,0.0002026435003
realm-java,realm-java-5.9.0,AssumingSafeReturnValue,3,51,0,23,inf,0.5500615174
realm-java,realm-java-5.9.0,ExcessiveObjects,0,54,0,23,nan,1.0
realm-java,realm-java-5.9.0,NotHandlingExceptions,4,50,0,23,inf,0.3109050267
realm-java,realm-java-5.9.0,NotCachingObjects,0,54,0,23,nan,1.0
realm-java,realm-java-5.9.0,NotSecuringLibraries,1,53,0,23,inf,1.0
