System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,p-value
conscrypt,realm-java-1.2.0,excessiveInterlangCommunication,0,4,22,18,0.0,0.10777
conscrypt,realm-java-1.2.0,Toomuchclustring,0,4,22,18,0.0,0.10777
conscrypt,realm-java-1.2.0,ToomuchScattering,0,4,22,18,0.0,0.10777
conscrypt,realm-java-1.2.0,UnusedMethodDeclaration,0,4,22,18,0.0,0.10777
conscrypt,realm-java-1.2.0,UnusedMethodImplementation,0,4,22,18,0.0,0.10777
conscrypt,realm-java-1.2.0,UnusedParameter,3,1,19,21,3.3157894736842106,0.60692
conscrypt,realm-java-1.2.0,NotHandlingExceptions,0,4,22,18,0.0,0.10777
conscrypt,realm-java-1.2.0,NotSecuringLibraries,1,3,21,19,0.30158730158730157,0.60692
conscrypt,realm-java-1.2.0,HardCodingLibraries,0,4,22,18,0.0,0.10777
conscrypt,realm-java-1.2.0,NotUsingRelativePath,0,4,22,18,0.0,0.10777
conscrypt,realm-java-1.2.0,MemoryManagementMismatch,0,4,22,18,0.0,0.10777
conscrypt,realm-java-1.2.0,LocalReferencesAbuse,0,4,22,18,0.0,0.10777
conscrypt,realm-java-0.90.0,excessiveInterlangCommunication,0,1,23,22,0.0,1.0
conscrypt,realm-java-0.90.0,Toomuchclustring,0,1,23,22,0.0,1.0
conscrypt,realm-java-0.90.0,ToomuchScattering,0,1,23,22,0.0,1.0
conscrypt,realm-java-0.90.0,UnusedMethodDeclaration,0,1,23,22,0.0,1.0
conscrypt,realm-java-0.90.0,UnusedMethodImplementation,0,1,23,22,0.0,1.0
conscrypt,realm-java-0.90.0,UnusedParameter,1,0,22,23,inf,1.0
conscrypt,realm-java-0.90.0,NotHandlingExceptions,0,1,23,22,0.0,1.0
conscrypt,realm-java-0.90.0,NotSecuringLibraries,0,1,23,22,0.0,1.0
conscrypt,realm-java-0.90.0,HardCodingLibraries,0,1,23,22,0.0,1.0
conscrypt,realm-java-0.90.0,NotUsingRelativePath,0,1,23,22,0.0,1.0
conscrypt,realm-java-0.90.0,MemoryManagementMismatch,0,1,23,22,0.0,1.0
conscrypt,realm-java-0.90.0,LocalReferencesAbuse,0,1,23,22,0.0,1.0
conscrypt,realm-java-5.15.0,excessiveInterlangCommunication,0,0,78,78,nan,1.0
conscrypt,realm-java-5.15.0,Toomuchclustring,0,0,78,78,nan,1.0
conscrypt,realm-java-5.15.0,ToomuchScattering,0,0,78,78,nan,1.0
conscrypt,realm-java-5.15.0,UnusedMethodDeclaration,0,0,78,78,nan,1.0
conscrypt,realm-java-5.15.0,UnusedMethodImplementation,0,0,78,78,nan,1.0
conscrypt,realm-java-5.15.0,UnusedParameter,0,0,78,78,nan,1.0
conscrypt,realm-java-5.15.0,NotHandlingExceptions,0,0,78,78,nan,1.0
conscrypt,realm-java-5.15.0,NotSecuringLibraries,0,0,78,78,nan,1.0
conscrypt,realm-java-5.15.0,HardCodingLibraries,0,0,78,78,nan,1.0
conscrypt,realm-java-5.15.0,NotUsingRelativePath,0,0,78,78,nan,1.0
conscrypt,realm-java-5.15.0,MemoryManagementMismatch,0,0,78,78,nan,1.0
conscrypt,realm-java-5.15.0,LocalReferencesAbuse,0,0,78,78,nan,1.0
conscrypt,realm-java-5.11.0,excessiveInterlangCommunication,0,0,78,78,nan,1.0
conscrypt,realm-java-5.11.0,Toomuchclustring,0,0,78,78,nan,1.0
conscrypt,realm-java-5.11.0,ToomuchScattering,0,0,78,78,nan,1.0
conscrypt,realm-java-5.11.0,UnusedMethodDeclaration,0,0,78,78,nan,1.0
conscrypt,realm-java-5.11.0,UnusedMethodImplementation,0,0,78,78,nan,1.0
conscrypt,realm-java-5.11.0,UnusedParameter,0,0,78,78,nan,1.0
conscrypt,realm-java-5.11.0,NotHandlingExceptions,0,0,78,78,nan,1.0
conscrypt,realm-java-5.11.0,NotSecuringLibraries,0,0,78,78,nan,1.0
conscrypt,realm-java-5.11.0,HardCodingLibraries,0,0,78,78,nan,1.0
conscrypt,realm-java-5.11.0,NotUsingRelativePath,0,0,78,78,nan,1.0
conscrypt,realm-java-5.11.0,MemoryManagementMismatch,0,0,78,78,nan,1.0
conscrypt,realm-java-5.11.0,LocalReferencesAbuse,0,0,78,78,nan,1.0
conscrypt,realm-java-5.9.0,excessiveInterlangCommunication,0,0,77,77,nan,1.0
conscrypt,realm-java-5.9.0,Toomuchclustring,0,0,77,77,nan,1.0
conscrypt,realm-java-5.9.0,ToomuchScattering,0,0,77,77,nan,1.0
conscrypt,realm-java-5.9.0,UnusedMethodDeclaration,0,0,77,77,nan,1.0
conscrypt,realm-java-5.9.0,UnusedMethodImplementation,0,0,77,77,nan,1.0
conscrypt,realm-java-5.9.0,UnusedParameter,0,0,77,77,nan,1.0
conscrypt,realm-java-5.9.0,NotHandlingExceptions,0,0,77,77,nan,1.0
conscrypt,realm-java-5.9.0,NotSecuringLibraries,0,0,77,77,nan,1.0
conscrypt,realm-java-5.9.0,HardCodingLibraries,0,0,77,77,nan,1.0
conscrypt,realm-java-5.9.0,NotUsingRelativePath,0,0,77,77,nan,1.0
conscrypt,realm-java-5.9.0,MemoryManagementMismatch,0,0,77,77,nan,1.0
conscrypt,realm-java-5.9.0,LocalReferencesAbuse,0,0,77,77,nan,1.0
conscrypt,realm-java-5.7.1,excessiveInterlangCommunication,0,0,74,74,nan,1.0
conscrypt,realm-java-5.7.1,Toomuchclustring,0,0,74,74,nan,1.0
conscrypt,realm-java-5.7.1,ToomuchScattering,0,0,74,74,nan,1.0
conscrypt,realm-java-5.7.1,UnusedMethodDeclaration,0,0,74,74,nan,1.0
conscrypt,realm-java-5.7.1,UnusedMethodImplementation,0,0,74,74,nan,1.0
conscrypt,realm-java-5.7.1,UnusedParameter,0,0,74,74,nan,1.0
conscrypt,realm-java-5.7.1,NotHandlingExceptions,0,0,74,74,nan,1.0
conscrypt,realm-java-5.7.1,NotSecuringLibraries,0,0,74,74,nan,1.0
conscrypt,realm-java-5.7.1,HardCodingLibraries,0,0,74,74,nan,1.0
conscrypt,realm-java-5.7.1,NotUsingRelativePath,0,0,74,74,nan,1.0
conscrypt,realm-java-5.7.1,MemoryManagementMismatch,0,0,74,74,nan,1.0
conscrypt,realm-java-5.7.1,LocalReferencesAbuse,0,0,74,74,nan,1.0
conscrypt,realm-java-3.7.2,excessiveInterlangCommunication,1,1,50,50,1.0,1.0
conscrypt,realm-java-3.7.2,Toomuchclustring,0,2,51,49,0.0,0.49505
conscrypt,realm-java-3.7.2,ToomuchScattering,1,1,50,50,1.0,1.0
conscrypt,realm-java-3.7.2,UnusedMethodDeclaration,0,2,51,49,0.0,0.49505
conscrypt,realm-java-3.7.2,UnusedMethodImplementation,0,2,51,49,0.0,0.49505
conscrypt,realm-java-3.7.2,UnusedParameter,0,2,51,49,0.0,0.49505
conscrypt,realm-java-3.7.2,NotHandlingExceptions,1,1,50,50,1.0,1.0
conscrypt,realm-java-3.7.2,NotSecuringLibraries,0,2,51,49,0.0,0.49505
conscrypt,realm-java-3.7.2,HardCodingLibraries,0,2,51,49,0.0,0.49505
conscrypt,realm-java-3.7.2,NotUsingRelativePath,0,2,51,49,0.0,0.49505
conscrypt,realm-java-3.7.2,MemoryManagementMismatch,0,2,51,49,0.0,0.49505
conscrypt,realm-java-3.7.2,LocalReferencesAbuse,0,2,51,49,0.0,0.49505
conscrypt,realm-java-4.4.0,excessiveInterlangCommunication,0,0,66,66,nan,1.0
conscrypt,realm-java-4.4.0,Toomuchclustring,0,0,66,66,nan,1.0
conscrypt,realm-java-4.4.0,ToomuchScattering,0,0,66,66,nan,1.0
conscrypt,realm-java-4.4.0,UnusedMethodDeclaration,0,0,66,66,nan,1.0
conscrypt,realm-java-4.4.0,UnusedMethodImplementation,0,0,66,66,nan,1.0
conscrypt,realm-java-4.4.0,UnusedParameter,0,0,66,66,nan,1.0
conscrypt,realm-java-4.4.0,NotHandlingExceptions,0,0,66,66,nan,1.0
conscrypt,realm-java-4.4.0,NotSecuringLibraries,0,0,66,66,nan,1.0
conscrypt,realm-java-4.4.0,HardCodingLibraries,0,0,66,66,nan,1.0
conscrypt,realm-java-4.4.0,NotUsingRelativePath,0,0,66,66,nan,1.0
conscrypt,realm-java-4.4.0,MemoryManagementMismatch,0,0,66,66,nan,1.0
conscrypt,realm-java-4.4.0,LocalReferencesAbuse,0,0,66,66,nan,1.0
conscrypt,realm-java-5.4.0,excessiveInterlangCommunication,0,0,71,71,nan,1.0
conscrypt,realm-java-5.4.0,Toomuchclustring,0,0,71,71,nan,1.0
conscrypt,realm-java-5.4.0,ToomuchScattering,0,0,71,71,nan,1.0
conscrypt,realm-java-5.4.0,UnusedMethodDeclaration,0,0,71,71,nan,1.0
conscrypt,realm-java-5.4.0,UnusedMethodImplementation,0,0,71,71,nan,1.0
conscrypt,realm-java-5.4.0,UnusedParameter,0,0,71,71,nan,1.0
conscrypt,realm-java-5.4.0,NotHandlingExceptions,0,0,71,71,nan,1.0
conscrypt,realm-java-5.4.0,NotSecuringLibraries,0,0,71,71,nan,1.0
conscrypt,realm-java-5.4.0,HardCodingLibraries,0,0,71,71,nan,1.0
conscrypt,realm-java-5.4.0,NotUsingRelativePath,0,0,71,71,nan,1.0
conscrypt,realm-java-5.4.0,MemoryManagementMismatch,0,0,71,71,nan,1.0
conscrypt,realm-java-5.4.0,LocalReferencesAbuse,0,0,71,71,nan,1.0
conscrypt,realm-java-2.3.2,excessiveInterlangCommunication,0,0,36,36,nan,1.0
conscrypt,realm-java-2.3.2,Toomuchclustring,0,0,36,36,nan,1.0
conscrypt,realm-java-2.3.2,ToomuchScattering,0,0,36,36,nan,1.0
conscrypt,realm-java-2.3.2,UnusedMethodDeclaration,0,0,36,36,nan,1.0
conscrypt,realm-java-2.3.2,UnusedMethodImplementation,0,0,36,36,nan,1.0
conscrypt,realm-java-2.3.2,UnusedParameter,0,0,36,36,nan,1.0
conscrypt,realm-java-2.3.2,NotHandlingExceptions,0,0,36,36,nan,1.0
conscrypt,realm-java-2.3.2,NotSecuringLibraries,0,0,36,36,nan,1.0
conscrypt,realm-java-2.3.2,HardCodingLibraries,0,0,36,36,nan,1.0
conscrypt,realm-java-2.3.2,NotUsingRelativePath,0,0,36,36,nan,1.0
conscrypt,realm-java-2.3.2,MemoryManagementMismatch,0,0,36,36,nan,1.0
conscrypt,realm-java-2.3.2,LocalReferencesAbuse,0,0,36,36,nan,1.0
