System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,p-value
conscrypt,realm-java-1.2.0,excessiveInterlangCommunication,0,43,476,433,0.0,0.0
conscrypt,realm-java-1.2.0,Toomuchclustring,0,43,476,433,0.0,0.0
conscrypt,realm-java-1.2.0,ToomuchScattering,0,43,476,433,0.0,0.0
conscrypt,realm-java-1.2.0,UnusedMethodDeclaration,0,43,476,433,0.0,0.0
conscrypt,realm-java-1.2.0,UnusedMethodImplementation,0,43,476,433,0.0,0.0
conscrypt,realm-java-1.2.0,UnusedParameter,3,40,473,436,0.06913319238900634,0.0
conscrypt,realm-java-1.2.0,NotHandlingExceptions,0,43,476,433,0.0,0.0
conscrypt,realm-java-1.2.0,NotSecuringLibraries,1,42,475,434,0.02175438596491228,0.0
conscrypt,realm-java-1.2.0,HardCodingLibraries,0,43,476,433,0.0,0.0
conscrypt,realm-java-1.2.0,NotUsingRelativePath,0,43,476,433,0.0,0.0
conscrypt,realm-java-1.2.0,MemoryManagementMismatch,0,43,476,433,0.0,0.0
conscrypt,realm-java-1.2.0,LocalReferencesAbuse,0,43,476,433,0.0,0.0
conscrypt,realm-java-0.90.0,excessiveInterlangCommunication,0,5,477,472,0.0,0.06185
conscrypt,realm-java-0.90.0,Toomuchclustring,0,5,477,472,0.0,0.06185
conscrypt,realm-java-0.90.0,ToomuchScattering,0,5,477,472,0.0,0.06185
conscrypt,realm-java-0.90.0,UnusedMethodDeclaration,0,5,477,472,0.0,0.06185
conscrypt,realm-java-0.90.0,UnusedMethodImplementation,0,5,477,472,0.0,0.06185
conscrypt,realm-java-0.90.0,UnusedParameter,1,4,476,473,0.24842436974789917,0.37369
conscrypt,realm-java-0.90.0,NotHandlingExceptions,0,5,477,472,0.0,0.06185
conscrypt,realm-java-0.90.0,NotSecuringLibraries,0,5,477,472,0.0,0.06185
conscrypt,realm-java-0.90.0,HardCodingLibraries,0,5,477,472,0.0,0.06185
conscrypt,realm-java-0.90.0,NotUsingRelativePath,0,5,477,472,0.0,0.06185
conscrypt,realm-java-0.90.0,MemoryManagementMismatch,0,5,477,472,0.0,0.06185
conscrypt,realm-java-0.90.0,LocalReferencesAbuse,0,5,477,472,0.0,0.06185
conscrypt,realm-java-5.15.0,excessiveInterlangCommunication,0,0,498,498,nan,1.0
conscrypt,realm-java-5.15.0,Toomuchclustring,0,0,498,498,nan,1.0
conscrypt,realm-java-5.15.0,ToomuchScattering,0,0,498,498,nan,1.0
conscrypt,realm-java-5.15.0,UnusedMethodDeclaration,0,0,498,498,nan,1.0
conscrypt,realm-java-5.15.0,UnusedMethodImplementation,0,0,498,498,nan,1.0
conscrypt,realm-java-5.15.0,UnusedParameter,0,0,498,498,nan,1.0
conscrypt,realm-java-5.15.0,NotHandlingExceptions,0,0,498,498,nan,1.0
conscrypt,realm-java-5.15.0,NotSecuringLibraries,0,0,498,498,nan,1.0
conscrypt,realm-java-5.15.0,HardCodingLibraries,0,0,498,498,nan,1.0
conscrypt,realm-java-5.15.0,NotUsingRelativePath,0,0,498,498,nan,1.0
conscrypt,realm-java-5.15.0,MemoryManagementMismatch,0,0,498,498,nan,1.0
conscrypt,realm-java-5.15.0,LocalReferencesAbuse,0,0,498,498,nan,1.0
conscrypt,realm-java-5.11.0,excessiveInterlangCommunication,0,0,498,498,nan,1.0
conscrypt,realm-java-5.11.0,Toomuchclustring,0,0,498,498,nan,1.0
conscrypt,realm-java-5.11.0,ToomuchScattering,0,0,498,498,nan,1.0
conscrypt,realm-java-5.11.0,UnusedMethodDeclaration,0,0,498,498,nan,1.0
conscrypt,realm-java-5.11.0,UnusedMethodImplementation,0,0,498,498,nan,1.0
conscrypt,realm-java-5.11.0,UnusedParameter,0,0,498,498,nan,1.0
conscrypt,realm-java-5.11.0,NotHandlingExceptions,0,0,498,498,nan,1.0
conscrypt,realm-java-5.11.0,NotSecuringLibraries,0,0,498,498,nan,1.0
conscrypt,realm-java-5.11.0,HardCodingLibraries,0,0,498,498,nan,1.0
conscrypt,realm-java-5.11.0,NotUsingRelativePath,0,0,498,498,nan,1.0
conscrypt,realm-java-5.11.0,MemoryManagementMismatch,0,0,498,498,nan,1.0
