System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,pvalue
rocksdb,rocksdb-5.6.2,excessiveInterlangCommunication,11,79,0,24,inf,0.1164944134
rocksdb,rocksdb-5.6.2,Toomuchclustring,13,77,7,17,0.4100185528756957,0.1282888976
rocksdb,rocksdb-5.6.2,ToomuchScattering,19,71,12,12,0.2676056338028169,0.008660941280
rocksdb,rocksdb-5.6.2,UnusedMethodDeclaration,5,85,0,24,inf,0.5822670764
rocksdb,rocksdb-5.6.2,UnusedMethodImplementation,0,90,0,24,nan,1.0
rocksdb,rocksdb-5.6.2,UnusedParameter,58,32,6,18,5.4375,0.0009169130761
rocksdb,rocksdb-5.6.2,AssumingSafeReturnValue,0,90,0,24,nan,1.0
rocksdb,rocksdb-5.6.2,ExcessiveObjects,0,90,0,24,nan,1.0
rocksdb,rocksdb-5.6.2,NotHandlingExceptions,0,90,0,24,nan,1.0
rocksdb,rocksdb-5.6.2,NotCachingObjects,0,90,0,24,nan,1.0
rocksdb,rocksdb-5.6.2,NotSecuringLibraries,3,87,0,24,inf,1.0
rocksdb,rocksdb-5.6.2,HardCodingLibraries,1,89,0,24,inf,1.0
rocksdb,rocksdb-5.6.2,NotUsingRelativePath,1,89,0,24,inf,1.0
rocksdb,rocksdb-5.6.2,MemoryManagementMismatch,0,90,0,24,nan,1.0
rocksdb,rocksdb-5.6.2,LocalReferencesAbuse,0,90,0,24,nan,1.0
rocksdb,rocksdb-master,excessiveInterlangCommunication,15,34,3,53,7.794117647058823,0.0006766176533
rocksdb,rocksdb-master,Toomuchclustring,16,33,16,40,1.2121212121212122,0.6761104379
rocksdb,rocksdb-master,ToomuchScattering,17,32,27,29,0.5706018518518519,0.1722210354
rocksdb,rocksdb-master,UnusedMethodDeclaration,0,49,0,56,nan,1.0
rocksdb,rocksdb-master,UnusedMethodImplementation,0,49,0,56,nan,1.0
rocksdb,rocksdb-master,UnusedParameter,14,35,21,35,0.6666666666666666,0.4080306695
rocksdb,rocksdb-master,AssumingSafeReturnValue,1,48,0,56,inf,0.4666666667
rocksdb,rocksdb-master,ExcessiveObjects,0,49,0,56,nan,1.0
rocksdb,rocksdb-master,NotHandlingExceptions,1,48,0,56,inf,0.4666666667
rocksdb,rocksdb-master,NotCachingObjects,0,49,0,56,nan,1.0
rocksdb,rocksdb-master,NotSecuringLibraries,3,46,0,56,inf,0.09828230022
rocksdb,rocksdb-master,HardCodingLibraries,1,48,0,56,inf,0.4666666667
rocksdb,rocksdb-master,NotUsingRelativePath,1,48,0,56,inf,0.4666666667
rocksdb,rocksdb-master,MemoryManagementMismatch,1,48,0,56,inf,0.4666666667
rocksdb,rocksdb-master,LocalReferencesAbuse,0,49,0,56,nan,1.0
rocksdb,rocksdb-5.17.2,excessiveInterlangCommunication,14,37,3,36,4.54054054054054,0.02786295116
rocksdb,rocksdb-5.17.2,Toomuchclustring,15,36,12,27,0.9375,1.0
rocksdb,rocksdb-5.17.2,ToomuchScattering,18,33,19,20,0.5741626794258373,0.2797619761
rocksdb,rocksdb-5.17.2,UnusedMethodDeclaration,7,44,1,38,6.045454545454546,0.1310419852
rocksdb,rocksdb-5.17.2,UnusedMethodImplementation,0,51,0,39,nan,1.0
rocksdb,rocksdb-5.17.2,UnusedParameter,16,35,13,26,0.9142857142857143,1.0
rocksdb,rocksdb-5.17.2,AssumingSafeReturnValue,0,51,0,39,nan,1.0
rocksdb,rocksdb-5.17.2,ExcessiveObjects,0,51,0,39,nan,1.0
rocksdb,rocksdb-5.17.2,NotHandlingExceptions,0,51,0,39,nan,1.0
rocksdb,rocksdb-5.17.2,NotCachingObjects,0,51,0,39,nan,1.0
rocksdb,rocksdb-5.17.2,NotSecuringLibraries,3,48,0,39,inf,0.2550561798
rocksdb,rocksdb-5.17.2,HardCodingLibraries,1,50,0,39,inf,1.0
rocksdb,rocksdb-5.17.2,NotUsingRelativePath,1,50,0,39,inf,1.0
rocksdb,rocksdb-5.17.2,MemoryManagementMismatch,1,50,0,39,inf,1.0
rocksdb,rocksdb-5.17.2,LocalReferencesAbuse,0,51,0,39,nan,1.0
rocksdb,rocksdb-5.18.3,excessiveInterlangCommunication,14,36,3,40,5.185185185185185,0.01390674414
rocksdb,rocksdb-5.18.3,Toomuchclustring,15,35,13,30,0.989010989010989,1.0
rocksdb,rocksdb-5.18.3,ToomuchScattering,18,32,21,22,0.5892857142857143,0.2920389242
rocksdb,rocksdb-5.18.3,UnusedMethodDeclaration,7,43,1,42,6.837209302325581,0.06468999241
rocksdb,rocksdb-5.18.3,UnusedMethodImplementation,0,50,0,43,nan,1.0
rocksdb,rocksdb-5.18.3,UnusedParameter,15,35,14,29,0.8877551020408163,0.8253354724
rocksdb,rocksdb-5.18.3,AssumingSafeReturnValue,0,50,0,43,nan,1.0
rocksdb,rocksdb-5.18.3,ExcessiveObjects,0,50,0,43,nan,1.0
rocksdb,rocksdb-5.18.3,NotHandlingExceptions,0,50,0,43,nan,1.0
rocksdb,rocksdb-5.18.3,NotCachingObjects,0,50,0,43,nan,1.0
rocksdb,rocksdb-5.18.3,NotSecuringLibraries,3,47,0,43,inf,0.2461430575
rocksdb,rocksdb-5.18.3,HardCodingLibraries,1,49,0,43,inf,1.0
rocksdb,rocksdb-5.18.3,NotUsingRelativePath,1,49,0,43,inf,1.0
rocksdb,rocksdb-5.18.3,MemoryManagementMismatch,1,49,0,43,inf,1.0
rocksdb,rocksdb-5.18.3,LocalReferencesAbuse,0,50,0,43,nan,1.0
rocksdb,rocksdb-6.1.1,excessiveInterlangCommunication,15,34,3,52,7.647058823529412,0.001282418072
rocksdb,rocksdb-6.1.1,Toomuchclustring,16,33,16,39,1.1818181818181819,0.8317696909
rocksdb,rocksdb-6.1.1,ToomuchScattering,17,32,27,28,0.5509259259259259,0.1661424982
rocksdb,rocksdb-6.1.1,UnusedMethodDeclaration,6,43,1,54,7.534883720930233,0.04980092977
rocksdb,rocksdb-6.1.1,UnusedMethodImplementation,0,49,0,55,nan,1.0
