System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,p-value
conscrypt,rocksdb-5.14.3,excessiveInterlangCommunication,0,0,88,88,nan,1.0
conscrypt,rocksdb-5.14.3,Toomuchclustring,0,0,88,88,nan,1.0
conscrypt,rocksdb-5.14.3,ToomuchScattering,0,0,88,88,nan,1.0
conscrypt,rocksdb-5.14.3,UnusedMethodDeclaration,0,0,88,88,nan,1.0
conscrypt,rocksdb-5.14.3,UnusedMethodImplementation,0,0,88,88,nan,1.0
conscrypt,rocksdb-5.14.3,UnusedParameter,0,0,88,88,nan,1.0
conscrypt,rocksdb-5.14.3,NotHandlingExceptions,0,0,88,88,nan,1.0
conscrypt,rocksdb-5.14.3,NotSecuringLibraries,0,0,88,88,nan,1.0
conscrypt,rocksdb-5.14.3,HardCodingLibraries,0,0,88,88,nan,1.0
conscrypt,rocksdb-5.14.3,NotUsingRelativePath,0,0,88,88,nan,1.0
conscrypt,rocksdb-5.14.3,MemoryManagementMismatch,0,0,88,88,nan,1.0
conscrypt,rocksdb-5.14.3,LocalReferencesAbuse,0,0,88,88,nan,1.0
conscrypt,rocksdb-5.17.2,excessiveInterlangCommunication,1,1,89,89,1.0,1.0
conscrypt,rocksdb-5.17.2,Toomuchclustring,1,1,89,89,1.0,1.0
conscrypt,rocksdb-5.17.2,ToomuchScattering,0,2,90,88,0.0,0.49721
conscrypt,rocksdb-5.17.2,UnusedMethodDeclaration,1,1,89,89,1.0,1.0
conscrypt,rocksdb-5.17.2,UnusedMethodImplementation,0,2,90,88,0.0,0.49721
conscrypt,rocksdb-5.17.2,UnusedParameter,1,1,89,89,1.0,1.0
conscrypt,rocksdb-5.17.2,NotHandlingExceptions,0,2,90,88,0.0,0.49721
conscrypt,rocksdb-5.17.2,NotSecuringLibraries,0,2,90,88,0.0,0.49721
conscrypt,rocksdb-5.17.2,HardCodingLibraries,0,2,90,88,0.0,0.49721
conscrypt,rocksdb-5.17.2,NotUsingRelativePath,0,2,90,88,0.0,0.49721
conscrypt,rocksdb-5.17.2,MemoryManagementMismatch,0,2,90,88,0.0,0.49721
conscrypt,rocksdb-5.17.2,LocalReferencesAbuse,0,2,90,88,0.0,0.49721
conscrypt,rocksdb-5.9.2,excessiveInterlangCommunication,0,11,127,116,0.0,0.00078
conscrypt,rocksdb-5.9.2,Toomuchclustring,0,11,127,116,0.0,0.00078
conscrypt,rocksdb-5.9.2,ToomuchScattering,0,11,127,116,0.0,0.00078
conscrypt,rocksdb-5.9.2,UnusedMethodDeclaration,0,11,127,116,0.0,0.00078
conscrypt,rocksdb-5.9.2,UnusedMethodImplementation,0,11,127,116,0.0,0.00078
conscrypt,rocksdb-5.9.2,UnusedParameter,11,0,116,127,inf,0.00078
conscrypt,rocksdb-5.9.2,NotHandlingExceptions,0,11,127,116,0.0,0.00078
conscrypt,rocksdb-5.9.2,NotSecuringLibraries,0,11,127,116,0.0,0.00078
conscrypt,rocksdb-5.9.2,HardCodingLibraries,0,11,127,116,0.0,0.00078
conscrypt,rocksdb-5.9.2,NotUsingRelativePath,0,11,127,116,0.0,0.00078
conscrypt,rocksdb-5.9.2,MemoryManagementMismatch,0,11,127,116,0.0,0.00078
conscrypt,rocksdb-5.9.2,LocalReferencesAbuse,0,11,127,116,0.0,0.00078
conscrypt,rocksdb-6.1.1,excessiveInterlangCommunication,0,2,104,102,0.0,0.49758
conscrypt,rocksdb-6.1.1,Toomuchclustring,0,2,104,102,0.0,0.49758
conscrypt,rocksdb-6.1.1,ToomuchScattering,0,2,104,102,0.0,0.49758
conscrypt,rocksdb-6.1.1,UnusedMethodDeclaration,0,2,104,102,0.0,0.49758
conscrypt,rocksdb-6.1.1,UnusedMethodImplementation,0,2,104,102,0.0,0.49758
conscrypt,rocksdb-6.1.1,UnusedParameter,2,0,102,104,inf,0.49758
conscrypt,rocksdb-6.1.1,NotHandlingExceptions,0,2,104,102,0.0,0.49758
conscrypt,rocksdb-6.1.1,NotSecuringLibraries,0,2,104,102,0.0,0.49758
conscrypt,rocksdb-6.1.1,HardCodingLibraries,0,2,104,102,0.0,0.49758
conscrypt,rocksdb-6.1.1,NotUsingRelativePath,0,2,104,102,0.0,0.49758
conscrypt,rocksdb-6.1.1,MemoryManagementMismatch,0,2,104,102,0.0,0.49758
conscrypt,rocksdb-6.1.1,LocalReferencesAbuse,0,2,104,102,0.0,0.49758
conscrypt,rocksdb-5.0.2,excessiveInterlangCommunication,0,3,99,96,0.0,0.24619
conscrypt,rocksdb-5.0.2,Toomuchclustring,0,3,99,96,0.0,0.24619
conscrypt,rocksdb-5.0.2,ToomuchScattering,0,3,99,96,0.0,0.24619
conscrypt,rocksdb-5.0.2,UnusedMethodDeclaration,0,3,99,96,0.0,0.24619
conscrypt,rocksdb-5.0.2,UnusedMethodImplementation,0,3,99,96,0.0,0.24619
conscrypt,rocksdb-5.0.2,UnusedParameter,3,0,96,99,inf,0.24619
conscrypt,rocksdb-5.0.2,NotHandlingExceptions,0,3,99,96,0.0,0.24619
conscrypt,rocksdb-5.0.2,NotSecuringLibraries,0,3,99,96,0.0,0.24619
conscrypt,rocksdb-5.0.2,HardCodingLibraries,0,3,99,96,0.0,0.24619
conscrypt,rocksdb-5.0.2,NotUsingRelativePath,0,3,99,96,0.0,0.24619
conscrypt,rocksdb-5.0.2,MemoryManagementMismatch,0,3,99,96,0.0,0.24619
conscrypt,rocksdb-5.0.2,LocalReferencesAbuse,0,3,99,96,0.0,0.24619
conscrypt,rocksdb-5.4.6,excessiveInterlangCommunication,0,14,112,98,0.0,8e-05
conscrypt,rocksdb-5.4.6,Toomuchclustring,0,14,112,98,0.0,8e-05
conscrypt,rocksdb-5.4.6,ToomuchScattering,0,14,112,98,0.0,8e-05
conscrypt,rocksdb-5.4.6,UnusedMethodDeclaration,1,13,111,99,0.06860706860706861,0.00133
conscrypt,rocksdb-5.4.6,UnusedMethodImplementation,0,14,112,98,0.0,8e-05
conscrypt,rocksdb-5.4.6,UnusedParameter,13,1,99,111,14.575757575757576,0.00133
conscrypt,rocksdb-5.4.6,NotHandlingExceptions,0,14,112,98,0.0,8e-05
conscrypt,rocksdb-5.4.6,NotSecuringLibraries,0,14,112,98,0.0,8e-05
conscrypt,rocksdb-5.4.6,HardCodingLibraries,0,14,112,98,0.0,8e-05
conscrypt,rocksdb-5.4.6,NotUsingRelativePath,0,14,112,98,0.0,8e-05
conscrypt,rocksdb-5.4.6,MemoryManagementMismatch,0,14,112,98,0.0,8e-05
conscrypt,rocksdb-5.4.6,LocalReferencesAbuse,0,14,112,98,0.0,8e-05
conscrypt,rocksdb-5.18.3,excessiveInterlangCommunication,0,1,93,92,0.0,1.0
conscrypt,rocksdb-5.18.3,Toomuchclustring,0,1,93,92,0.0,1.0
conscrypt,rocksdb-5.18.3,ToomuchScattering,0,1,93,92,0.0,1.0
