System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,p-value
conscrypt,rocksdb-5.14.3,excessiveInterlangCommunication,0,2,277,275,0.0,0.4991
conscrypt,rocksdb-5.14.3,Toomuchclustring,0,2,277,275,0.0,0.4991
conscrypt,rocksdb-5.14.3,ToomuchScattering,0,2,277,275,0.0,0.4991
conscrypt,rocksdb-5.14.3,UnusedMethodDeclaration,0,2,277,275,0.0,0.4991
conscrypt,rocksdb-5.14.3,UnusedMethodImplementation,0,2,277,275,0.0,0.4991
conscrypt,rocksdb-5.14.3,UnusedParameter,0,2,277,275,0.0,0.4991
conscrypt,rocksdb-5.14.3,NotHandlingExceptions,0,2,277,275,0.0,0.4991
conscrypt,rocksdb-5.14.3,NotSecuringLibraries,0,2,277,275,0.0,0.4991
conscrypt,rocksdb-5.14.3,HardCodingLibraries,0,2,277,275,0.0,0.4991
conscrypt,rocksdb-5.14.3,NotUsingRelativePath,0,2,277,275,0.0,0.4991
conscrypt,rocksdb-5.14.3,MemoryManagementMismatch,0,2,277,275,0.0,0.4991
conscrypt,rocksdb-5.14.3,LocalReferencesAbuse,0,2,277,275,0.0,0.4991
conscrypt,rocksdb-5.17.2,excessiveInterlangCommunication,1,9,278,270,0.1079136690647482,0.02039
conscrypt,rocksdb-5.17.2,Toomuchclustring,1,9,278,270,0.1079136690647482,0.02039
conscrypt,rocksdb-5.17.2,ToomuchScattering,0,10,279,269,0.0,0.0018
conscrypt,rocksdb-5.17.2,UnusedMethodDeclaration,1,9,278,270,0.1079136690647482,0.02039
conscrypt,rocksdb-5.17.2,UnusedMethodImplementation,0,10,279,269,0.0,0.0018
conscrypt,rocksdb-5.17.2,UnusedParameter,1,9,278,270,0.1079136690647482,0.02039
conscrypt,rocksdb-5.17.2,NotHandlingExceptions,0,10,279,269,0.0,0.0018
conscrypt,rocksdb-5.17.2,NotSecuringLibraries,0,10,279,269,0.0,0.0018
conscrypt,rocksdb-5.17.2,HardCodingLibraries,0,10,279,269,0.0,0.0018
conscrypt,rocksdb-5.17.2,NotUsingRelativePath,0,10,279,269,0.0,0.0018
conscrypt,rocksdb-5.17.2,MemoryManagementMismatch,0,10,279,269,0.0,0.0018
conscrypt,rocksdb-5.17.2,LocalReferencesAbuse,0,10,279,269,0.0,0.0018
conscrypt,rocksdb-5.9.2,excessiveInterlangCommunication,0,13,312,299,0.0,0.00021
conscrypt,rocksdb-5.9.2,Toomuchclustring,0,13,312,299,0.0,0.00021
conscrypt,rocksdb-5.9.2,ToomuchScattering,0,13,312,299,0.0,0.00021
conscrypt,rocksdb-5.9.2,UnusedMethodDeclaration,0,13,312,299,0.0,0.00021
conscrypt,rocksdb-5.9.2,UnusedMethodImplementation,0,13,312,299,0.0,0.00021
conscrypt,rocksdb-5.9.2,UnusedParameter,11,2,301,310,5.664451827242525,0.02113
conscrypt,rocksdb-5.9.2,NotHandlingExceptions,0,13,312,299,0.0,0.00021
conscrypt,rocksdb-5.9.2,NotSecuringLibraries,0,13,312,299,0.0,0.00021
conscrypt,rocksdb-5.9.2,HardCodingLibraries,0,13,312,299,0.0,0.00021
conscrypt,rocksdb-5.9.2,NotUsingRelativePath,0,13,312,299,0.0,0.00021
conscrypt,rocksdb-5.9.2,MemoryManagementMismatch,0,13,312,299,0.0,0.00021
conscrypt,rocksdb-5.9.2,LocalReferencesAbuse,0,13,312,299,0.0,0.00021
conscrypt,rocksdb-6.1.1,excessiveInterlangCommunication,0,9,288,279,0.0,0.00367
conscrypt,rocksdb-6.1.1,Toomuchclustring,0,9,288,279,0.0,0.00367
conscrypt,rocksdb-6.1.1,ToomuchScattering,0,9,288,279,0.0,0.00367
conscrypt,rocksdb-6.1.1,UnusedMethodDeclaration,0,9,288,279,0.0,0.00367
conscrypt,rocksdb-6.1.1,UnusedMethodImplementation,0,9,288,279,0.0,0.00367
conscrypt,rocksdb-6.1.1,UnusedParameter,2,7,286,281,0.2807192807192807,0.17625
conscrypt,rocksdb-6.1.1,NotHandlingExceptions,0,9,288,279,0.0,0.00367
conscrypt,rocksdb-6.1.1,NotSecuringLibraries,0,9,288,279,0.0,0.00367
conscrypt,rocksdb-6.1.1,HardCodingLibraries,0,9,288,279,0.0,0.00367
conscrypt,rocksdb-6.1.1,NotUsingRelativePath,0,9,288,279,0.0,0.00367
conscrypt,rocksdb-6.1.1,MemoryManagementMismatch,0,9,288,279,0.0,0.00367
conscrypt,rocksdb-6.1.1,LocalReferencesAbuse,0,9,288,279,0.0,0.00367
conscrypt,rocksdb-5.0.2,excessiveInterlangCommunication,0,5,292,287,0.0,0.06143
conscrypt,rocksdb-5.0.2,Toomuchclustring,0,5,292,287,0.0,0.06143
conscrypt,rocksdb-5.0.2,ToomuchScattering,0,5,292,287,0.0,0.06143
conscrypt,rocksdb-5.0.2,UnusedMethodDeclaration,0,5,292,287,0.0,0.06143
conscrypt,rocksdb-5.0.2,UnusedMethodImplementation,0,5,292,287,0.0,0.06143
conscrypt,rocksdb-5.0.2,UnusedParameter,3,2,289,290,1.505190311418685,1.0
conscrypt,rocksdb-5.0.2,NotHandlingExceptions,0,5,292,287,0.0,0.06143
conscrypt,rocksdb-5.0.2,NotSecuringLibraries,0,5,292,287,0.0,0.06143
conscrypt,rocksdb-5.0.2,HardCodingLibraries,0,5,292,287,0.0,0.06143
conscrypt,rocksdb-5.0.2,NotUsingRelativePath,0,5,292,287,0.0,0.06143
conscrypt,rocksdb-5.0.2,MemoryManagementMismatch,0,5,292,287,0.0,0.06143
conscrypt,rocksdb-5.0.2,LocalReferencesAbuse,0,5,292,287,0.0,0.06143
conscrypt,rocksdb-5.4.6,excessiveInterlangCommunication,0,20,300,280,0.0,0.0
conscrypt,rocksdb-5.4.6,Toomuchclustring,0,20,300,280,0.0,0.0
conscrypt,rocksdb-5.4.6,ToomuchScattering,0,20,300,280,0.0,0.0
conscrypt,rocksdb-5.4.6,UnusedMethodDeclaration,1,19,299,281,0.049463122689667315,3e-05
conscrypt,rocksdb-5.4.6,UnusedMethodImplementation,0,20,300,280,0.0,0.0
conscrypt,rocksdb-5.4.6,UnusedParameter,13,7,287,293,1.895968143354903,0.25505
conscrypt,rocksdb-5.4.6,NotHandlingExceptions,0,20,300,280,0.0,0.0
conscrypt,rocksdb-5.4.6,NotSecuringLibraries,0,20,300,280,0.0,0.0
conscrypt,rocksdb-5.4.6,HardCodingLibraries,0,20,300,280,0.0,0.0
conscrypt,rocksdb-5.4.6,NotUsingRelativePath,0,20,300,280,0.0,0.0
conscrypt,rocksdb-5.4.6,MemoryManagementMismatch,0,20,300,280,0.0,0.0
conscrypt,rocksdb-5.4.6,LocalReferencesAbuse,0,20,300,280,0.0,0.0
conscrypt,rocksdb-5.18.3,excessiveInterlangCommunication,0,1,282,281,0.0,1.0
conscrypt,rocksdb-5.18.3,Toomuchclustring,0,1,282,281,0.0,1.0
conscrypt,rocksdb-5.18.3,ToomuchScattering,0,1,282,281,0.0,1.0
conscrypt,rocksdb-5.18.3,UnusedMethodDeclaration,0,1,282,281,0.0,1.0
conscrypt,rocksdb-5.18.3,UnusedMethodImplementation,0,1,282,281,0.0,1.0
conscrypt,rocksdb-5.18.3,UnusedParameter,1,0,281,282,inf,1.0
conscrypt,rocksdb-5.18.3,NotHandlingExceptions,0,1,282,281,0.0,1.0
conscrypt,rocksdb-5.18.3,NotSecuringLibraries,0,1,282,281,0.0,1.0
conscrypt,rocksdb-5.18.3,HardCodingLibraries,0,1,282,281,0.0,1.0
conscrypt,rocksdb-5.18.3,NotUsingRelativePath,0,1,282,281,0.0,1.0
conscrypt,rocksdb-5.18.3,MemoryManagementMismatch,0,1,282,281,0.0,1.0
conscrypt,rocksdb-5.18.3,LocalReferencesAbuse,0,1,282,281,0.0,1.0
conscrypt,rocksdb-5.11.2,excessiveInterlangCommunication,0,0,322,322,nan,1.0
conscrypt,rocksdb-5.11.2,Toomuchclustring,0,0,322,322,nan,1.0
conscrypt,rocksdb-5.11.2,ToomuchScattering,0,0,322,322,nan,1.0
conscrypt,rocksdb-5.11.2,UnusedMethodDeclaration,0,0,322,322,nan,1.0
conscrypt,rocksdb-5.11.2,UnusedMethodImplementation,0,0,322,322,nan,1.0
conscrypt,rocksdb-5.11.2,UnusedParameter,0,0,322,322,nan,1.0
conscrypt,rocksdb-5.11.2,NotHandlingExceptions,0,0,322,322,nan,1.0
conscrypt,rocksdb-5.11.2,NotSecuringLibraries,0,0,322,322,nan,1.0
conscrypt,rocksdb-5.11.2,HardCodingLibraries,0,0,322,322,nan,1.0
conscrypt,rocksdb-5.11.2,NotUsingRelativePath,0,0,322,322,nan,1.0
conscrypt,rocksdb-5.11.2,MemoryManagementMismatch,0,0,322,322,nan,1.0
conscrypt,rocksdb-5.11.2,LocalReferencesAbuse,0,0,322,322,nan,1.0
conscrypt,rocksdb-5.6.2,excessiveInterlangCommunication,0,0,301,301,nan,1.0
conscrypt,rocksdb-5.6.2,Toomuchclustring,0,0,301,301,nan,1.0
conscrypt,rocksdb-5.6.2,ToomuchScattering,0,0,301,301,nan,1.0
conscrypt,rocksdb-5.6.2,UnusedMethodDeclaration,0,0,301,301,nan,1.0
conscrypt,rocksdb-5.6.2,UnusedMethodImplementation,0,0,301,301,nan,1.0
conscrypt,rocksdb-5.6.2,UnusedParameter,0,0,301,301,nan,1.0
conscrypt,rocksdb-5.6.2,NotHandlingExceptions,0,0,301,301,nan,1.0
conscrypt,rocksdb-5.6.2,NotSecuringLibraries,0,0,301,301,nan,1.0
conscrypt,rocksdb-5.6.2,HardCodingLibraries,0,0,301,301,nan,1.0
conscrypt,rocksdb-5.6.2,NotUsingRelativePath,0,0,301,301,nan,1.0
conscrypt,rocksdb-5.6.2,MemoryManagementMismatch,0,0,301,301,nan,1.0
conscrypt,rocksdb-5.6.2,LocalReferencesAbuse,0,0,301,301,nan,1.0
conscrypt,rocksdb-master,excessiveInterlangCommunication,0,0,289,289,nan,1.0
conscrypt,rocksdb-master,Toomuchclustring,0,0,289,289,nan,1.0
conscrypt,rocksdb-master,ToomuchScattering,0,0,289,289,nan,1.0
conscrypt,rocksdb-master,UnusedMethodDeclaration,0,0,289,289,nan,1.0
conscrypt,rocksdb-master,UnusedMethodImplementation,0,0,289,289,nan,1.0
conscrypt,rocksdb-master,UnusedParameter,0,0,289,289,nan,1.0
conscrypt,rocksdb-master,NotHandlingExceptions,0,0,289,289,nan,1.0
conscrypt,rocksdb-master,NotSecuringLibraries,0,0,289,289,nan,1.0
conscrypt,rocksdb-master,HardCodingLibraries,0,0,289,289,nan,1.0
conscrypt,rocksdb-master,NotUsingRelativePath,0,0,289,289,nan,1.0
conscrypt,rocksdb-master,MemoryManagementMismatch,0,0,289,289,nan,1.0
conscrypt,rocksdb-master,LocalReferencesAbuse,0,0,289,289,nan,1.0
