System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,pvalue
vlc-android,vlc-android-3.0.96,excessiveInterlangCommunication,1,18,0,8,inf,1.0
vlc-android,vlc-android-3.0.96,Toomuchclustring,1,18,0,8,inf,1.0
vlc-android,vlc-android-3.0.96,ToomuchScattering,5,14,0,8,inf,0.2798216276
vlc-android,vlc-android-3.0.96,UnusedMethodDeclaration,4,15,3,5,0.4444444444444444,0.6333637377
vlc-android,vlc-android-3.0.96,UnusedMethodImplementation,2,17,0,8,inf,1.0
vlc-android,vlc-android-3.0.96,UnusedParameter,11,8,5,3,0.825,1.0
vlc-android,vlc-android-3.0.96,AssumingSafeReturnValue,1,18,0,8,inf,1.0
vlc-android,vlc-android-3.0.96,ExcessiveObjects,0,19,0,8,nan,1.0
vlc-android,vlc-android-3.0.96,NotHandlingExceptions,1,18,0,8,inf,1.0
vlc-android,vlc-android-3.0.96,NotCachingObjects,0,19,0,8,nan,1.0
vlc-android,vlc-android-3.0.96,NotSecuringLibraries,0,19,0,8,nan,1.0
vlc-android,vlc-android-3.0.96,HardCodingLibraries,0,19,0,8,nan,1.0
vlc-android,vlc-android-3.0.96,NotUsingRelativePath,2,17,0,8,inf,1.0
vlc-android,vlc-android-3.0.96,MemoryManagementMismatch,0,19,0,8,nan,1.0
vlc-android,vlc-android-3.0.96,LocalReferencesAbuse,1,18,0,8,inf,1.0
vlc-android,vlc-android-3.0.92,excessiveInterlangCommunication,1,18,0,8,inf,1.0
vlc-android,vlc-android-3.0.92,Toomuchclustring,1,18,0,8,inf,1.0
vlc-android,vlc-android-3.0.92,ToomuchScattering,5,14,0,8,inf,0.2798216276
vlc-android,vlc-android-3.0.92,UnusedMethodDeclaration,4,15,3,5,0.4444444444444444,0.6333637377
vlc-android,vlc-android-3.0.92,UnusedMethodImplementation,2,17,0,8,inf,1.0
vlc-android,vlc-android-3.0.92,UnusedParameter,11,8,5,3,0.825,1.0
vlc-android,vlc-android-3.0.92,AssumingSafeReturnValue,1,18,0,8,inf,1.0
vlc-android,vlc-android-3.0.92,ExcessiveObjects,0,19,0,8,nan,1.0
vlc-android,vlc-android-3.0.92,NotHandlingExceptions,1,18,0,8,inf,1.0
vlc-android,vlc-android-3.0.92,NotCachingObjects,0,19,0,8,nan,1.0
vlc-android,vlc-android-3.0.92,NotSecuringLibraries,0,19,0,8,nan,1.0
vlc-android,vlc-android-3.0.92,HardCodingLibraries,0,19,0,8,nan,1.0
vlc-android,vlc-android-3.0.92,NotUsingRelativePath,2,17,0,8,inf,1.0
vlc-android,vlc-android-3.0.92,MemoryManagementMismatch,0,19,0,8,nan,1.0
vlc-android,vlc-android-3.0.92,LocalReferencesAbuse,1,18,0,8,inf,1.0
vlc-android,vlc-android-3.0.0,excessiveInterlangCommunication,4,15,1,5,1.3333333333333333,1.0
vlc-android,vlc-android-3.0.0,Toomuchclustring,4,15,1,5,1.3333333333333333,1.0
vlc-android,vlc-android-3.0.0,ToomuchScattering,10,9,0,6,inf,0.05079051383
vlc-android,vlc-android-3.0.0,UnusedMethodDeclaration,6,13,1,5,2.3076923076923075,0.6371541502
vlc-android,vlc-android-3.0.0,UnusedMethodImplementation,2,17,0,6,inf,1.0
vlc-android,vlc-android-3.0.0,UnusedParameter,11,8,5,1,0.275,0.3644268775
vlc-android,vlc-android-3.0.0,AssumingSafeReturnValue,1,18,0,6,inf,1.0
vlc-android,vlc-android-3.0.0,ExcessiveObjects,0,19,0,6,nan,1.0
vlc-android,vlc-android-3.0.0,NotHandlingExceptions,1,18,0,6,inf,1.0
vlc-android,vlc-android-3.0.0,NotCachingObjects,0,19,0,6,nan,1.0
vlc-android,vlc-android-3.0.0,NotSecuringLibraries,1,18,0,6,inf,1.0
vlc-android,vlc-android-3.0.0,HardCodingLibraries,0,19,0,6,nan,1.0
vlc-android,vlc-android-3.0.0,NotUsingRelativePath,1,18,0,6,inf,1.0
vlc-android,vlc-android-3.0.0,MemoryManagementMismatch,0,19,0,6,nan,1.0
vlc-android,vlc-android-3.0.0,LocalReferencesAbuse,1,18,0,6,inf,1.0
vlc-android,vlc-android-3.1.2,excessiveInterlangCommunication,5,17,0,6,inf,0.5534188034
vlc-android,vlc-android-3.1.2,Toomuchclustring,6,16,1,5,1.875,1.0
vlc-android,vlc-android-3.1.2,ToomuchScattering,7,15,0,6,inf,0.2882943144
vlc-android,vlc-android-3.1.2,UnusedMethodDeclaration,6,16,1,5,1.875,1.0
vlc-android,vlc-android-3.1.2,UnusedMethodImplementation,2,20,0,6,inf,1.0
vlc-android,vlc-android-3.1.2,UnusedParameter,14,8,5,1,0.35,0.6296225514
vlc-android,vlc-android-3.1.2,AssumingSafeReturnValue,1,21,0,6,inf,1.0
vlc-android,vlc-android-3.1.2,ExcessiveObjects,0,22,0,6,nan,1.0
vlc-android,vlc-android-3.1.2,NotHandlingExceptions,1,21,0,6,inf,1.0
vlc-android,vlc-android-3.1.2,NotCachingObjects,0,22,0,6,nan,1.0
vlc-android,vlc-android-3.1.2,NotSecuringLibraries,2,20,0,6,inf,1.0
vlc-android,vlc-android-3.1.2,HardCodingLibraries,0,22,0,6,nan,1.0
vlc-android,vlc-android-3.1.2,NotUsingRelativePath,2,20,0,6,inf,1.0
vlc-android,vlc-android-3.1.2,MemoryManagementMismatch,0,22,0,6,nan,1.0
vlc-android,vlc-android-3.1.2,LocalReferencesAbuse,1,21,0,6,inf,1.0
vlc-android,vlc-android-3.0.13,excessiveInterlangCommunication,1,17,0,7,inf,1.0
vlc-android,vlc-android-3.0.13,Toomuchclustring,2,16,0,7,inf,1.0
vlc-android,vlc-android-3.0.13,ToomuchScattering,4,14,0,7,inf,0.2944664032
vlc-android,vlc-android-3.0.13,UnusedMethodDeclaration,5,13,2,5,0.9615384615384616,1.0
vlc-android,vlc-android-3.0.13,UnusedMethodImplementation,2,16,0,7,inf,1.0
vlc-android,vlc-android-3.0.13,UnusedParameter,9,9,5,2,0.4,0.4065217391
vlc-android,vlc-android-3.0.13,AssumingSafeReturnValue,1,17,0,7,inf,1.0
vlc-android,vlc-android-3.0.13,ExcessiveObjects,0,18,0,7,nan,1.0
vlc-android,vlc-android-3.0.13,NotHandlingExceptions,1,17,0,7,inf,1.0
vlc-android,vlc-android-3.0.13,NotCachingObjects,0,18,0,7,nan,1.0
vlc-android,vlc-android-3.0.13,NotSecuringLibraries,0,18,0,7,nan,1.0
vlc-android,vlc-android-3.0.13,HardCodingLibraries,0,18,0,7,nan,1.0
vlc-android,vlc-android-3.0.13,NotUsingRelativePath,1,17,0,7,inf,1.0
vlc-android,vlc-android-3.0.13,MemoryManagementMismatch,0,18,0,7,nan,1.0
vlc-android,vlc-android-3.0.13,LocalReferencesAbuse,1,17,0,7,inf,1.0
vlc-android,vlc-android-3.1.0,excessiveInterlangCommunication,5,17,0,6,inf,0.5534188034
vlc-android,vlc-android-3.1.0,Toomuchclustring,6,16,1,5,1.875,1.0
vlc-android,vlc-android-3.1.0,ToomuchScattering,7,15,0,6,inf,0.2882943144
vlc-android,vlc-android-3.1.0,UnusedMethodDeclaration,6,16,1,5,1.875,1.0
vlc-android,vlc-android-3.1.0,UnusedMethodImplementation,2,20,0,6,inf,1.0
vlc-android,vlc-android-3.1.0,UnusedParameter,13,9,5,1,0.28888888888888886,0.3745819398
vlc-android,vlc-android-3.1.0,AssumingSafeReturnValue,1,21,0,6,inf,1.0
vlc-android,vlc-android-3.1.0,ExcessiveObjects,0,22,0,6,nan,1.0
vlc-android,vlc-android-3.1.0,NotHandlingExceptions,1,21,0,6,inf,1.0
vlc-android,vlc-android-3.1.0,NotCachingObjects,0,22,0,6,nan,1.0
vlc-android,vlc-android-3.1.0,NotSecuringLibraries,2,20,0,6,inf,1.0
vlc-android,vlc-android-3.1.0,HardCodingLibraries,0,22,0,6,nan,1.0
vlc-android,vlc-android-3.1.0,NotUsingRelativePath,2,20,0,6,inf,1.0
vlc-android,vlc-android-3.1.0,MemoryManagementMismatch,0,22,0,6,nan,1.0
vlc-android,vlc-android-3.1.0,LocalReferencesAbuse,1,21,0,6,inf,1.0
vlc-android,3.0.9,excessiveInterlangCommunication,0,0,0,0,nan,1.0
vlc-android,3.0.9,Toomuchclustring,0,0,0,0,nan,1.0
vlc-android,3.0.9,ToomuchScattering,0,0,0,0,nan,1.0
vlc-android,3.0.9,UnusedMethodDeclaration,0,0,0,0,nan,1.0
vlc-android,3.0.9,UnusedMethodImplementation,0,0,0,0,nan,1.0
vlc-android,3.0.9,UnusedParameter,0,0,0,0,nan,1.0
vlc-android,3.0.9,AssumingSafeReturnValue,0,0,0,0,nan,1.0
vlc-android,3.0.9,ExcessiveObjects,0,0,0,0,nan,1.0
vlc-android,3.0.9,NotHandlingExceptions,0,0,0,0,nan,1.0
