System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,pvalue
zstd-jni,zstd-jni-1.3.0-1,excessiveInterlangCommunication,4,9,1,8,3.5555555555555554,0.3602187286
zstd-jni,zstd-jni-1.3.0-1,Toomuchclustring,3,10,0,9,inf,0.2402597403
zstd-jni,zstd-jni-1.3.0-1,ToomuchScattering,1,12,2,7,0.2916666666666667,0.5441558442
zstd-jni,zstd-jni-1.3.0-1,UnusedMethodDeclaration,0,13,0,9,nan,1.0
zstd-jni,zstd-jni-1.3.0-1,UnusedMethodImplementation,1,12,0,9,inf,1.0
zstd-jni,zstd-jni-1.3.0-1,UnusedParameter,4,9,4,5,0.5555555555555556,0.6619195046
zstd-jni,zstd-jni-1.3.0-1,AssumingSafeReturnValue,2,11,3,6,0.36363636363636365,0.6090225564
zstd-jni,zstd-jni-1.3.0-1,ExcessiveObjects,0,13,0,9,nan,1.0
zstd-jni,zstd-jni-1.3.0-1,NotHandlingExceptions,3,10,3,6,0.6,0.6550199027
zstd-jni,zstd-jni-1.3.0-1,NotCachingObjects,0,13,0,9,nan,1.0
zstd-jni,zstd-jni-1.3.0-1,NotSecuringLibraries,1,12,0,9,inf,1.0
zstd-jni,zstd-jni-1.3.0-1,HardCodingLibraries,1,12,0,9,inf,1.0
zstd-jni,zstd-jni-1.3.0-1,NotUsingRelativePath,0,13,0,9,nan,1.0
zstd-jni,zstd-jni-1.3.0-1,MemoryManagementMismatch,0,13,0,9,nan,1.0
zstd-jni,zstd-jni-1.3.0-1,LocalReferencesAbuse,0,13,0,9,nan,1.0
zstd-jni,zstd-jni-1.3.8-1,excessiveInterlangCommunication,4,16,1,7,1.75,1.0
zstd-jni,zstd-jni-1.3.8-1,Toomuchclustring,4,16,1,7,1.75,1.0
zstd-jni,zstd-jni-1.3.8-1,ToomuchScattering,1,19,1,7,0.3684210526315789,0.4973544974
zstd-jni,zstd-jni-1.3.8-1,UnusedMethodDeclaration,1,19,0,8,inf,1.0
zstd-jni,zstd-jni-1.3.8-1,UnusedMethodImplementation,1,19,0,8,inf,1.0
zstd-jni,zstd-jni-1.3.8-1,UnusedParameter,8,12,5,3,0.4,0.4096618357
zstd-jni,zstd-jni-1.3.8-1,AssumingSafeReturnValue,5,15,0,8,inf,0.2808302808
zstd-jni,zstd-jni-1.3.8-1,ExcessiveObjects,0,20,0,8,nan,1.0
zstd-jni,zstd-jni-1.3.8-1,NotHandlingExceptions,6,14,0,8,inf,0.1412326804
zstd-jni,zstd-jni-1.3.8-1,NotCachingObjects,0,20,0,8,nan,1.0
zstd-jni,zstd-jni-1.3.8-1,NotSecuringLibraries,1,19,0,8,inf,1.0
zstd-jni,zstd-jni-1.3.8-1,HardCodingLibraries,1,19,0,8,inf,1.0
zstd-jni,zstd-jni-1.3.8-1,NotUsingRelativePath,0,20,0,8,nan,1.0
zstd-jni,zstd-jni-1.3.8-1,MemoryManagementMismatch,0,20,1,7,0.0,0.2857142857
zstd-jni,zstd-jni-1.3.8-1,LocalReferencesAbuse,0,20,0,8,nan,1.0
zstd-jni,zstd-jni-1.3.5-3,excessiveInterlangCommunication,4,16,1,7,1.75,1.0
zstd-jni,zstd-jni-1.3.5-3,Toomuchclustring,4,16,1,7,1.75,1.0
zstd-jni,zstd-jni-1.3.5-3,ToomuchScattering,1,19,1,7,0.3684210526315789,0.4973544974
zstd-jni,zstd-jni-1.3.5-3,UnusedMethodDeclaration,0,20,0,8,nan,1.0
zstd-jni,zstd-jni-1.3.5-3,UnusedMethodImplementation,1,19,0,8,inf,1.0
zstd-jni,zstd-jni-1.3.5-3,UnusedParameter,8,12,5,3,0.4,0.4096618357
zstd-jni,zstd-jni-1.3.5-3,AssumingSafeReturnValue,5,15,0,8,inf,0.2808302808
zstd-jni,zstd-jni-1.3.5-3,ExcessiveObjects,0,20,0,8,nan,1.0
zstd-jni,zstd-jni-1.3.5-3,NotHandlingExceptions,6,14,0,8,inf,0.1412326804
zstd-jni,zstd-jni-1.3.5-3,NotCachingObjects,0,20,0,8,nan,1.0
zstd-jni,zstd-jni-1.3.5-3,NotSecuringLibraries,1,19,0,8,inf,1.0
zstd-jni,zstd-jni-1.3.5-3,HardCodingLibraries,1,19,0,8,inf,1.0
zstd-jni,zstd-jni-1.3.5-3,NotUsingRelativePath,0,20,0,8,nan,1.0
zstd-jni,zstd-jni-1.3.5-3,MemoryManagementMismatch,0,20,1,7,0.0,0.2857142857
zstd-jni,zstd-jni-1.3.5-3,LocalReferencesAbuse,0,20,0,8,nan,1.0
zstd-jni,zstd-jni-1.3.4-8,excessiveInterlangCommunication,4,16,1,7,1.75,1.0
zstd-jni,zstd-jni-1.3.4-8,Toomuchclustring,3,17,0,8,inf,0.5360195360
zstd-jni,zstd-jni-1.3.4-8,ToomuchScattering,1,19,2,6,0.15789473684210525,0.1880341880
zstd-jni,zstd-jni-1.3.4-8,UnusedMethodDeclaration,0,20,0,8,nan,1.0
zstd-jni,zstd-jni-1.3.4-8,UnusedMethodImplementation,1,19,0,8,inf,1.0
zstd-jni,zstd-jni-1.3.4-8,UnusedParameter,9,11,4,4,0.8181818181818182,1.0
zstd-jni,zstd-jni-1.3.4-8,AssumingSafeReturnValue,4,16,1,7,1.75,1.0
zstd-jni,zstd-jni-1.3.4-8,ExcessiveObjects,0,20,0,8,nan,1.0
zstd-jni,zstd-jni-1.3.4-8,NotHandlingExceptions,5,15,1,7,2.3333333333333335,0.6399108138
zstd-jni,zstd-jni-1.3.4-8,NotCachingObjects,0,20,0,8,nan,1.0
zstd-jni,zstd-jni-1.3.4-8,NotSecuringLibraries,1,19,0,8,inf,1.0
zstd-jni,zstd-jni-1.3.4-8,HardCodingLibraries,1,19,0,8,inf,1.0
zstd-jni,zstd-jni-1.3.4-8,NotUsingRelativePath,0,20,0,8,nan,1.0
zstd-jni,zstd-jni-1.3.4-8,MemoryManagementMismatch,0,20,1,7,0.0,0.2857142857
zstd-jni,zstd-jni-1.3.4-8,LocalReferencesAbuse,0,20,0,8,nan,1.0
zstd-jni,zstd-jni-master,excessiveInterlangCommunication,4,18,0,7,inf,0.5461243737
zstd-jni,zstd-jni-master,Toomuchclustring,3,19,0,7,inf,0.5574712644
zstd-jni,zstd-jni-master,ToomuchScattering,2,20,1,6,0.6,1.0
zstd-jni,zstd-jni-master,UnusedMethodDeclaration,1,21,0,7,inf,1.0
zstd-jni,zstd-jni-master,UnusedMethodImplementation,1,21,0,7,inf,1.0
