System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,p-value
conscrypt,zstd-jni-1.3.7,excessiveInterlangCommunication,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.7,Toomuchclustring,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.7,ToomuchScattering,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.7,UnusedMethodDeclaration,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.7,UnusedMethodImplementation,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.7,UnusedParameter,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.7,NotHandlingExceptions,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.7,NotSecuringLibraries,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.7,HardCodingLibraries,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.7,NotUsingRelativePath,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.7,MemoryManagementMismatch,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.7,LocalReferencesAbuse,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.2-2,excessiveInterlangCommunication,0,0,37,37,nan,1.0
conscrypt,zstd-jni-1.3.2-2,Toomuchclustring,0,0,37,37,nan,1.0
conscrypt,zstd-jni-1.3.2-2,ToomuchScattering,0,0,37,37,nan,1.0
conscrypt,zstd-jni-1.3.2-2,UnusedMethodDeclaration,0,0,37,37,nan,1.0
conscrypt,zstd-jni-1.3.2-2,UnusedMethodImplementation,0,0,37,37,nan,1.0
conscrypt,zstd-jni-1.3.2-2,UnusedParameter,0,0,37,37,nan,1.0
conscrypt,zstd-jni-1.3.2-2,NotHandlingExceptions,0,0,37,37,nan,1.0
conscrypt,zstd-jni-1.3.2-2,NotSecuringLibraries,0,0,37,37,nan,1.0
conscrypt,zstd-jni-1.3.2-2,HardCodingLibraries,0,0,37,37,nan,1.0
conscrypt,zstd-jni-1.3.2-2,NotUsingRelativePath,0,0,37,37,nan,1.0
conscrypt,zstd-jni-1.3.2-2,MemoryManagementMismatch,0,0,37,37,nan,1.0
conscrypt,zstd-jni-1.3.2-2,LocalReferencesAbuse,0,0,37,37,nan,1.0
conscrypt,zstd-jni-1.4.0-1,excessiveInterlangCommunication,0,0,42,42,nan,1.0
conscrypt,zstd-jni-1.4.0-1,Toomuchclustring,0,0,42,42,nan,1.0
conscrypt,zstd-jni-1.4.0-1,ToomuchScattering,0,0,42,42,nan,1.0
conscrypt,zstd-jni-1.4.0-1,UnusedMethodDeclaration,0,0,42,42,nan,1.0
conscrypt,zstd-jni-1.4.0-1,UnusedMethodImplementation,0,0,42,42,nan,1.0
conscrypt,zstd-jni-1.4.0-1,UnusedParameter,0,0,42,42,nan,1.0
conscrypt,zstd-jni-1.4.0-1,NotHandlingExceptions,0,0,42,42,nan,1.0
conscrypt,zstd-jni-1.4.0-1,NotSecuringLibraries,0,0,42,42,nan,1.0
conscrypt,zstd-jni-1.4.0-1,HardCodingLibraries,0,0,42,42,nan,1.0
conscrypt,zstd-jni-1.4.0-1,NotUsingRelativePath,0,0,42,42,nan,1.0
conscrypt,zstd-jni-1.4.0-1,MemoryManagementMismatch,0,0,42,42,nan,1.0
conscrypt,zstd-jni-1.4.0-1,LocalReferencesAbuse,0,0,42,42,nan,1.0
conscrypt,zstd-jni-1.3.4-8,excessiveInterlangCommunication,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.4-8,Toomuchclustring,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.4-8,ToomuchScattering,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.4-8,UnusedMethodDeclaration,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.4-8,UnusedMethodImplementation,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.4-8,UnusedParameter,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.4-8,NotHandlingExceptions,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.4-8,NotSecuringLibraries,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.4-8,HardCodingLibraries,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.4-8,NotUsingRelativePath,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.4-8,MemoryManagementMismatch,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.4-8,LocalReferencesAbuse,0,0,41,41,nan,1.0
conscrypt,zstd-jni-0.4.4,excessiveInterlangCommunication,3,2,22,23,1.5681818181818181,1.0
conscrypt,zstd-jni-0.4.4,Toomuchclustring,0,5,25,20,0.0,0.05015
conscrypt,zstd-jni-0.4.4,ToomuchScattering,2,3,23,22,0.6376811594202898,1.0
conscrypt,zstd-jni-0.4.4,UnusedMethodDeclaration,0,5,25,20,0.0,0.05015
conscrypt,zstd-jni-0.4.4,UnusedMethodImplementation,0,5,25,20,0.0,0.05015
conscrypt,zstd-jni-0.4.4,UnusedParameter,0,5,25,20,0.0,0.05015
conscrypt,zstd-jni-0.4.4,NotHandlingExceptions,0,5,25,20,0.0,0.05015
conscrypt,zstd-jni-0.4.4,NotSecuringLibraries,0,5,25,20,0.0,0.05015
conscrypt,zstd-jni-0.4.4,HardCodingLibraries,0,5,25,20,0.0,0.05015
conscrypt,zstd-jni-0.4.4,NotUsingRelativePath,0,5,25,20,0.0,0.05015
conscrypt,zstd-jni-0.4.4,MemoryManagementMismatch,0,5,25,20,0.0,0.05015
conscrypt,zstd-jni-0.4.4,LocalReferencesAbuse,0,5,25,20,0.0,0.05015
conscrypt,zstd-jni-1.3.5-3,excessiveInterlangCommunication,2,3,39,38,0.6495726495726496,1.0
conscrypt,zstd-jni-1.3.5-3,Toomuchclustring,2,3,39,38,0.6495726495726496,1.0
conscrypt,zstd-jni-1.3.5-3,ToomuchScattering,0,5,41,36,0.0,0.05493
conscrypt,zstd-jni-1.3.5-3,UnusedMethodDeclaration,0,5,41,36,0.0,0.05493
conscrypt,zstd-jni-1.3.5-3,UnusedMethodImplementation,1,4,40,37,0.23125,0.35927
conscrypt,zstd-jni-1.3.5-3,UnusedParameter,0,5,41,36,0.0,0.05493
conscrypt,zstd-jni-1.3.5-3,NotHandlingExceptions,1,4,40,37,0.23125,0.35927
conscrypt,zstd-jni-1.3.5-3,NotSecuringLibraries,1,4,40,37,0.23125,0.35927
conscrypt,zstd-jni-1.3.5-3,HardCodingLibraries,1,4,40,37,0.23125,0.35927
conscrypt,zstd-jni-1.3.5-3,NotUsingRelativePath,0,5,41,36,0.0,0.05493
conscrypt,zstd-jni-1.3.5-3,MemoryManagementMismatch,0,5,41,36,0.0,0.05493
conscrypt,zstd-jni-1.3.5-3,LocalReferencesAbuse,0,5,41,36,0.0,0.05493
conscrypt,zstd-jni-1.3.4-1,excessiveInterlangCommunication,0,7,41,34,0.0,0.01183
conscrypt,zstd-jni-1.3.4-1,Toomuchclustring,0,7,41,34,0.0,0.01183
conscrypt,zstd-jni-1.3.4-1,ToomuchScattering,0,7,41,34,0.0,0.01183
conscrypt,zstd-jni-1.3.4-1,UnusedMethodDeclaration,0,7,41,34,0.0,0.01183
conscrypt,zstd-jni-1.3.4-1,UnusedMethodImplementation,0,7,41,34,0.0,0.01183
conscrypt,zstd-jni-1.3.4-1,UnusedParameter,5,2,36,39,2.7083333333333335,0.43208
conscrypt,zstd-jni-1.3.4-1,NotHandlingExceptions,1,6,40,35,0.14583333333333334,0.10881
conscrypt,zstd-jni-1.3.4-1,NotSecuringLibraries,0,7,41,34,0.0,0.01183
conscrypt,zstd-jni-1.3.4-1,HardCodingLibraries,0,7,41,34,0.0,0.01183
conscrypt,zstd-jni-1.3.4-1,NotUsingRelativePath,0,7,41,34,0.0,0.01183
conscrypt,zstd-jni-1.3.4-1,MemoryManagementMismatch,0,7,41,34,0.0,0.01183
conscrypt,zstd-jni-1.3.4-1,LocalReferencesAbuse,0,7,41,34,0.0,0.01183
conscrypt,zstd-jni-1.3.8-1,excessiveInterlangCommunication,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.8-1,Toomuchclustring,0,0,41,41,nan,1.0
conscrypt,zstd-jni-1.3.8-1,ToomuchScattering,0,0,41,41,nan,1.0
