Project,FileName,system,version,package,class,release,FullDate,TimeBetweenHRS,BuggyFlag,InducingFlag,JNINativeFlag,Smelly,TotalSmelly,TotalFixing,TotalInducing,TIMEFIX,excessiveInterlangCommunication,Toomuchclustring,ToomuchScattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,CLOL,Added,Removed,PrevInducing,PrevFixing,PrevCLOCInducing,PrevAddedInducing,PrevRemovedInducing,PrevCLOCFixing,PrevAddedFixing,PrevRemovedFixing,,CommitMessage
bytedeco/javacpp,src/it/osgi/src/main/c/calc.h,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/it/osgi/src/main/java/org/bytedeco/javacpp/test/osgi/Calc.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/it/osgi/src/main/java/org/bytedeco/javacpp/test/osgi/JavaCPPOsgiTest.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/BoolPointer.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/BooleanPointer.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/BytePointer.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/CLongPointer.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/CharPointer.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/ClassProperties.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/DoublePointer.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/FloatPointer.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/FunctionPointer.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/IntPointer.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/LoadEnabled.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/Loader.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/LongPointer.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/Pointer.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/PointerPointer.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/PointerScope.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/ShortPointer.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/SizeTPointer.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/annotation/Adapter.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/annotation/Allocator.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/annotation/ArrayAllocator.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/annotation/ByPtr.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/annotation/ByPtrPtr.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/annotation/ByPtrRef.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/annotation/ByRef.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/annotation/ByVal.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/annotation/Cast.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/annotation/Const.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/annotation/Convention.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/annotation/CriticalRegion.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/annotation/Function.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/annotation/Index.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bytedeco/javacpp,src/main/java/org/bytedeco/javacpp/annotation/MemberGetter.java,javacpp,javacpp-0.5,com.googlecode.javacpp,,4/7/2013,2013-04-07T10:43:06Z,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
