Project,ReleaseVersion,ReleaseDate,ReleaseDate2,TotalFiles,JavaCFiles,JNINativeFiles,,BuggyJavac,InducingJavac,SmellyJavac,,JNIBuggy,JNIInducing,JNISmelly,,JavacBuggySmelly,JavaInducingSmelly,,JNIBuggySmeely,JNIInducingSmelly,,TotalTIMEFIX,MINTIMEFIX,MEANTIMEFIX,MEDIANTIMEFIX,MODETIMEFIX,,TotalChangedINDUCING,TotalADDEDINDUCING,TotalREMOVEDINDUCING,,TotalChangedFIX,TotalADDEDFIX,TotalREMOVEDFIX,excessiveInterlangCommunication,Toomuchclustring,ToomuchScattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,,excessiveInterlangCommunicationIND,ToomuchclustringIND,Too_much_ScatteringIND,UnusedMethodDeclarationIND,UnusedMethodImplementationIND,UnusedParameterIND,AssumingSafeReturnValueIND,ExcessiveObjectsIND,NotHandlingExceptionsIND,NotCachingObjectsIND,NotSecuringLibrariesIND,HardCodingLibrariesIND,NotUsingRelativePathIND,MemoryManagementMismatchIND,LocalReferencesAbuseIND,,excessiveInterlangCommunicationFIX,Too_much_clustringFIX,Too_much_ScatteringFIX,UnusedMethodDeclarationFIX,UnusedMethodImplementationFIX,UnusedParameterFIX,AssumingSafeReturnValueFIX,ExcessiveObjectsFIX,NotHandlingExceptionsFIX,NotCachingObjectsFIX,NotSecuringLibrariesFIX,HardCodingLibrariesFIX,NotUsingRelativePathFIX,MemoryManagementMismatchFIX,LocalReferencesAbuseFIX
bytedeco/javacpp,0.9,7/28/2014,2014-07-27T19:41:00Z,195,151,20,,2,7,13,,1,1,13,,0,0,,0,0,,0,0,0,0,0,,6252,1115,249,199,77,22,,11,1,11,11,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytedeco/javacpp,1.2.1,07/08/2016,2016-05-26T04:07:36Z,195,151,21,,1,4,14,,0,2,14,,0,2,,0,2,,0,0,0,0,0,,495,165,45,193,56,19,,36,3,10,38,0,0,0,0,0,0,2,0,0,0,0,,1,1,0,8,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytedeco/javacpp,1.2.7,11/29/2016,2016-11-29T07:55:45Z,195,151,21,,0,3,14,,0,2,14,,0,2,,0,2,,0,0,0,0,0,,566,282,36,0,0,0,,40,3,10,42,0,0,0,0,0,0,2,1,0,0,0,,2,1,0,9,0,0,0,0,0,0,2,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytedeco/javacpp,1.2,5/15/2016,2016-05-14T23:38:37Z,195,151,21,,0,13,14,,0,12,14,,0,12,,0,12,,0,0,0,0,0,,679,162,57,0,0,0,,36,3,10,38,0,0,0,0,0,0,2,0,0,0,0,,21,1,10,20,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytedeco/javacpp,1.3.2,03/10/2017,2017-03-10T23:32:47Z,195,151,21,,2,6,14,,1,4,14,,0,2,,0,2,,0,0,0,0,0,,3281,887,345,891,219,73,,40,3,11,51,0,0,0,0,0,0,2,1,0,0,0,,2,1,1,18,0,0,0,0,0,0,2,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytedeco/javacpp,1.3,12/07/2016,2016-12-07T03:30:34Z,195,151,21,,2,5,14,,1,3,14,,0,2,,0,2,,0,0,0,0,0,,687,450,43,350,26,9,,40,3,10,46,0,0,0,0,0,0,2,1,0,0,0,,2,1,0,13,0,0,0,0,0,0,2,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytedeco/javacpp,1.4.2,7/17/2018,2018-07-16T02:21:04Z,195,151,24,,4,5,17,,3,3,17,,2,2,,2,2,,0,0,0,0,0,,629,323,133,196,80,47,,63,3,13,73,0,1,0,0,0,0,2,0,0,0,0,,0,0,1,5,0,1,0,0,0,0,2,0,0,0,0,,0,0,1,5,0,1,0,0,0,0,2,0,0,0,0
bytedeco/javacpp,1.4.4,01/10/2019,2019-01-10T13:31:06Z,195,151,25,,0,2,19,,0,0,19,,0,0,,0,0,,0,0,0,0,0,,705,233,119,0,0,0,,78,4,14,64,0,1,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytedeco/javacpp,1.4,1/16/2018,2018-01-15T09:06:44Z,195,151,23,,4,5,16,,2,2,16,,1,1,,1,1,,0,0,0,0,0,,1207,309,133,135,68,34,,62,3,12,71,0,1,0,0,0,0,2,1,0,0,0,,0,0,1,4,0,0,0,0,0,0,2,1,0,0,0,,0,0,1,4,0,0,0,0,0,0,2,1,0,0,0
bytedeco/javacpp,1.5,04/10/2019,2019-04-08T12:20:14Z,195,151,25,,0,3,19,,0,2,19,,0,1,,0,1,,0,0,0,0,0,,701,188,78,0,0,0,,82,4,14,64,0,1,0,0,0,0,2,0,0,0,0,,0,0,1,5,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytedeco/javacpp,master,09/05/2019,2019-09-05T13:29:21Z,195,151,25,,0,0,19,,0,0,19,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,83,4,13,65,0,1,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
