Project,FileName,system,version,package,class,release,FullDate,TimeBetweenHRS,BuggyFlag,InducingFlag,JNINativeFlag,Smelly,TotalSmelly,TotalFixing,TotalInducing,TIMEFIX,excessiveInterlangCommunication,Toomuchclustring,ToomuchScattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,CLOL,Added,Removed,PrevInducing,PrevFixing,PrevCLOCInducing,PrevAddedInducing,PrevRemovedInducing,PrevCLOCFixing,PrevAddedFixing,PrevRemovedFixing,,CommitMessage
jpype-project/jpype,native/common/include/jp_array.h,jpype,jpype-0.5.4.5,,,8/25/2013,2013-08-25T10:10:14Z,352,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
jpype-project/jpype,native/common/include/jp_arrayclass.h,jpype,jpype-0.5.4.5,,,8/25/2013,2013-08-25T10:10:14Z,352,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
jpype-project/jpype,native/common/include/jp_baseclasses.h,jpype,jpype-0.5.4.5,,,8/25/2013,2013-08-25T10:10:14Z,352,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
jpype-project/jpype,native/common/include/jp_booleantype.h,jpype,jpype-0.5.4.5,,,8/25/2013,2013-08-25T10:10:14Z,352,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
jpype-project/jpype,native/common/include/jp_boxedclasses.h,jpype,jpype-0.5.4.5,,,8/25/2013,2013-08-25T10:10:14Z,352,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
jpype-project/jpype,native/common/include/jp_bytetype.h,jpype,jpype-0.5.4.5,,,8/25/2013,2013-08-25T10:10:14Z,352,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
jpype-project/jpype,native/common/include/jp_chartype.h,jpype,jpype-0.5.4.5,,,8/25/2013,2013-08-25T10:10:14Z,352,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
jpype-project/jpype,native/common/include/jp_class.h,jpype,jpype-0.5.4.5,,,8/25/2013,2013-08-25T10:10:14Z,352,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
jpype-project/jpype,native/common/include/jp_classloader.h,jpype,jpype-0.5.4.5,,,8/25/2013,2013-08-25T10:10:14Z,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
jpype-project/jpype,native/common/include/jp_doubletype.h,jpype,jpype-0.5.4.5,,,8/25/2013,2013-08-25T10:10:14Z,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
jpype-project/jpype,native/common/include/jp_encoding.h,jpype,jpype-0.5.4.5,,,8/25/2013,2013-08-25T10:10:14Z,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
jpype-project/jpype,native/common/include/jp_env.h,jpype,jpype-0.5.4.5,,,8/25/2013,2013-08-25T10:10:14Z,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
jpype-project/jpype,native/common/include/jp_exception.h,jpype,jpype-0.5.4.5,,,8/25/2013,2013-08-25T10:10:14Z,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
jpype-project/jpype,native/common/include/jp_field.h,jpype,jpype-0.5.4.5,,,8/25/2013,2013-08-25T10:10:14Z,352,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
