Project,ReleaseVersion,ReleaseDate,ReleaseDate2,TotalFiles,JavaCFiles,JNINativeFiles,,BuggyJavac,InducingJavac,SmellyJavac,,JNIBuggy,JNIInducing,JNISmelly,,JavacBuggySmelly,JavaInducingSmelly,,JNIBuggySmeely,JNIInducingSmelly,,TotalTIMEFIX,MINTIMEFIX,MEANTIMEFIX,MEDIANTIMEFIX,MODETIMEFIX,,TotalChangedINDUCING,TotalADDEDINDUCING,TotalREMOVEDINDUCING,,TotalChangedFIX,TotalADDEDFIX,TotalREMOVEDFIX,excessiveInterlangCommunication,Toomuchclustring,ToomuchScattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,,excessiveInterlangCommunicationIND,ToomuchclustringIND,Too_much_ScatteringIND,UnusedMethodDeclarationIND,UnusedMethodImplementationIND,UnusedParameterIND,AssumingSafeReturnValueIND,ExcessiveObjectsIND,NotHandlingExceptionsIND,NotCachingObjectsIND,NotSecuringLibrariesIND,HardCodingLibrariesIND,NotUsingRelativePathIND,MemoryManagementMismatchIND,LocalReferencesAbuseIND,,excessiveInterlangCommunicationFIX,Too_much_clustringFIX,Too_much_ScatteringFIX,UnusedMethodDeclarationFIX,UnusedMethodImplementationFIX,UnusedParameterFIX,AssumingSafeReturnValueFIX,ExcessiveObjectsFIX,NotHandlingExceptionsFIX,NotCachingObjectsFIX,NotSecuringLibrariesFIX,HardCodingLibrariesFIX,NotUsingRelativePathFIX,MemoryManagementMismatchFIX,LocalReferencesAbuseFIX
jpype-project/jpype,0.5.4.5,8/25/2013,2013-08-25T10:10:14Z,314,157,78,,0,2,5,,0,1,5,,0,1,,0,1,,0,0,0,0,0,,33,6,1,0,0,0,,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpype-project/jpype,0.5.5.1,4/11/2014,2014-04-11T13:20:12Z,314,157,78,,0,0,5,,0,0,5,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpype-project/jpype,0.5.5.4,8/11/2014,2014-08-11T22:15:17Z,314,157,78,,0,4,5,,0,3,5,,0,0,,0,0,,0,0,0,0,0,,1351,1202,9,0,0,0,,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpype-project/jpype,0.5.6,9/27/2014,2014-09-27T09:52:49Z,314,157,78,,0,1,5,,0,1,5,,0,0,,0,0,,0,0,0,0,0,,42,9,6,0,0,0,,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpype-project/jpype,0.5.7,10/29/2014,2014-10-29T19:18:30Z,314,157,78,,0,7,6,,0,5,6,,0,0,,0,0,,0,0,0,0,0,,965,87,20,0,0,0,,0,0,0,0,0,13,0,0,0,0,0,0,0,12,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpype-project/jpype,0.6.0,4/16/2015,2015-04-13T05:43:25Z,314,157,78,,0,0,6,,0,0,6,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,13,0,0,0,0,0,0,0,12,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpype-project/jpype,0.6.1,8/5/2015,2015-08-05T07:09:24Z,314,157,78,,2,10,6,,2,7,6,,0,2,,0,2,,0,0,0,0,0,,18242,892,598,1756,49,52,,0,0,0,0,0,13,0,0,0,0,0,0,0,12,0,,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpype-project/jpype,0.6.2,1/12/2017,2017-01-13T00:08:44Z,314,157,78,,6,20,7,,6,14,7,,1,1,,1,1,,0,0,0,0,0,,481060,3878,2802,71899,189,189,,0,0,0,0,0,25,0,0,0,0,0,0,0,12,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
jpype-project/jpype,0.6.3,4/3/2018,2018-04-03T10:37:27Z,314,157,80,,8,67,9,,6,39,9,,0,1,,0,1,,0,0,0,0,0,,1629825,9255,3414,110824,604,143,,0,0,0,0,0,32,0,0,0,0,0,0,0,12,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpype-project/jpype,master,9/13/2019,2015-04-13T05:43:25Z,314,157,85,,0,0,28,,0,0,28,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,1,0,0,0,0,62,77,0,80,0,0,0,0,23,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
