ReleasesNB,NBUnusedParameter,NBUnusedMethodDeclaration,NBToomuchScattering,NBToomuchclustring,NBUnusedMethodImplementation,NBAssumingSafeReturnValue,NBExcessiveObjects,NBexcessiveInterlangCommunication,NBNotHandlingExceptions,NBNotCachingObjects,NBNotSecuringLibraries,NBHardCodingLibraries,NBNotUsingRelativePath,NBMemoryManagementMismatch,NBLocalReferencesAbuse
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,19,0,0,0,0,5,0,1,5,0,0,0,0,2,3
