Project,ReleaseVersion,ReleaseDate,ReleaseDate2,TotalFiles,JavaCFiles,JNINativeFiles,,BuggyJavac,InducingJavac,SmellyJavac,,JNIBuggy,JNIInducing,JNISmelly,,JavacBuggySmelly,JavaInducingSmelly,,JNIBuggySmeely,JNIInducingSmelly,,TotalTIMEFIX,MINTIMEFIX,MEANTIMEFIX,MEDIANTIMEFIX,MODETIMEFIX,,TotalChangedINDUCING,TotalADDEDINDUCING,TotalREMOVEDINDUCING,,TotalChangedFIX,TotalADDEDFIX,TotalREMOVEDFIX,excessiveInterlangCommunication,Toomuchclustring,ToomuchScattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,,excessiveInterlangCommunicationIND,ToomuchclustringIND,Too_much_ScatteringIND,UnusedMethodDeclarationIND,UnusedMethodImplementationIND,UnusedParameterIND,AssumingSafeReturnValueIND,ExcessiveObjectsIND,NotHandlingExceptionsIND,NotCachingObjectsIND,NotSecuringLibrariesIND,HardCodingLibrariesIND,NotUsingRelativePathIND,MemoryManagementMismatchIND,LocalReferencesAbuseIND,,excessiveInterlangCommunicationFIX,Too_much_clustringFIX,Too_much_ScatteringFIX,UnusedMethodDeclarationFIX,UnusedMethodImplementationFIX,UnusedParameterFIX,AssumingSafeReturnValueFIX,ExcessiveObjectsFIX,NotHandlingExceptionsFIX,NotCachingObjectsFIX,NotSecuringLibrariesFIX,HardCodingLibrariesFIX,NotUsingRelativePathFIX,MemoryManagementMismatchFIX,LocalReferencesAbuseFIX
realm/realm-java,0.90.0,05/03/2016,2016-05-03T16:39:32Z,1179,688,477,,0,5,23,,0,5,23,,0,1,,0,1,,0,0,0,0,0,,4073,258,111,0,0,0,,184,4,1,8,0,123,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
realm/realm-java,1.2.0,08/19/2016,2016-08-19T11:29:11Z,1179,688,476,,0,57,22,,0,43,22,,0,4,,0,4,,0,0,0,0,0,,220519,4587,1264,0,0,0,,167,4,0,8,1,115,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
realm/realm-java,2.3.2,2/26/2017,2017-02-26T18:52:45Z,1179,688,482,,0,5,36,,0,5,36,,0,0,,0,0,,0,0,0,0,0,,6327,774,160,0,0,0,,173,5,6,7,1,119,6,0,16,0,1,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
realm/realm-java,3.7.2,09/12/2017,2017-09-12T07:24:57Z,1179,688,487,,0,16,51,,0,12,51,,0,2,,0,2,,0,0,0,0,0,,38756,1735,281,0,0,0,,152,8,8,7,5,155,5,0,14,0,1,0,0,0,0,,1,0,1,0,0,0,2,0,11,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
realm/realm-java,4.4.0,03/12/2018,2018-03-12T23:19:57Z,1179,688,494,,0,0,66,,0,0,66,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,237,9,7,7,1,192,3,0,12,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
realm/realm-java,5.11.0,05/01/2019,2019-05-01T08:35:05Z,1179,688,498,,0,0,78,,0,0,78,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,275,12,8,7,2,205,3,0,12,0,1,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
realm/realm-java,5.4.0,07/22/2018,2018-07-22T15:58:24Z,1179,688,496,,0,0,71,,0,0,71,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,242,9,7,7,1,205,3,0,12,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
realm/realm-java,5.7.1,10/22/2018,2018-10-22T12:38:59Z,1179,688,498,,0,0,74,,0,0,74,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,242,9,7,7,1,202,3,0,12,0,1,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
realm/realm-java,5.9.0,01/15/2019,2019-01-15T13:11:38Z,1179,688,498,,0,0,77,,0,0,77,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,275,11,8,7,2,205,3,0,12,0,1,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
realm/realm-java,master,09/04/2019,2019-09-30T10:23:19Z,1179,688,498,,0,0,78,,0,0,78,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,277,12,8,7,2,205,3,0,12,0,1,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
