Project,FileName,system,version,package,class,release,FullDate,TimeBetweenHRS,BuggyFlag,InducingFlag,JNINativeFlag,Smelly,TotalSmelly,TotalFixing,TotalInducing,TIMEFIX,excessiveInterlangCommunication,Toomuchclustring,ToomuchScattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,CLOL,Added,Removed,PrevInducing,PrevFixing,PrevCLOCInducing,PrevAddedInducing,PrevRemovedInducing,PrevCLOCFixing,PrevAddedFixing,PrevRemovedFixing,,CommitMessage
facebook/rocksdb,cache/cache_bench.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,cache/cache_test.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,cache/clock_cache.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,cache/clock_cache.h,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,cache/lru_cache.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,cache/lru_cache.h,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,cache/lru_cache_test.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,cache/sharded_cache.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,cache/sharded_cache.h,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/arena_wrapped_db_iter.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
