Project,FileName,system,version,package,class,release,FullDate,TimeBetweenHRS,BuggyFlag,InducingFlag,JNINativeFlag,Smelly,TotalSmelly,TotalFixing,TotalInducing,TIMEFIX,excessiveInterlangCommunication,Toomuchclustring,ToomuchScattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,CLOL,Added,Removed,PrevInducing,PrevFixing,PrevCLOCInducing,PrevAddedInducing,PrevRemovedInducing,PrevCLOCFixing,PrevAddedFixing,PrevRemovedFixing,,CommitMessage
luben/zstd-jni,jni/jni.h,zstd-jni,zstd-jni-0.4.4,,,12/17/2015,2015-12-17T11:57:33Z,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
luben/zstd-jni,jni/jni_md.h,zstd-jni,zstd-jni-0.4.4,,,12/17/2015,2015-12-17T11:57:33Z,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
luben/zstd-jni,src/androidTest/java/com/github/luben/zstd/LoadTest.java,zstd-jni,zstd-jni-0.4.4,,,12/17/2015,2015-12-17T11:57:33Z,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
luben/zstd-jni,src/main/java/com/github/luben/zstd/SharedDictBase.java,zstd-jni,zstd-jni-0.4.4,,,12/17/2015,2015-12-17T11:57:33Z,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
luben/zstd-jni,src/main/java/com/github/luben/zstd/Zstd.java,zstd-jni,zstd-jni-0.4.4,com.github.luben.zstd,Zstd,12/17/2015,2015-12-17T11:57:33Z,83,0,1,1,1,3,0,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1912,848,115,2,0,7194,96,5,0,0,0,,"Reorder the static methods

All compression first then all decompression then the rest   ,  inputs checking + utility methods.   ,  Add Java wrappers and C implementations of compress/decompress using direct ByteBuffer

The wrappers work a bit differently than the ones that operate on byte[] due to the different semantics of ByteBuffer.  I've tried to make this implementation operate on the position(), capacity(), and limit() properties of the buffers in the idiomatic way.   ,  Add compress/decompress for direct ByteBuffers with dicts   ,  More work on the dictionary support

Also adding tests for byte[] and direct buffers compression and
decompression using byte[] or pre-compiled dictionaries   ,  "
luben/zstd-jni,src/main/java/com/github/luben/zstd/ZstdDictCompress.java,zstd-jni,zstd-jni-0.4.4,,,12/17/2015,2015-12-17T11:57:33Z,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
luben/zstd-jni,src/main/java/com/github/luben/zstd/ZstdDictDecompress.java,zstd-jni,zstd-jni-0.4.4,,,12/17/2015,2015-12-17T11:57:33Z,83,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074,79,28,0,0,0,0,0,0,0,0,,"expose faster API to allow re-using of dictionaries   ,  More work on the dictionary support

Also adding tests for byte[] and direct buffers compression and
decompression using byte[] or pre-compiled dictionaries   ,  "
luben/zstd-jni,src/main/java/com/github/luben/zstd/ZstdDictTrainer.java,zstd-jni,zstd-jni-0.4.4,,,12/17/2015,2015-12-17T11:57:33Z,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
luben/zstd-jni,src/main/java/com/github/luben/zstd/ZstdDirectBufferCompressingStream.java,zstd-jni,zstd-jni-0.4.4,,,12/17/2015,2015-12-17T11:57:33Z,83,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,113,0,0,0,0,0,0,0,0,0,,"Implemented DirectBuffer streaming compressor   ,  "
luben/zstd-jni,src/main/java/com/github/luben/zstd/ZstdDirectBufferDecompressingStream.java,zstd-jni,zstd-jni-0.4.4,,,12/17/2015,2015-12-17T11:57:33Z,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
luben/zstd-jni,src/main/java/com/github/luben/zstd/ZstdException.java,zstd-jni,zstd-jni-0.4.4,,,12/17/2015,2015-12-17T11:57:33Z,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
luben/zstd-jni,src/main/java/com/github/luben/zstd/ZstdInputStream.java,zstd-jni,zstd-jni-0.4.4,com.github.luben.zstd,ZstdInputStream,12/17/2015,2015-12-17T11:57:33Z,83,0,1,1,1,4,0,9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7184,243,242,2,0,11969,177,27,0,0,0,,"Add support for InputStream.read()

FilterInputStream forwards read() directly to the underlying stream,
bypassing Zstd entirely.

Extend tests to exercise this for the first byte read in a few test
cases.   ,  Simplifications and initial implementation of available()   ,  WIP streaming decompression

It fixes the case where the requested reads are not
multiple of the compression block size.   ,  Add decompression support for the legacy v04 format   ,  Cleanup the streaming decompression

We still have to fix the first read size magic number.   ,  Finish the move to the new Zstd streaming API

On the decoding size we have gained ability to decode
multiple frames but we have lost:

- support for legacy formats bu it will be restored with
  zstd-1.0.0

- support for decoding un-finished streams, we have to
  figure out how it will play out with the multi-frame
  support.   ,  Make the continuous decompression a property if ZstdInputStream   ,  skip in multiples of recommendedDOutSize   ,  Zstd streaming decompression done

Ignore the read size hints and read all the available
input up to ZSTD_DStreamInSize. This will handle when
when read hint = 1 that is ambigous (could mean read 1
byte or don't read, we have more data in the output
buffer.

This will also handle the skippable frames corner case
that was not handled correctly previously.   ,  "
luben/zstd-jni,src/main/java/com/github/luben/zstd/ZstdOutputStream.java,zstd-jni,zstd-jni-0.4.4,com.github.luben.zstd,ZstdOutputStream,12/17/2015,2015-12-17T11:57:33Z,83,0,1,1,1,5,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576,96,105,4,0,12243,133,13,0,0,0,,"Move to the new streaming API   ,  Don't close frames on flush if there is nothing written   ,  Align the JNI names with the new streaming API   ,  Concurrency fix   ,  Use the ZBUFF based streaming compression

It simplifies the whole interaction as the zstd is taking
care of the buffers, blocks and allignments so we don't have
to know anything about its internals.   ,  Make ""flush"" close the frame if ""syncFlush"" is required   ,  "
luben/zstd-jni,src/main/java/com/github/luben/zstd/util/Native.java,zstd-jni,zstd-jni-0.4.4,com.github.luben.zstd.util,,12/17/2015,2015-12-17T11:57:33Z,83,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
luben/zstd-jni,src/main/native/common/bitstream.h,zstd-jni,zstd-jni-0.4.4,,,12/17/2015,2015-12-17T11:57:33Z,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
luben/zstd-jni,src/main/native/common/compiler.h,zstd-jni,zstd-jni-0.4.4,,,12/17/2015,2015-12-17T11:57:33Z,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
luben/zstd-jni,src/main/native/common/cpu.h,zstd-jni,zstd-jni-0.4.4,,,12/17/2015,2015-12-17T11:57:33Z,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
luben/zstd-jni,src/main/native/common/debug.c,zstd-jni,zstd-jni-0.4.4,,,12/17/2015,2015-12-17T11:57:33Z,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
luben/zstd-jni,src/main/native/common/debug.h,zstd-jni,zstd-jni-0.4.4,,,12/17/2015,2015-12-17T11:57:33Z,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
luben/zstd-jni,src/main/native/common/entropy_common.c,zstd-jni,zstd-jni-0.4.4,,,12/17/2015,2015-12-17T11:57:33Z,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
luben/zstd-jni,src/main/native/common/error_private.c,zstd-jni,zstd-jni-0.4.4,,,12/17/2015,2015-12-17T11:57:33Z,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
