ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedParameters,timeout,connect,SSLSocketWrapper,org.apache.harmony.xnet.provider.jsse,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_7\luni\src\main\java\org\apache\harmony\xnet\provider\jsse\SSLSocketWrapper.java,SSLSocketWrapper.java
CS2,UnusedParameters,out,send,ServerHelloDone,org.apache.harmony.xnet.provider.jsse,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_7\luni\src\main\java\org\apache\harmony\xnet\provider\jsse\ServerHelloDone.java,ServerHelloDone.java
CS3,UnusedParameters,bytes,unwrapSSLv2,ClientHandshakeImpl,org.apache.harmony.xnet.provider.jsse,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_7\luni\src\main\java\org\apache\harmony\xnet\provider\jsse\ClientHandshakeImpl.java,ClientHandshakeImpl.java
CS4,UnusedParameters,spec,engineInit,KeyManagerFactoryImpl,org.apache.harmony.xnet.provider.jsse,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_7\luni\src\main\java\org\apache\harmony\xnet\provider\jsse\KeyManagerFactoryImpl.java,KeyManagerFactoryImpl.java
CS5,UnusedParameters,param,engineGetParameter,OpenSSLSignature,org.apache.harmony.xnet.provider.jsse,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_7\luni\src\main\java\org\apache\harmony\xnet\provider\jsse\OpenSSLSignature.java,OpenSSLSignature.java
CS6,UnusedParameters,session,sessionRemoved,ServerSessionContext,org.apache.harmony.xnet.provider.jsse,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_7\luni\src\main\java\org\apache\harmony\xnet\provider\jsse\ServerSessionContext.java,ServerSessionContext.java
CS7,UnusedParameters,socket,chooseServerAlias,KeyManagerImpl,org.apache.harmony.xnet.provider.jsse,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_7\luni\src\main\java\org\apache\harmony\xnet\provider\jsse\KeyManagerImpl.java,KeyManagerImpl.java
CS8,UnusedParameters,kms,engineInit,DefaultSSLContextImpl,org.apache.harmony.xnet.provider.jsse,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_7\luni\src\main\java\org\apache\harmony\xnet\provider\jsse\DefaultSSLContextImpl.java,DefaultSSLContextImpl.java
CS9,UnusedParameters,out,send,HelloRequest,org.apache.harmony.xnet.provider.jsse,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_7\luni\src\main\java\org\apache\harmony\xnet\provider\jsse\HelloRequest.java,HelloRequest.java
CS10,UnusedParameters,spec,engineInit,TrustManagerFactoryImpl,org.apache.harmony.xnet.provider.jsse,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_7\luni\src\main\java\org\apache\harmony\xnet\provider\jsse\TrustManagerFactoryImpl.java,TrustManagerFactoryImpl.java
CS11,UnusedParameters,eldest,removeEldestEntry,AbstractSessionContext,org.apache.harmony.xnet.provider.jsse,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_7\luni\src\main\java\org\apache\harmony\xnet\provider\jsse\AbstractSessionContext.java,AbstractSessionContext.java
CS12,UnusedParameters,limit,mark,HandshakeIODataStream,org.apache.harmony.xnet.provider.jsse,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_7\luni\src\main\java\org\apache\harmony\xnet\provider\jsse\HandshakeIODataStream.java,HandshakeIODataStream.java
CS13,UnusedParameters,port,createSocket,SSLSocketFactoryImpl,org.apache.harmony.xnet.provider.jsse,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_7\luni\src\main\java\org\apache\harmony\xnet\provider\jsse\SSLSocketFactoryImpl.java,SSLSocketFactoryImpl.java
