ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotHandlingExceptions,"callback",InstallEventHandler,,,D:/Mona/new-downloads/frostwire_snapshots/frostwire_4\desktop\lib\native-src\osx\GURLjnilib.c,GURLjnilib.c
CS2,NotHandlingExceptions,"java/io/IOException",ThrowIOException,,,D:/Mona/new-downloads/frostwire_snapshots/frostwire_4\desktop\lib\native-src\windows\SystemUtils\SystemUtilities.cpp,SystemUtilities.cpp
CS3,NotHandlingExceptions,"java/lang/NoSuchMethodException",InstallEventHandler,,,D:/Mona/new-downloads/frostwire_snapshots/frostwire_4\desktop\lib\native-src\osx\GURLjnilib.c,GURLjnilib.c
CS4,AssumingSafeMultiLanguageReturnValues,"java/lang/NoSuchMethodException",InstallEventHandler,,,D:/Mona/new-downloads/frostwire_snapshots/frostwire_4\desktop\lib\native-src\osx\GURLjnilib.c,GURLjnilib.c
CS5,UnusedImplementation,,registryReadNumberNative,SystemUtils,org.limewire.util,D:/Mona/new-downloads/frostwire_snapshots/frostwire_4\desktop\src\org\limewire\util\SystemUtils.java,SystemUtils.java
CS6,UnusedImplementation,,firewallIsProgramEnabledNative,SystemUtils,org.limewire.util,D:/Mona/new-downloads/frostwire_snapshots/frostwire_4\desktop\src\org\limewire\util\SystemUtils.java,SystemUtils.java
CS7,UnusedImplementation,,idleTime,SystemUtils,org.limewire.util,D:/Mona/new-downloads/frostwire_snapshots/frostwire_4\desktop\src\org\limewire\util\SystemUtils.java,SystemUtils.java
CS8,UnusedImplementation,,firewallExceptionsNotAllowedNative,SystemUtils,org.limewire.util,D:/Mona/new-downloads/frostwire_snapshots/frostwire_4\desktop\src\org\limewire\util\SystemUtils.java,SystemUtils.java
CS9,UnusedDeclaration,,SetLoginStatusNative,MacOSXUtils,com.limegroup.gnutella.util,D:/Mona/new-downloads/frostwire_snapshots/frostwire_4\desktop\src\com\limegroup\gnutella\util\MacOSXUtils.java,MacOSXUtils.java
CS10,UnusedDeclaration,,awtMessage,MPlayerComponentOSX2,com.frostwire.gui.mplayer,D:/Mona/new-downloads/frostwire_snapshots/frostwire_4\desktop\src\com\frostwire\gui\mplayer\MPlayerComponentOSX2.java,MPlayerComponentOSX2.java
CS11,UnusedDeclaration,,GetCurrentFullUserName,MacOSXUtils,com.limegroup.gnutella.util,D:/Mona/new-downloads/frostwire_snapshots/frostwire_4\desktop\src\com\limegroup\gnutella\util\MacOSXUtils.java,MacOSXUtils.java
CS12,UnusedDeclaration,,FindMimeFromData,WinRegistryWrapper,com.frostwire.util.filetypes,D:/Mona/new-downloads/frostwire_snapshots/frostwire_4\desktop\src\com\frostwire\util\filetypes\WinRegistryWrapper.java,WinRegistryWrapper.java
CS13,UnusedDeclaration,,createNSView,MPlayerComponentOSX2,com.frostwire.gui.mplayer,D:/Mona/new-downloads/frostwire_snapshots/frostwire_4\desktop\src\com\frostwire\gui\mplayer\MPlayerComponentOSX2.java,MPlayerComponentOSX2.java
CS14,UnusedParameters,args,onCreateLoader,SearchActivity,com.andrew.apollo.ui.activities,D:/Mona/new-downloads/frostwire_snapshots/frostwire_4\android\apollo\src\com\andrew\apollo\ui\activities\SearchActivity.java,SearchActivity.java
