ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedParameters,value,setOption,FormulaCollectionScript,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\FormulaCollectionScript.java,FormulaCollectionScript.java
CS2,UnusedParameters,expr,substitute,SmtInterpolUnsafeFormulaManager,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\SmtInterpolUnsafeFormulaManager.java,SmtInterpolUnsafeFormulaManager.java
CS3,UnusedParameters,term,simplify,FormulaCollectionScript,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\FormulaCollectionScript.java,FormulaCollectionScript.java
CS4,UnusedParameters,pIndexType,getArrayType,PrincessFormulaCreator,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessFormulaCreator.java,PrincessFormulaCreator.java
CS5,UnusedParameters,partitionedFormulas,getTreeInterpolants,PrincessInterpolatingProver,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessInterpolatingProver.java,PrincessInterpolatingProver.java
CS6,UnusedParameters,pSigned,extract,Mathsat5BitvectorFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5BitvectorFormulaManager.java,Mathsat5BitvectorFormulaManager.java
CS7,UnusedParameters,startOfSubtree,getInterpolants,FormulaCollectionScript,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\FormulaCollectionScript.java,FormulaCollectionScript.java
CS8,UnusedParameters,mgr,createConfig,Mathsat5InterpolatingProver,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5InterpolatingProver.java,Mathsat5InterpolatingProver.java
CS9,UnusedParameters,opt,setOption,FormulaCollectionScript,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\FormulaCollectionScript.java,FormulaCollectionScript.java
CS10,UnusedParameters,pShared,newProverEnvironmentWithInterpolation,SmtInterpolFormulaManager,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\SmtInterpolFormulaManager.java,SmtInterpolFormulaManager.java
CS11,UnusedParameters,pGenerateUnsatCore,newProverEnvironment,PrincessFormulaManager,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessFormulaManager.java,PrincessFormulaManager.java
CS12,UnusedParameters,type,getFloatingPointType,Z3FormulaCreator,org.sosy_lab.solver.z3,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\z3\Z3FormulaCreator.java,Z3FormulaCreator.java
CS13,UnusedParameters,signed,negate,AbstractBitvectorFormulaManager<TFormulaInfo, TType, TEnv>,org.sosy_lab.solver.basicimpl,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\basicimpl\AbstractBitvectorFormulaManager.java,AbstractBitvectorFormulaManager.java
CS14,UnusedParameters,pPredicates,checkAllsat,FormulaCollectionScript,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\FormulaCollectionScript.java,FormulaCollectionScript.java
CS15,UnusedParameters,f,applyTacticImpl,AbstractBooleanFormulaManager<TFormulaInfo, TType, TEnv>,org.sosy_lab.solver.basicimpl,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\basicimpl\AbstractBooleanFormulaManager.java,AbstractBooleanFormulaManager.java
CS16,UnusedParameters,partitionedFormulas,getSeqInterpolants,Mathsat5InterpolatingProver,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5InterpolatingProver.java,Mathsat5InterpolatingProver.java
CS17,UnusedParameters,pGenerateModels,newProverEnvironment,Z3FormulaManager,org.sosy_lab.solver.z3,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\z3\Z3FormulaManager.java,Z3FormulaManager.java
CS18,UnusedParameters,pMsg,echo,FormulaCollectionScript,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\FormulaCollectionScript.java,FormulaCollectionScript.java
CS19,UnusedParameters,substituteFrom,substitute,SmtInterpolUnsafeFormulaManager,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\SmtInterpolUnsafeFormulaManager.java,SmtInterpolUnsafeFormulaManager.java
CS20,UnusedParameters,pT,getQuantifiedBody,SmtInterpolUnsafeFormulaManager,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\SmtInterpolUnsafeFormulaManager.java,SmtInterpolUnsafeFormulaManager.java
CS21,UnusedParameters,pFormula,isImplication,Mathsat5BooleanFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5BooleanFormulaManager.java,Mathsat5BooleanFormulaManager.java
CS22,UnusedParameters,env,replaceArgs,PrincessUtil,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessUtil.java,PrincessUtil.java
CS23,UnusedParameters,pGenerateModels,newProverEnvironment,PrincessFormulaManager,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessFormulaManager.java,PrincessFormulaManager.java
CS24,UnusedParameters,info,getInfo,FormulaCollectionScript,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\FormulaCollectionScript.java,FormulaCollectionScript.java
CS25,UnusedParameters,pT,isQuantification,SmtInterpolUnsafeFormulaManager,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\SmtInterpolUnsafeFormulaManager.java,SmtInterpolUnsafeFormulaManager.java
CS26,UnusedParameters,pShared,newProverEnvironmentWithInterpolation,PrincessFormulaManager,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessFormulaManager.java,PrincessFormulaManager.java
CS27,UnusedParameters,epsilon,lower,Mathsat5OptProver,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5OptProver.java,Mathsat5OptProver.java
CS28,UnusedParameters,pNumber2,modularCongruence,Z3BitvectorFormulaManager,org.sosy_lab.solver.z3,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\z3\Z3BitvectorFormulaManager.java,Z3BitvectorFormulaManager.java
CS29,UnusedParameters,pArray2,equivalence,Mathsat5ArrayFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5ArrayFormulaManager.java,Mathsat5ArrayFormulaManager.java
CS30,UnusedParameters,pNumber1,modularCongruence,Z3BitvectorFormulaManager,org.sosy_lab.solver.z3,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\z3\Z3BitvectorFormulaManager.java,Z3BitvectorFormulaManager.java
CS31,UnusedParameters,pArray1,equivalence,Mathsat5ArrayFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5ArrayFormulaManager.java,Mathsat5ArrayFormulaManager.java
CS32,UnusedParameters,signed,multiply,AbstractBitvectorFormulaManager<TFormulaInfo, TType, TEnv>,org.sosy_lab.solver.basicimpl,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\basicimpl\AbstractBitvectorFormulaManager.java,AbstractBitvectorFormulaManager.java
CS33,UnusedParameters,logic,setLogic,FormulaCollectionScript,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\FormulaCollectionScript.java,FormulaCollectionScript.java
CS34,UnusedParameters,pNumber2,modularCongruence,Z3NumeralFormulaManager
        <ParamFormulaType extends NumeralFormula, ResultFormulaType extends NumeralFormula>,org.sosy_lab.solver.z3,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\z3\Z3NumeralFormulaManager.java,Z3NumeralFormulaManager.java
CS35,UnusedParameters,pNumber1,modularCongruence,Z3NumeralFormulaManager
        <ParamFormulaType extends NumeralFormula, ResultFormulaType extends NumeralFormula>,org.sosy_lab.solver.z3,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\z3\Z3NumeralFormulaManager.java,Z3NumeralFormulaManager.java
CS36,UnusedParameters,expr,substitute,PrincessUnsafeFormulaManager,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessUnsafeFormulaManager.java,PrincessUnsafeFormulaManager.java
CS37,UnusedParameters,pElementType,internalMakeArray,Mathsat5ArrayFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5ArrayFormulaManager.java,Mathsat5ArrayFormulaManager.java
CS38,UnusedParameters,terms,getValue,FormulaCollectionScript,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\FormulaCollectionScript.java,FormulaCollectionScript.java
CS39,UnusedParameters,pIndexType,internalMakeArray,Mathsat5ArrayFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5ArrayFormulaManager.java,Mathsat5ArrayFormulaManager.java
CS40,UnusedParameters,pModulo,modularCongruence,Z3NumeralFormulaManager
