ID,Name,Variable,Method,Class,Package,File,File Name
CS1,AssumingSafeMultiLanguageReturnValues,classes[i],InitJNIFields,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\codec\omxil\mediacodec_jni.c,mediacodec_jni.c
CS2,AssumingSafeMultiLanguageReturnValues,members[i],InitJNIFields,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\codec\omxil\mediacodec_jni.c,mediacodec_jni.c
CS3,UnusedParameters,i_cos,packed_sat_hue_C,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\video_filter\adjust_sat_hue.c,adjust_sat_hue.c
CS4,UnusedParameters,mrefs,yadif_filter_line,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\video_filter\deinterlace\yadif_template.h,yadif_template.h
CS5,UnusedParameters,varnames,VideoAutoMenuBuilder,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\gui\qt4\menus.cpp,menus.cpp
CS6,UnusedParameters,varnames,SubsAutoMenuBuilder,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\gui\qt4\menus.cpp,menus.cpp
CS7,UnusedParameters,ppsz_argv[],system_Configure,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\src\win32\specific.c,specific.c
CS8,UnusedParameters,bd[8],csa_BlockDecypher,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\mux\mpeg\csa.c,csa.c
CS9,UnusedParameters,height,MacOSXGraphics::fillRect,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\gui\skins2\macosx\macosx_graphics.cpp,macosx_graphics.cpp
CS10,UnusedParameters,inAddresses[],DeviceAliveListener,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\audio_output\auhal.c,auhal.c
CS11,UnusedParameters,samples,aout_Interleave,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\src\audio_output\common.c,common.c
CS12,UnusedParameters,p_lut[ACCURACY + 1][256],FilterPlanar,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\video_splitter\panoramix.c,panoramix.c
CS13,UnusedParameters,varnames,AudioAutoMenuBuilder,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\gui\qt4\menus.cpp,menus.cpp
CS14,UnusedParameters,yDest,MacOSXGraphics::drawBitmap,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\gui\skins2\macosx\macosx_graphics.cpp,macosx_graphics.cpp
CS15,UnusedParameters,width,MacOSXGraphics::fillRect,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\gui\skins2\macosx\macosx_graphics.cpp,macosx_graphics.cpp
CS16,UnusedParameters,tk[PS_TK_COUNT],ps_psm_fill,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\demux\mpeg\ps.h,ps.h
CS17,UnusedParameters,pi_format[],WavSkipHeader,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\demux\mpeg\es.c,es.c
CS18,UnusedParameters,ppsz_property[],ExecuteSetup,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\src\input\vlmshell.c,vlmshell.c
CS19,UnusedParameters,chans,aout_Interleave,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\src\audio_output\common.c,common.c
CS20,UnusedParameters,flags,vlc_openat,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\src\os2\filesystem.c,filesystem.c
CS21,UnusedParameters,i_x,planar_sat_hue_clip_C,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\video_filter\adjust_sat_hue.c,adjust_sat_hue.c
CS22,UnusedParameters,p_chroma_list,RenderText,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\text_renderer\win32text.c,win32text.c
CS23,UnusedParameters,i_y,planar_sat_hue_clip_C,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\video_filter\adjust_sat_hue.c,adjust_sat_hue.c
CS24,UnusedParameters,color[4],DrawHLine,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\video_filter\audiobargraph_v.c,audiobargraph_v.c
CS25,UnusedParameters,p_input,vlclua_read_meta_data,,,D:/Mona/new-downloads/vlc_snapshots/vlc_64\modules\lua\vlc.c,vlc.c
