Id_Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
1,CS1,AssumingSafeMultiLanguageReturnValues,java/lang/NoSuchMethodException,InstallEventHandler,,,frostwire-frostwire-desktop-6.8.0-build-284/desktop/lib/native-src/osx/GURLjnilib.c,GURLjnilib.c,frostwire,frostwire-desktop-6.8.0-build-284,7/20/2019
2,CS2,NotHandlingExceptions,callback,InstallEventHandler,,,frostwire-frostwire-desktop-6.8.0-build-284/desktop/lib/native-src/osx/GURLjnilib.c,GURLjnilib.c,frostwire,frostwire-desktop-6.8.0-build-284,7/20/2019
3,CS3,NotHandlingExceptions,java/lang/NoSuchMethodException,InstallEventHandler,,,frostwire-frostwire-desktop-6.8.0-build-284/desktop/lib/native-src/osx/GURLjnilib.c,GURLjnilib.c,frostwire,frostwire-desktop-6.8.0-build-284,7/20/2019
4,CS4,NotHandlingExceptions,java/io/IOException,,,,frostwire-frostwire-desktop-6.8.0-build-284/desktop/lib/native-src/windows/SystemUtils/SystemUtilities.cpp,SystemUtilities.cpp,frostwire,frostwire-desktop-6.8.0-build-284,7/20/2019
5,CS5,UnusedDeclaration,,nativeCreateConcurrentQueue,,com.apple.concurrent,frostwire-frostwire-desktop-6.8.0-build-284/desktop/src/com/apple/concurrent/LibDispatchNative.java,LibDispatchNative.java,frostwire,frostwire-desktop-6.8.0-build-284,7/20/2019
6,CS6,UnusedDeclaration,,SetLoginStatusNative,MacOSXUtils,com.limegroup.gnutella.util,frostwire-frostwire-desktop-6.8.0-build-284/desktop/src/com/limegroup/gnutella/util/MacOSXUtils.java,MacOSXUtils.java,frostwire,frostwire-desktop-6.8.0-build-284,7/20/2019
7,CS7,UnusedDeclaration,,nativeGetMainQueue,,com.apple.concurrent,frostwire-frostwire-desktop-6.8.0-build-284/desktop/src/com/apple/concurrent/LibDispatchNative.java,LibDispatchNative.java,frostwire,frostwire-desktop-6.8.0-build-284,7/20/2019
8,CS8,UnusedDeclaration,,awtMessage,MPlayerComponentOSX2,com.frostwire.gui.mplayer,frostwire-frostwire-desktop-6.8.0-build-284/desktop/src/com/frostwire/gui/mplayer/MPlayerComponentOSX2.java,MPlayerComponentOSX2.java,frostwire,frostwire-desktop-6.8.0-build-284,7/20/2019
9,CS9,UnusedDeclaration,,nativeCreateSerialQueue,,com.apple.concurrent,frostwire-frostwire-desktop-6.8.0-build-284/desktop/src/com/apple/concurrent/LibDispatchNative.java,LibDispatchNative.java,frostwire,frostwire-desktop-6.8.0-build-284,7/20/2019
10,CS10,UnusedDeclaration,,nativeExecuteAsync,,com.apple.concurrent,frostwire-frostwire-desktop-6.8.0-build-284/desktop/src/com/apple/concurrent/LibDispatchNative.java,LibDispatchNative.java,frostwire,frostwire-desktop-6.8.0-build-284,7/20/2019
