Id_Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
1,CS1,AssumingSafeMultiLanguageReturnValues,a0,JPJavaEnv::GetStaticMethodID,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
2,CS2,AssumingSafeMultiLanguageReturnValues,a0,JPJavaEnv::FindClass,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
3,CS3,AssumingSafeMultiLanguageReturnValues,a0,JPJavaEnv::GetFieldID,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
4,CS4,AssumingSafeMultiLanguageReturnValues,a0,JPJavaEnv::GetMethodID,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
5,CS5,AssumingSafeMultiLanguageReturnValues,a0,JPJavaEnv::GetStaticFieldID,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
6,CS6,MemoryManagementMismatch,ByteArrayElements,JPJavaEnv::GetByteArrayElements,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
7,CS7,MemoryManagementMismatch,CharArrayElements,JPJavaEnv::GetCharArrayElements,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
8,CS8,MemoryManagementMismatch,LongArrayElements,JPJavaEnv::GetLongArrayElements,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
9,CS9,MemoryManagementMismatch,BooleanArrayElements,JPJavaEnv::GetBooleanArrayElements,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
10,CS10,MemoryManagementMismatch,DoubleArrayElements,JPJavaEnv::GetDoubleArrayElements,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
11,CS11,MemoryManagementMismatch,StringChars,JPJavaEnv::GetStringChars,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
12,CS12,MemoryManagementMismatch,StringUTFChars,JPJavaEnv::GetStringUTFChars,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
13,CS13,MemoryManagementMismatch,IntArrayElements,JPJavaEnv::GetIntArrayElements,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
14,CS14,MemoryManagementMismatch,FloatArrayElements,JPJavaEnv::GetFloatArrayElements,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
15,CS15,MemoryManagementMismatch,ShortArrayElements,JPJavaEnv::GetShortArrayElements,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
16,CS16,NotHandlingExceptions,a0,JPJavaEnv::GetStaticMethodID,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
17,CS17,NotHandlingExceptions,a0,JPJavaEnv::FindClass,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
18,CS18,NotHandlingExceptions,a0,JPJavaEnv::GetFieldID,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
19,CS19,NotHandlingExceptions,a0,JPJavaEnv::GetMethodID,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
20,CS20,NotHandlingExceptions,a0,JPJavaEnv::GetStaticFieldID,,,jpype-0.5.4.5/src/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.5.4.5,8/25/2013
21,CS21,UnusedParameters,kwargs,PyJPMethod::__call__,,,jpype-0.5.4.5/src/native/python/py_method.cpp,py_method.cpp,jpype,jpype-0.5.4.5,8/25/2013
