Id_Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
1,CS1,AssumingSafeMultiLanguageReturnValues,a0,JPJavaEnv::GetStaticMethodID,,,jpype-0.6.2/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.6.2,1/12/2017
2,CS2,AssumingSafeMultiLanguageReturnValues,a0,JPJavaEnv::FindClass,,,jpype-0.6.2/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.6.2,1/12/2017
3,CS3,AssumingSafeMultiLanguageReturnValues,a0,JPJavaEnv::GetFieldID,,,jpype-0.6.2/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.6.2,1/12/2017
4,CS4,AssumingSafeMultiLanguageReturnValues,a0,JPJavaEnv::GetMethodID,,,jpype-0.6.2/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.6.2,1/12/2017
5,CS5,AssumingSafeMultiLanguageReturnValues,a0,JPJavaEnv::GetStaticFieldID,,,jpype-0.6.2/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.6.2,1/12/2017
6,CS6,MemoryManagementMismatch,BooleanArrayElements,GetBooleanArrayElements,,,jpype-0.6.2/native/jni_include/jni.h,jni.h,jpype,jpype-0.6.2,1/12/2017
7,CS7,MemoryManagementMismatch,ShortArrayElements,GetShortArrayElements,,,jpype-0.6.2/native/jni_include/jni.h,jni.h,jpype,jpype-0.6.2,1/12/2017
8,CS8,MemoryManagementMismatch,ByteArrayElements,JPJavaEnv::GetByteArrayElements,,,jpype-0.6.2/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.6.2,1/12/2017
9,CS9,MemoryManagementMismatch,FloatArrayElements,GetFloatArrayElements,,,jpype-0.6.2/native/jni_include/jni.h,jni.h,jpype,jpype-0.6.2,1/12/2017
10,CS10,MemoryManagementMismatch,LongArrayElements,JPJavaEnv::GetLongArrayElements,,,jpype-0.6.2/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.6.2,1/12/2017
11,CS11,MemoryManagementMismatch,StringChars,JPJavaEnv::GetStringChars,,,jpype-0.6.2/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.6.2,1/12/2017
12,CS12,MemoryManagementMismatch,StringCritical,GetStringCritical,,,jpype-0.6.2/native/jni_include/jni.h,jni.h,jpype,jpype-0.6.2,1/12/2017
13,CS13,MemoryManagementMismatch,LongArrayElements,GetLongArrayElements,,,jpype-0.6.2/native/jni_include/jni.h,jni.h,jpype,jpype-0.6.2,1/12/2017
14,CS14,MemoryManagementMismatch,StringUTFChars,GetStringUTFChars,,,jpype-0.6.2/native/jni_include/jni.h,jni.h,jpype,jpype-0.6.2,1/12/2017
15,CS15,MemoryManagementMismatch,IntArrayElements,JPJavaEnv::GetIntArrayElements,,,jpype-0.6.2/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.6.2,1/12/2017
16,CS16,MemoryManagementMismatch,CharArrayElements,GetCharArrayElements,,,jpype-0.6.2/native/jni_include/jni.h,jni.h,jpype,jpype-0.6.2,1/12/2017
17,CS17,MemoryManagementMismatch,StringChars,GetStringChars,,,jpype-0.6.2/native/jni_include/jni.h,jni.h,jpype,jpype-0.6.2,1/12/2017
18,CS18,MemoryManagementMismatch,PrimitiveArrayCritical,GetPrimitiveArrayCritical,,,jpype-0.6.2/native/jni_include/jni.h,jni.h,jpype,jpype-0.6.2,1/12/2017
19,CS19,MemoryManagementMismatch,DoubleArrayElements,GetDoubleArrayElements,,,jpype-0.6.2/native/jni_include/jni.h,jni.h,jpype,jpype-0.6.2,1/12/2017
20,CS20,MemoryManagementMismatch,CharArrayElements,JPJavaEnv::GetCharArrayElements,,,jpype-0.6.2/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.6.2,1/12/2017
21,CS21,MemoryManagementMismatch,IntArrayElements,GetIntArrayElements,,,jpype-0.6.2/native/jni_include/jni.h,jni.h,jpype,jpype-0.6.2,1/12/2017
22,CS22,MemoryManagementMismatch,BooleanArrayElements,JPJavaEnv::GetBooleanArrayElements,,,jpype-0.6.2/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.6.2,1/12/2017
23,CS23,MemoryManagementMismatch,DoubleArrayElements,JPJavaEnv::GetDoubleArrayElements,,,jpype-0.6.2/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.6.2,1/12/2017
24,CS24,MemoryManagementMismatch,PrimitiveArrayCritical,JPJavaEnv::GetPrimitiveArrayCritical,,,jpype-0.6.2/native/common/jp_javaenv.cpp,jp_javaenv.cpp,jpype,jpype-0.6.2,1/12/2017
25,CS25,MemoryManagementMismatch,StringUTFChars,JPJavaEnv::GetStringUTFChars,,,jpype-0.6.2/native/common/jp_javaenv_autogen.cpp,jp_javaenv_autogen.cpp,jpype,jpype-0.6.2,1/12/2017
26,CS26,MemoryManagementMismatch,ByteArrayElements,GetByteArrayElements,,,jpype-0.6.2/native/jni_include/jni.h,jni.h,jpype,jpype-0.6.2,1/12/2017
