Id_Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
1,CS1,AssumingSafeMultiLanguageReturnValues,method_name,,,,realm-java-5.11.0/realm/realm-library/src/main/cpp/jni_util/java_method.cpp,java_method.cpp,Realm,realm-java-5.11.0,05/01/2019
2,CS2,AssumingSafeMultiLanguageReturnValues,class_name,JavaClass::get_jclass,,,realm-java-5.11.0/realm/realm-library/src/main/cpp/jni_util/java_class.cpp,java_class.cpp,Realm,realm-java-5.11.0,05/01/2019
3,CS3,AssumingSafeMultiLanguageReturnValues,log,,,,realm-java-5.11.0/realm/realm-library/src/main/cpp/jni_util/log.cpp,log.cpp,Realm,realm-java-5.11.0,05/01/2019
4,CS4,NotHandlingExceptions,io/realm/internal/async/BadVersionException,ThrowException,,,realm-java-5.11.0/realm/realm-library/src/main/cpp/util.cpp,util.cpp,Realm,realm-java-5.11.0,05/01/2019
5,CS5,NotHandlingExceptions,method_name,,,,realm-java-5.11.0/realm/realm-library/src/main/cpp/jni_util/java_method.cpp,java_method.cpp,Realm,realm-java-5.11.0,05/01/2019
6,CS6,NotHandlingExceptions,class_name,JavaClass::get_jclass,,,realm-java-5.11.0/realm/realm-library/src/main/cpp/jni_util/java_class.cpp,java_class.cpp,Realm,realm-java-5.11.0,05/01/2019
7,CS7,NotHandlingExceptions,java/lang/IllegalArgumentException,ThrowException,,,realm-java-5.11.0/realm/realm-library/src/main/cpp/util.cpp,util.cpp,Realm,realm-java-5.11.0,05/01/2019
8,CS8,NotHandlingExceptions,java/lang/IllegalStateException,ThrowException,,,realm-java-5.11.0/realm/realm-library/src/main/cpp/util.cpp,util.cpp,Realm,realm-java-5.11.0,05/01/2019
9,CS9,NotHandlingExceptions,java/lang/UnsupportedOperationException,ThrowException,,,realm-java-5.11.0/realm/realm-library/src/main/cpp/util.cpp,util.cpp,Realm,realm-java-5.11.0,05/01/2019
10,CS10,NotHandlingExceptions,java/lang/RuntimeException,ThrowException,,,realm-java-5.11.0/realm/realm-library/src/main/cpp/util.cpp,util.cpp,Realm,realm-java-5.11.0,05/01/2019
11,CS11,NotHandlingExceptions,java/lang/ArrayIndexOutOfBoundsException,ThrowException,,,realm-java-5.11.0/realm/realm-library/src/main/cpp/util.cpp,util.cpp,Realm,realm-java-5.11.0,05/01/2019
12,CS12,NotHandlingExceptions,java/lang/ClassNotFoundException,ThrowException,,,realm-java-5.11.0/realm/realm-library/src/main/cpp/util.cpp,util.cpp,Realm,realm-java-5.11.0,05/01/2019
13,CS13,NotHandlingExceptions,JavaExceptionDef::OutOfMemory,ThrowException,,,realm-java-5.11.0/realm/realm-library/src/main/cpp/util.cpp,util.cpp,Realm,realm-java-5.11.0,05/01/2019
14,CS14,NotHandlingExceptions,log,,,,realm-java-5.11.0/realm/realm-library/src/main/cpp/jni_util/log.cpp,log.cpp,Realm,realm-java-5.11.0,05/01/2019
15,CS15,NotHandlingExceptions,io/realm/exceptions/RealmError,ThrowException,,,realm-java-5.11.0/realm/realm-library/src/main/cpp/util.cpp,util.cpp,Realm,realm-java-5.11.0,05/01/2019
16,CS16,LocalReferencesAbuse,key,Java_io_realm_internal_OsRealmConfig_nativeCreateAndSetSyncConfig,,,realm-java-5.11.0/realm/realm-library/src/main/cpp/io_realm_internal_OsRealmConfig.cpp,io_realm_internal_OsRealmConfig.cpp,Realm,realm-java-5.11.0,05/01/2019
17,CS17,LocalReferencesAbuse,value,Java_io_realm_internal_OsRealmConfig_nativeCreateAndSetSyncConfig,,,realm-java-5.11.0/realm/realm-library/src/main/cpp/io_realm_internal_OsRealmConfig.cpp,io_realm_internal_OsRealmConfig.cpp,Realm,realm-java-5.11.0,05/01/2019
