Id_Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
1,CS1,MemoryManagementMismatch,ByteArrayElements,txn_write_kv_parts_helper,,,rocksdb-5.14.3/java/rocksjni/transaction.cc,transaction.cc,rocksdb,rocksdb-5.14.3,8/26/2018
2,CS2,MemoryManagementMismatch,ByteArrayElements,txn_multi_get_helper,,,rocksdb-5.14.3/java/rocksjni/transaction.cc,transaction.cc,rocksdb,rocksdb-5.14.3,8/26/2018
3,CS3,MemoryManagementMismatch,ByteArrayElements,txn_write_k_parts_helper,,,rocksdb-5.14.3/java/rocksjni/transaction.cc,transaction.cc,rocksdb,rocksdb-5.14.3,8/26/2018
4,CS4,UnusedDeclaration,,setUseOsBuffer,EnvOptions,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/EnvOptions.java,EnvOptions.java,rocksdb,rocksdb-5.14.3,8/26/2018
5,CS5,UnusedDeclaration,,getFromBatch,WriteBatchWithIndex,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java,rocksdb,rocksdb-5.14.3,8/26/2018
6,CS6,UnusedDeclaration,,iteratorCF,RocksDB,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/RocksDB.java,RocksDB.java,rocksdb,rocksdb-5.14.3,8/26/2018
7,CS7,UnusedDeclaration,,undoGetForUpdate,Transaction,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/Transaction.java,Transaction.java,rocksdb,rocksdb-5.14.3,8/26/2018
8,CS8,UnusedDeclaration,,putUntracked,Transaction,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/Transaction.java,Transaction.java,rocksdb,rocksdb-5.14.3,8/26/2018
9,CS9,UnusedDeclaration,,deleteRange,WriteBatch,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/WriteBatch.java,WriteBatch.java,rocksdb,rocksdb-5.14.3,8/26/2018
10,CS10,UnusedDeclaration,,useOsBuffer,EnvOptions,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/EnvOptions.java,EnvOptions.java,rocksdb,rocksdb-5.14.3,8/26/2018
11,CS11,UnusedDeclaration,,getLongProperty,RocksDB,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/RocksDB.java,RocksDB.java,rocksdb,rocksdb-5.14.3,8/26/2018
12,CS12,UnusedDeclaration,,beginTransaction_withOld,TransactionDB,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/TransactionDB.java,TransactionDB.java,rocksdb,rocksdb-5.14.3,8/26/2018
13,CS13,UnusedDeclaration,,getFromBatchAndDB,WriteBatchWithIndex,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java,rocksdb,rocksdb-5.14.3,8/26/2018
14,CS14,UnusedDeclaration,,newWriteBatch,WriteBatch,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/WriteBatch.java,WriteBatch.java,rocksdb,rocksdb-5.14.3,8/26/2018
15,CS15,UnusedDeclaration,,singleDelete,WriteBatch,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/WriteBatch.java,WriteBatch.java,rocksdb,rocksdb-5.14.3,8/26/2018
16,CS16,UnusedDeclaration,,newSstFileWriter,SstFileWriter,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/SstFileWriter.java,SstFileWriter.java,rocksdb,rocksdb-5.14.3,8/26/2018
17,CS17,UnusedDeclaration,,getProperty0,RocksDB,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/RocksDB.java,RocksDB.java,rocksdb,rocksdb-5.14.3,8/26/2018
18,CS18,UnusedDeclaration,,getForUpdate,Transaction,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/Transaction.java,Transaction.java,rocksdb,rocksdb-5.14.3,8/26/2018
19,CS19,UnusedDeclaration,,compactRange0,RocksDB,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/RocksDB.java,RocksDB.java,rocksdb,rocksdb-5.14.3,8/26/2018
20,CS20,UnusedDeclaration,,keyMayExist,RocksDB,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/RocksDB.java,RocksDB.java,rocksdb,rocksdb-5.14.3,8/26/2018
21,CS21,UnusedDeclaration,,openROnly,RocksDB,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/RocksDB.java,RocksDB.java,rocksdb,rocksdb-5.14.3,8/26/2018
22,CS22,UnusedDeclaration,,compactRange,RocksDB,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/RocksDB.java,RocksDB.java,rocksdb,rocksdb-5.14.3,8/26/2018
23,CS23,UnusedDeclaration,,beginTransaction,TransactionDB,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/TransactionDB.java,TransactionDB.java,rocksdb,rocksdb-5.14.3,8/26/2018
24,CS24,UnusedDeclaration,,mergeUntracked,Transaction,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/Transaction.java,Transaction.java,rocksdb,rocksdb-5.14.3,8/26/2018
25,CS25,UnusedDeclaration,,deleteUntracked,Transaction,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/Transaction.java,Transaction.java,rocksdb,rocksdb-5.14.3,8/26/2018
26,CS26,UnusedDeclaration,,setComparatorHandle,Options,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/Options.java,Options.java,rocksdb,rocksdb-5.14.3,8/26/2018
27,CS27,UnusedDeclaration,,setSnapshotOnNextOperation,Transaction,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/Transaction.java,Transaction.java,rocksdb,rocksdb-5.14.3,8/26/2018
28,CS28,UnusedDeclaration,,multiGet,Transaction,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/Transaction.java,Transaction.java,rocksdb,rocksdb-5.14.3,8/26/2018
29,CS29,UnusedDeclaration,,multiGetForUpdate,Transaction,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/Transaction.java,Transaction.java,rocksdb,rocksdb-5.14.3,8/26/2018
30,CS30,UnusedDeclaration,,getIterator,Transaction,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/Transaction.java,Transaction.java,rocksdb,rocksdb-5.14.3,8/26/2018
31,CS31,NotUsingRelativePath,rocksdbjni,loadLibrary,RocksDB,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/RocksDB.java,RocksDB.java,rocksdb,rocksdb-5.14.3,8/26/2018
32,CS32,HardCodingLibraries,sharedLibraryName,loadLibrary,NativeLibraryLoader,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/NativeLibraryLoader.java,NativeLibraryLoader.java,rocksdb,rocksdb-5.14.3,8/26/2018
33,CS33,HardCodingLibraries,jniLibraryName,loadLibrary,NativeLibraryLoader,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/NativeLibraryLoader.java,NativeLibraryLoader.java,rocksdb,rocksdb-5.14.3,8/26/2018
34,CS34,UnusedParameters,args,main,OptimisticTransactionSample,,rocksdb-5.14.3/java/samples/src/main/java/OptimisticTransactionSample.java,OptimisticTransactionSample.java,rocksdb,rocksdb-5.14.3,8/26/2018
35,CS35,UnusedParameters,columnFamilyId,deleteRange,WriteBatchGetter,org.rocksdb.util,rocksdb-5.14.3/java/src/test/java/org/rocksdb/util/WriteBatchGetter.java,WriteBatchGetter.java,rocksdb,rocksdb-5.14.3,8/26/2018
36,CS36,UnusedParameters,reserved,WinOnThreadExit,,rocksdb,rocksdb-5.14.3/util/thread_local.cc,thread_local.cc,rocksdb,rocksdb-5.14.3,8/26/2018
37,CS37,UnusedParameters,histData,histogramCallback,StatsCallbackMock,org.rocksdb,rocksdb-5.14.3/java/src/test/java/org/rocksdb/StatsCallbackMock.java,StatsCallbackMock.java,rocksdb,rocksdb-5.14.3,8/26/2018
38,CS38,UnusedParameters,jvalue_parts_to_free[],free_key_value_parts,,,rocksdb-5.14.3/java/rocksjni/transaction.cc,transaction.cc,rocksdb,rocksdb-5.14.3,8/26/2018
39,CS39,UnusedParameters,handle,getWriteBatch,WriteBatch,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/WriteBatch.java,WriteBatch.java,rocksdb,rocksdb-5.14.3,8/26/2018
40,CS40,UnusedParameters,range,getKey,DbBenchmark,org.rocksdb.benchmark,rocksdb-5.14.3/java/benchmark/src/main/java/org/rocksdb/benchmark/DbBenchmark.java,DbBenchmark.java,rocksdb,rocksdb-5.14.3,8/26/2018
41,CS41,UnusedParameters,bucket_ids[],HashCuckooRep::QuickInsert,,rocksdb,rocksdb-5.14.3/memtable/hash_cuckoo_rep.cc,hash_cuckoo_rep.cc,rocksdb,rocksdb-5.14.3,8/26/2018
42,CS42,UnusedParameters,value_changed,Filter,DummyCompactionFilter,,rocksdb-5.14.3/examples/options_file_example.cc,options_file_example.cc,rocksdb,rocksdb-5.14.3,8/26/2018
43,CS43,UnusedParameters,values[],rocksdb_set_options,,,rocksdb-5.14.3/db/c.cc,c.cc,rocksdb,rocksdb-5.14.3,8/26/2018
44,CS44,UnusedParameters,options,HdfsEnv::NewSequentialFile,,rocksdb,rocksdb-5.14.3/env/env_hdfs.cc,env_hdfs.cc,rocksdb,rocksdb-5.14.3,8/26/2018
45,CS45,UnusedParameters,start,findShortestSeparator,AbstractComparator<T extends AbstractSlice<?>>,org.rocksdb,rocksdb-5.14.3/java/src/main/java/org/rocksdb/AbstractComparator.java,AbstractComparator.java,rocksdb,rocksdb-5.14.3,8/26/2018
46,CS46,UnusedParameters,new_value,Filter,DummyCompactionFilter,,rocksdb-5.14.3/examples/options_file_example.cc,options_file_example.cc,rocksdb,rocksdb-5.14.3,8/26/2018
