Id-Table,ID,Name,Variable,Method,Class,Package,File Path,File Name,System,Version,Release
1,CS1,MemoryManagementMismatch,ByteArrayElements,txn_write_kv_parts_helper,,,rocksdb-5.18.3/java/rocksjni/transaction.cc,transaction.cc,rocksdb,rocksdb-5.18.3,2/28/2019
2,CS2,MemoryManagementMismatch,ByteArrayElements,txn_multi_get_helper,,,rocksdb-5.18.3/java/rocksjni/transaction.cc,transaction.cc,rocksdb,rocksdb-5.18.3,2/28/2019
3,CS3,MemoryManagementMismatch,ByteArrayElements,txn_write_k_parts_helper,,,rocksdb-5.18.3/java/rocksjni/transaction.cc,transaction.cc,rocksdb,rocksdb-5.18.3,2/28/2019
4,CS4,UnusedDeclaration,,setUseOsBuffer,EnvOptions,org.rocksdb,rocksdb-5.18.3/java/src/main/java/org/rocksdb/EnvOptions.java,EnvOptions.java,rocksdb,rocksdb-5.18.3,2/28/2019
5,CS5,UnusedDeclaration,,getFromBatch,WriteBatchWithIndex,org.rocksdb,rocksdb-5.18.3/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java,rocksdb,rocksdb-5.18.3,2/28/2019
6,CS6,UnusedDeclaration,,iteratorCF,RocksDB,org.rocksdb,rocksdb-5.18.3/java/src/main/java/org/rocksdb/RocksDB.java,RocksDB.java,rocksdb,rocksdb-5.18.3,2/28/2019
7,CS7,UnusedDeclaration,,undoGetForUpdate,Transaction,org.rocksdb,rocksdb-5.18.3/java/src/main/java/org/rocksdb/Transaction.java,Transaction.java,rocksdb,rocksdb-5.18.3,2/28/2019
8,CS8,UnusedDeclaration,,putUntracked,Transaction,org.rocksdb,rocksdb-5.18.3/java/src/main/java/org/rocksdb/Transaction.java,Transaction.java,rocksdb,rocksdb-5.18.3,2/28/2019
9,CS9,UnusedDeclaration,,useOsBuffer,EnvOptions,org.rocksdb,rocksdb-5.18.3/java/src/main/java/org/rocksdb/EnvOptions.java,EnvOptions.java,rocksdb,rocksdb-5.18.3,2/28/2019
10,CS10,UnusedDeclaration,,deleteRange,WriteBatchWithIndex,org.rocksdb,rocksdb-5.18.3/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java,rocksdb,rocksdb-5.18.3,2/28/2019
