Id_Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
1,CS1,NotHandlingExceptions,name,throwException,,,java-smt-0.5/lib/native/source/libz3j/includes/arguments.h,arguments.h,java-smt,java-smt-0.5,03/06/2016
2,CS2,UnusedDeclaration,,msat_type_equals,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,java-smt-0.5/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-0.5,03/06/2016
3,CS3,UnusedDeclaration,,mk_full_set,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.5/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.5,03/06/2016
4,CS4,UnusedDeclaration,,msat_set_option,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,java-smt-0.5/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-0.5,03/06/2016
5,CS5,UnusedDeclaration,,msat_term_id,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,java-smt-0.5/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-0.5,03/06/2016
6,CS6,UnusedDeclaration,,mk_concat,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.5/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.5,03/06/2016
7,CS7,UnusedDeclaration,,ast_vector_push,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.5/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.5,03/06/2016
8,CS8,UnusedDeclaration,,mk_exists_const,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.5/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.5,03/06/2016
9,CS9,UnusedDeclaration,,mk_ge,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.5/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.5,03/06/2016
10,CS10,UnusedDeclaration,,tactic_cond,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.5/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.5,03/06/2016
11,CS11,UnusedDeclaration,,mk_rotate_left,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.5/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.5,03/06/2016
12,CS12,UnusedDeclaration,,fixedpoint_from_file,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.5/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.5,03/06/2016
13,CS13,UnusedDeclaration,,msat_model_iterator_next,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,java-smt-0.5/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-0.5,03/06/2016
14,CS14,UnusedDeclaration,,msat_make_term_ite,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,java-smt-0.5/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-0.5,03/06/2016
15,CS15,UnusedDeclaration,,msat_objective_iterator_has_next,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,java-smt-0.5/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-0.5,03/06/2016
16,CS16,UnusedDeclaration,,tactic_dec_ref,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.5/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.5,03/06/2016
17,CS17,UnusedDeclaration,,msat_term_is_bv_ashr,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,java-smt-0.5/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-0.5,03/06/2016
18,CS18,UnusedDeclaration,,tactic_using_params,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.5/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.5,03/06/2016
19,CS19,UnusedDeclaration,,msat_make_bv_or,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,java-smt-0.5/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-0.5,03/06/2016
