Id_Table,ID,Name,Variable,Method,Class,Package,File Path,File Name,System,Version,Release
1,CS1,UnusedDeclaration,,msat_is_fp_type,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
2,CS2,UnusedDeclaration,,msat_term_is_not,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
3,CS3,UnusedDeclaration,,msat_make_bv_plus,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
4,CS4,UnusedDeclaration,,msat_term_is_bv_comp,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
5,CS5,UnusedDeclaration,,msat_make_int_to_bv,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
6,CS6,UnusedDeclaration,,msat_term_is_bv_lshr,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
7,CS7,UnusedDeclaration,,msat_term_is_bv_ashr,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
8,CS8,UnusedDeclaration,,msat_objective_iterator_has_next,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
9,CS9,UnusedDeclaration,,msat_decl_repr,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
10,CS10,UnusedDeclaration,,msat_make_fp_lt,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
11,CS11,UnusedDeclaration,,msat_to_smtlib2,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
12,CS12,UnusedDeclaration,,msat_make_bv_extract,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
13,CS13,UnusedDeclaration,,msat_make_array_read,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
14,CS14,UnusedDeclaration,,msat_make_term_ite,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
15,CS15,UnusedDeclaration,,msat_make_fp_from_ubv,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
16,CS16,UnusedDeclaration,,msat_term_is_bv_srem,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
17,CS17,UnusedDeclaration,,msat_make_and,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
18,CS18,UnusedDeclaration,,msat_make_bv_or,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
19,CS19,UnusedDeclaration,,msat_term_is_false,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
20,CS20,UnusedDeclaration,,msat_make_fp_neg,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
21,CS21,UnusedDeclaration,,msat_solve_with_assumptions,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
22,CS22,UnusedDeclaration,,msat_push_backtrack_point,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
23,CS23,UnusedDeclaration,,msat_last_error_message,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
24,CS24,UnusedDeclaration,,msat_set_option,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
25,CS25,UnusedDeclaration,,msat_term_id,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
26,CS26,UnusedDeclaration,,msat_to_smtlib1,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
27,CS27,UnusedDeclaration,,msat_make_fp_plus,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
28,CS28,UnusedDeclaration,,msat_make_or,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
29,CS29,UnusedDeclaration,,msat_model_iterator_next,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
30,CS30,UnusedDeclaration,,msat_make_bv_slt,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
31,CS31,UnusedDeclaration,,msat_make_int_modular_congruence,Mathsat5NativeApi,org.sosy_lab.java_smt.solvers.mathsat5,java-smt-1.0.1/src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-1.0.1,8/25/2016
