Id_Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
1,CS1,UnusedDeclaration,,constructorCount,AdapterTest,org.bytedeco.javacpp,javacpp-1.1\src\test\java\org\bytedeco\javacpp\AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.1,10/25/2015
2,CS2,UnusedDeclaration,,put,SizeTPointer,org.bytedeco.javacpp,javacpp-1.1\src\main\java\org\bytedeco\javacpp\SizeTPointer.java,SizeTPointer.java,javacpp,javacpp-1.1,10/25/2015
3,CS3,UnusedDeclaration,,testStdVectorByPtr,AdapterTest,org.bytedeco.javacpp,javacpp-1.1\src\test\java\org\bytedeco\javacpp\AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.1,10/25/2015
4,CS4,UnusedDeclaration,,allocate,Pointer,org.bytedeco.javacpp,javacpp-1.1\src\main\java\org\bytedeco\javacpp\Pointer.java,Pointer.java,javacpp,javacpp-1.1,10/25/2015
5,CS5,UnusedDeclaration,,testStdVectorByRef,AdapterTest,org.bytedeco.javacpp,javacpp-1.1\src\test\java\org\bytedeco\javacpp\AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.1,10/25/2015
6,CS6,UnusedDeclaration,,get,SizeTPointer,org.bytedeco.javacpp,javacpp-1.1\src\main\java\org\bytedeco\javacpp\SizeTPointer.java,SizeTPointer.java,javacpp,javacpp-1.1,10/25/2015
7,CS7,UnusedDeclaration,,fetchSharedData,AdapterTest,org.bytedeco.javacpp,javacpp-1.1\src\test\java\org\bytedeco\javacpp\AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.1,10/25/2015
8,CS8,UnusedDeclaration,,errno,IndexerTest,org.bytedeco.javacpp,javacpp-1.1\src\test\java\org\bytedeco\javacpp\IndexerTest.java,IndexerTest.java,javacpp,javacpp-1.1,10/25/2015
9,CS9,UnusedDeclaration,,allocateArray,SizeTPointer,org.bytedeco.javacpp,javacpp-1.1\src\main\java\org\bytedeco\javacpp\SizeTPointer.java,SizeTPointer.java,javacpp,javacpp-1.1,10/25/2015
10,CS10,UnusedDeclaration,,storeSharedData,AdapterTest,org.bytedeco.javacpp,javacpp-1.1\src\test\java\org\bytedeco\javacpp\AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.1,10/25/2015
11,CS11,UnusedDeclaration,,data,AdapterTest,org.bytedeco.javacpp,javacpp-1.1\src\test\java\org\bytedeco\javacpp\AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.1,10/25/2015
12,CS12,UnusedDeclaration,,deallocate,Pointer,org.bytedeco.javacpp,javacpp-1.1\src\main\java\org\bytedeco\javacpp\Pointer.java,Pointer.java,javacpp,javacpp-1.1,10/25/2015
13,CS13,UnusedDeclaration,,asDirectBuffer,Pointer,org.bytedeco.javacpp,javacpp-1.1\src\main\java\org\bytedeco\javacpp\Pointer.java,Pointer.java,javacpp,javacpp-1.1,10/25/2015
14,CS14,UnusedDeclaration,,testStdString,AdapterTest,org.bytedeco.javacpp,javacpp-1.1\src\test\java\org\bytedeco\javacpp\AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.1,10/25/2015
15,CS15,UnusedDeclaration,,testStdVectorByVal,AdapterTest,org.bytedeco.javacpp,javacpp-1.1\src\test\java\org\bytedeco\javacpp\AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.1,10/25/2015
16,CS16,UnusedDeclaration,,memset,Pointer,org.bytedeco.javacpp,javacpp-1.1\src\main\java\org\bytedeco\javacpp\Pointer.java,Pointer.java,javacpp,javacpp-1.1,10/25/2015
17,CS17,UnusedDeclaration,,destructorCount,AdapterTest,org.bytedeco.javacpp,javacpp-1.1\src\test\java\org\bytedeco\javacpp\AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.1,10/25/2015
18,CS18,UnusedDeclaration,,createSharedData,AdapterTest,org.bytedeco.javacpp,javacpp-1.1\src\test\java\org\bytedeco\javacpp\AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.1,10/25/2015
