Id_Table,ID,Name,Variable,Method,Class,Package,File Path,File Name,System,Version,Release
1,CS1,UnusedDeclaration,,totalCores,Loader,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/Loader.java,Loader.java,javacpp,javacpp-1.3.2,3/10/2017
2,CS2,UnusedDeclaration,,put,SizeTPointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/SizeTPointer.java,SizeTPointer.java,javacpp,javacpp-1.3.2,3/10/2017
3,CS3,UnusedDeclaration,,totalPhysicalBytes,Pointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3.2,3/10/2017
4,CS4,UnusedDeclaration,,fetchSharedData,AdapterTest,org.bytedeco.javacpp,javacpp-1.3.2/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.3.2,3/10/2017
5,CS5,UnusedDeclaration,,strncat,BytePointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3.2,3/10/2017
6,CS6,UnusedDeclaration,,createUniqueData,AdapterTest,org.bytedeco.javacpp,javacpp-1.3.2/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.3.2,3/10/2017
7,CS7,UnusedDeclaration,,availablePhysicalBytes,Pointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3.2,3/10/2017
8,CS8,UnusedDeclaration,,storeSharedData,AdapterTest,org.bytedeco.javacpp,javacpp-1.3.2/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.3.2,3/10/2017
9,CS9,UnusedDeclaration,,strtok,BytePointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3.2,3/10/2017
10,CS10,UnusedDeclaration,,data,AdapterTest,org.bytedeco.javacpp,javacpp-1.3.2/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.3.2,3/10/2017
11,CS11,UnusedDeclaration,,testStdVectorByVal,AdapterTest,org.bytedeco.javacpp,javacpp-1.3.2/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.3.2,3/10/2017
12,CS12,UnusedDeclaration,,memset,Pointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3.2,3/10/2017
13,CS13,UnusedDeclaration,,strncmp,BytePointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3.2,3/10/2017
14,CS14,UnusedDeclaration,,memcpy,Pointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3.2,3/10/2017
15,CS15,UnusedDeclaration,,testStdVectorByPtr,AdapterTest,org.bytedeco.javacpp,javacpp-1.3.2/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.3.2,3/10/2017
