Id_Table,ID,Name,Variable,Method,Class,Package,File Path,File Name,System,Version,Release
1,CS1,UnusedDeclaration,,strpbrk,BytePointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3,12/7/2016
2,CS2,UnusedDeclaration,,put,SizeTPointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/SizeTPointer.java,SizeTPointer.java,javacpp,javacpp-1.3,12/7/2016
3,CS3,UnusedDeclaration,,allocate,Pointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3,12/7/2016
4,CS4,UnusedDeclaration,,fetchSharedData,AdapterTest,org.bytedeco.javacpp,javacpp-1.3/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.3,12/7/2016
5,CS5,UnusedDeclaration,,strncat,BytePointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3,12/7/2016
6,CS6,UnusedDeclaration,,allocateArray,SizeTPointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/SizeTPointer.java,SizeTPointer.java,javacpp,javacpp-1.3,12/7/2016
7,CS7,UnusedDeclaration,,free,Pointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3,12/7/2016
8,CS8,UnusedDeclaration,,strchr,BytePointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3,12/7/2016
9,CS9,UnusedDeclaration,,createUniqueData,AdapterTest,org.bytedeco.javacpp,javacpp-1.3/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.3,12/7/2016
10,CS10,UnusedDeclaration,,storeSharedData,AdapterTest,org.bytedeco.javacpp,javacpp-1.3/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.3,12/7/2016
11,CS11,UnusedDeclaration,,strtok,BytePointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3,12/7/2016
