Id_Table,ID,Name,Variable,Method,Class,Package,File Path,File Name,System,Version,Release
1,CS1,UnusedDeclaration,,trimMemory,Pointer,org.bytedeco.javacpp,javacpp-master/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.5.1-1,9/5/2019
2,CS2,UnusedDeclaration,,totalCores,Loader,org.bytedeco.javacpp,javacpp-master/src/main/java/org/bytedeco/javacpp/Loader.java,Loader.java,javacpp,javacpp-1.5.1-1,9/5/2019
3,CS3,UnusedDeclaration,,put,SizeTPointer,org.bytedeco.javacpp,javacpp-master/src/main/java/org/bytedeco/javacpp/SizeTPointer.java,SizeTPointer.java,javacpp,javacpp-1.5.1-1,9/5/2019
4,CS4,UnusedDeclaration,,totalPhysicalBytes,Pointer,org.bytedeco.javacpp,javacpp-master/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.5.1-1,9/5/2019
5,CS5,UnusedDeclaration,,putChar,BytePointer,org.bytedeco.javacpp,javacpp-master/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.5.1-1,9/5/2019
6,CS6,UnusedDeclaration,,fetchSharedData,AdapterTest,org.bytedeco.javacpp,javacpp-master/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.5.1-1,9/5/2019
7,CS7,UnusedDeclaration,,strncat,BytePointer,org.bytedeco.javacpp,javacpp-master/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.5.1-1,9/5/2019
8,CS8,UnusedDeclaration,,createUniqueData,AdapterTest,org.bytedeco.javacpp,javacpp-master/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.5.1-1,9/5/2019
9,CS9,UnusedDeclaration,,availablePhysicalBytes,Pointer,org.bytedeco.javacpp,javacpp-master/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.5.1-1,9/5/2019
10,CS10,UnusedDeclaration,,storeSharedData,AdapterTest,org.bytedeco.javacpp,javacpp-master/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.5.1-1,9/5/2019
