Id_Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
1,CS1,MemoryManagementMismatch,StringUTFChars,JNI_getStringUTFChars,,,pljava-1_2_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_2_0,11/20/2005
2,CS2,MemoryManagementMismatch,ByteArrayElements,JNI_getByteArrayElements,,,pljava-1_2_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_2_0,11/20/2005
3,CS3,MemoryManagementMismatch,IntArrayElements,JNI_getIntArrayElements,,,pljava-1_2_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_2_0,11/20/2005
4,CS4,NotHandlingExceptions,className,JNI_findClass,,,pljava-1_2_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_2_0,11/20/2005
5,CS5,NotHandlingExceptions,name,JNI_getMethodID,,,pljava-1_2_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_2_0,11/20/2005
6,CS6,NotHandlingExceptions,name,JNI_getStaticMethodIDOrNull,,,pljava-1_2_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_2_0,11/20/2005
7,CS7,NotHandlingExceptions,name,JNI_getFieldID,,,pljava-1_2_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_2_0,11/20/2005
8,CS8,NotHandlingExceptions,name,JNI_getStaticMethodID,,,pljava-1_2_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_2_0,11/20/2005
9,CS9,NotHandlingExceptions,name,JNI_getStaticFieldID,,,pljava-1_2_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_2_0,11/20/2005
10,CS10,UnusedDeclaration,,_isFiredByInsert,TriggerData,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_2_0,11/20/2005
11,CS11,UnusedDeclaration,,_getInternalPos,ErrorData,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_2_0,11/20/2005
12,CS12,UnusedDeclaration,,_formTuple,TupleDesc,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-1_2_0,11/20/2005
13,CS13,UnusedDeclaration,,_isFiredAfter,TriggerData,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_2_0,11/20/2005
14,CS14,UnusedDeclaration,,_getFuncname,ErrorData,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_2_0,11/20/2005
15,CS15,UnusedDeclaration,,_isFiredByDelete,TriggerData,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_2_0,11/20/2005
16,CS16,UnusedDeclaration,,_getRelation,TriggerData,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_2_0,11/20/2005
17,CS17,UnusedDeclaration,,_free,TriggerData,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_2_0,11/20/2005
18,CS18,UnusedDeclaration,,_getNestingLevel,Invocation,org.postgresql.pljava.jdbc,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/jdbc/Invocation.java,Invocation.java,pljava,pljava-1_2_0,11/20/2005
19,CS19,UnusedDeclaration,,_getSessionUser,AclId,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-1_2_0,11/20/2005
20,CS20,UnusedDeclaration,,_exec,SPI,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/SPI.java,SPI.java,pljava,pljava-1_2_0,11/20/2005
21,CS21,UnusedDeclaration,,_fetch,Portal,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-1_2_0,11/20/2005
22,CS22,UnusedDeclaration,,_getOid,TupleDesc,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-1_2_0,11/20/2005
23,CS23,UnusedDeclaration,,_isShowFuncname,ErrorData,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_2_0,11/20/2005
24,CS24,UnusedDeclaration,,_getResult,SPI,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/SPI.java,SPI.java,pljava,pljava-1_2_0,11/20/2005
25,CS25,UnusedDeclaration,,_cursorOpen,ExecutionPlan,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/ExecutionPlan.java,ExecutionPlan.java,pljava,pljava-1_2_0,11/20/2005
26,CS26,UnusedDeclaration,,_release,PgSavepoint,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/PgSavepoint.java,PgSavepoint.java,pljava,pljava-1_2_0,11/20/2005
27,CS27,UnusedDeclaration,,_getUser,AclId,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-1_2_0,11/20/2005
28,CS28,UnusedDeclaration,,_hasSchemaCreatePermission,AclId,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-1_2_0,11/20/2005
29,CS29,UnusedDeclaration,,_getSavedErrno,ErrorData,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_2_0,11/20/2005
30,CS30,UnusedDeclaration,,_read,LargeObject,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/LargeObject.java,LargeObject.java,pljava,pljava-1_2_0,11/20/2005
31,CS31,UnusedDeclaration,,_modifyTuple,Relation,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/Relation.java,Relation.java,pljava,pljava-1_2_0,11/20/2005
32,CS32,UnusedDeclaration,,_open,LargeObject,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/LargeObject.java,LargeObject.java,pljava,pljava-1_2_0,11/20/2005
33,CS33,UnusedDeclaration,,_isSuperuser,AclId,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-1_2_0,11/20/2005
34,CS34,UnusedDeclaration,,_getColumnName,TupleDesc,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-1_2_0,11/20/2005
35,CS35,UnusedDeclaration,,_isAtEnd,Portal,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-1_2_0,11/20/2005
36,CS36,UnusedDeclaration,,_isFiredByUpdate,TriggerData,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_2_0,11/20/2005
37,CS37,UnusedDeclaration,,_length,LargeObject,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/LargeObject.java,LargeObject.java,pljava,pljava-1_2_0,11/20/2005
38,CS38,UnusedDeclaration,,_set,PgSavepoint,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/PgSavepoint.java,PgSavepoint.java,pljava,pljava-1_2_0,11/20/2005
39,CS39,UnusedDeclaration,,_unregister,XactListener,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/XactListener.java,XactListener.java,pljava,pljava-1_2_0,11/20/2005
40,CS40,UnusedDeclaration,,_drop,LargeObject,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/LargeObject.java,LargeObject.java,pljava,pljava-1_2_0,11/20/2005
41,CS41,UnusedDeclaration,,_forSqlType,Oid,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/Oid.java,Oid.java,pljava,pljava-1_2_0,11/20/2005
42,CS42,UnusedDeclaration,,_getSqlState,ErrorData,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_2_0,11/20/2005
43,CS43,UnusedDeclaration,,_getCurrent,Invocation,org.postgresql.pljava.jdbc,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/jdbc/Invocation.java,Invocation.java,pljava,pljava-1_2_0,11/20/2005
44,CS44,UnusedDeclaration,,_register,XactListener,org.postgresql.pljava.internal,pljava-1_2_0/src/java/pljava/org/postgresql/pljava/internal/XactListener.java,XactListener.java,pljava,pljava-1_2_0,11/20/2005
