Id_Table,ID,Name,Variable,Method,Class,Package,File Path,File Name,System,Version,Release
1,CS1,MemoryManagementMismatch,ShortArrayElements,JNI_getShortArrayElements,,,pljava-1_5_0/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-1_5_0,3/29/2016
2,CS2,MemoryManagementMismatch,DoubleArrayElements,JNI_getDoubleArrayElements,,,pljava-1_5_0/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-1_5_0,3/29/2016
3,CS3,MemoryManagementMismatch,StringUTFChars,JNI_getStringUTFChars,,,pljava-1_5_0/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-1_5_0,3/29/2016
4,CS4,MemoryManagementMismatch,BooleanArrayElements,JNI_getBooleanArrayElements,,,pljava-1_5_0/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-1_5_0,3/29/2016
5,CS5,MemoryManagementMismatch,FloatArrayElements,JNI_getFloatArrayElements,,,pljava-1_5_0/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-1_5_0,3/29/2016
6,CS6,MemoryManagementMismatch,ByteArrayElements,JNI_getByteArrayElements,,,pljava-1_5_0/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-1_5_0,3/29/2016
7,CS7,MemoryManagementMismatch,IntArrayElements,JNI_getIntArrayElements,,,pljava-1_5_0/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-1_5_0,3/29/2016
8,CS8,MemoryManagementMismatch,LongArrayElements,JNI_getLongArrayElements,,,pljava-1_5_0/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-1_5_0,3/29/2016
9,CS9,NotHandlingExceptions,className,JNI_findClass,,,pljava-1_5_0/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-1_5_0,3/29/2016
10,CS10,NotHandlingExceptions,name,JNI_getMethodID,,,pljava-1_5_0/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-1_5_0,3/29/2016
11,CS11,NotHandlingExceptions,name,JNI_getStaticMethodIDOrNull,,,pljava-1_5_0/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-1_5_0,3/29/2016
12,CS12,NotHandlingExceptions,name,JNI_getFieldID,,,pljava-1_5_0/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-1_5_0,3/29/2016
13,CS13,NotHandlingExceptions,name,JNI_getStaticMethodID,,,pljava-1_5_0/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-1_5_0,3/29/2016
14,CS14,NotHandlingExceptions,name,JNI_getStaticFieldID,,,pljava-1_5_0/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-1_5_0,3/29/2016
15,CS15,UnusedDeclaration,,_isFiredByInsert,TriggerData,org.postgresql.pljava.internal,pljava-1_5_0/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_5_0,3/29/2016
16,CS16,UnusedDeclaration,,_getInternalPos,ErrorData,org.postgresql.pljava.internal,pljava-1_5_0/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_5_0,3/29/2016
17,CS17,UnusedDeclaration,,_formTuple,TupleDesc,org.postgresql.pljava.internal,pljava-1_5_0/pljava/src/main/java/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-1_5_0,3/29/2016
18,CS18,UnusedDeclaration,,_isFiredAfter,TriggerData,org.postgresql.pljava.internal,pljava-1_5_0/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_5_0,3/29/2016
19,CS19,UnusedDeclaration,,_getFuncname,ErrorData,org.postgresql.pljava.internal,pljava-1_5_0/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_5_0,3/29/2016
20,CS20,UnusedDeclaration,,_isFiredByDelete,TriggerData,org.postgresql.pljava.internal,pljava-1_5_0/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_5_0,3/29/2016
21,CS21,UnusedDeclaration,,_getRelation,TriggerData,org.postgresql.pljava.internal,pljava-1_5_0/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_5_0,3/29/2016
