Id-Table,ID,Name,Variable,Method,Class,Package,File Path,File Name,System,Version,Release
1,CS1,MemoryManagementMismatch,ShortArrayElements,JNI_getShortArrayElements,,,pljava-REL1_5_STABLE-BASE/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
2,CS2,MemoryManagementMismatch,DoubleArrayElements,JNI_getDoubleArrayElements,,,pljava-REL1_5_STABLE-BASE/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
3,CS3,MemoryManagementMismatch,StringUTFChars,JNI_getStringUTFChars,,,pljava-REL1_5_STABLE-BASE/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
4,CS4,MemoryManagementMismatch,BooleanArrayElements,JNI_getBooleanArrayElements,,,pljava-REL1_5_STABLE-BASE/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
5,CS5,MemoryManagementMismatch,FloatArrayElements,JNI_getFloatArrayElements,,,pljava-REL1_5_STABLE-BASE/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
6,CS6,MemoryManagementMismatch,ByteArrayElements,JNI_getByteArrayElements,,,pljava-REL1_5_STABLE-BASE/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
7,CS7,MemoryManagementMismatch,IntArrayElements,JNI_getIntArrayElements,,,pljava-REL1_5_STABLE-BASE/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
8,CS8,MemoryManagementMismatch,LongArrayElements,JNI_getLongArrayElements,,,pljava-REL1_5_STABLE-BASE/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
9,CS9,NotHandlingExceptions,className,JNI_findClass,,,pljava-REL1_5_STABLE-BASE/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
10,CS10,NotHandlingExceptions,name,JNI_getMethodID,,,pljava-REL1_5_STABLE-BASE/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
11,CS11,NotHandlingExceptions,name,JNI_getStaticMethodIDOrNull,,,pljava-REL1_5_STABLE-BASE/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
12,CS12,NotHandlingExceptions,name,JNI_getFieldID,,,pljava-REL1_5_STABLE-BASE/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
13,CS13,NotHandlingExceptions,name,JNI_getStaticMethodID,,,pljava-REL1_5_STABLE-BASE/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
14,CS14,NotHandlingExceptions,name,JNI_getStaticFieldID,,,pljava-REL1_5_STABLE-BASE/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
15,CS15,UnusedDeclaration,,_isFiredByInsert,TriggerData,org.postgresql.pljava.internal,pljava-REL1_5_STABLE-BASE/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
16,CS16,UnusedDeclaration,,_getInternalPos,ErrorData,org.postgresql.pljava.internal,pljava-REL1_5_STABLE-BASE/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
17,CS17,UnusedDeclaration,,_formTuple,TupleDesc,org.postgresql.pljava.internal,pljava-REL1_5_STABLE-BASE/pljava/src/main/java/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
18,CS18,UnusedDeclaration,,_isFiredAfter,TriggerData,org.postgresql.pljava.internal,pljava-REL1_5_STABLE-BASE/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
19,CS19,UnusedDeclaration,,_getFuncname,ErrorData,org.postgresql.pljava.internal,pljava-REL1_5_STABLE-BASE/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
20,CS20,UnusedDeclaration,,_isFiredByDelete,TriggerData,org.postgresql.pljava.internal,pljava-REL1_5_STABLE-BASE/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
21,CS21,UnusedDeclaration,,_getRelation,TriggerData,org.postgresql.pljava.internal,pljava-REL1_5_STABLE-BASE/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
22,CS22,UnusedDeclaration,,_free,TriggerData,org.postgresql.pljava.internal,pljava-REL1_5_STABLE-BASE/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
23,CS23,UnusedDeclaration,,_getNestingLevel,Invocation,org.postgresql.pljava.jdbc,pljava-REL1_5_STABLE-BASE/pljava/src/main/java/org/postgresql/pljava/jdbc/Invocation.java,Invocation.java,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
24,CS24,UnusedDeclaration,,_exec,SPI,org.postgresql.pljava.internal,pljava-REL1_5_STABLE-BASE/pljava/src/main/java/org/postgresql/pljava/internal/SPI.java,SPI.java,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
25,CS25,UnusedDeclaration,,_fetch,Portal,org.postgresql.pljava.internal,pljava-REL1_5_STABLE-BASE/pljava/src/main/java/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
26,CS26,UnusedDeclaration,,_fromName,AclId,org.postgresql.pljava.internal,pljava-REL1_5_STABLE-BASE/pljava/src/main/java/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
27,CS27,UnusedDeclaration,,_getOid,TupleDesc,org.postgresql.pljava.internal,pljava-REL1_5_STABLE-BASE/pljava/src/main/java/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-REL1_5_STABLE-BASE,01/31/2016
