Id-Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
1,CS1,MemoryManagementMismatch,ShortArrayElements,JNI_getShortArrayElements,,,pljava-master/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-master,3/19/2019
2,CS2,MemoryManagementMismatch,DoubleArrayElements,JNI_getDoubleArrayElements,,,pljava-master/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-master,3/19/2019
3,CS3,MemoryManagementMismatch,StringUTFChars,JNI_getStringUTFChars,,,pljava-master/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-master,3/19/2019
4,CS4,MemoryManagementMismatch,BooleanArrayElements,JNI_getBooleanArrayElements,,,pljava-master/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-master,3/19/2019
5,CS5,MemoryManagementMismatch,FloatArrayElements,JNI_getFloatArrayElements,,,pljava-master/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-master,3/19/2019
6,CS6,MemoryManagementMismatch,ByteArrayElements,JNI_getByteArrayElements,,,pljava-master/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-master,3/19/2019
7,CS7,MemoryManagementMismatch,IntArrayElements,JNI_getIntArrayElements,,,pljava-master/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-master,3/19/2019
8,CS8,MemoryManagementMismatch,LongArrayElements,JNI_getLongArrayElements,,,pljava-master/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-master,3/19/2019
9,CS9,NotHandlingExceptions,className,JNI_findClass,,,pljava-master/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-master,3/19/2019
10,CS10,NotHandlingExceptions,name,JNI_getMethodID,,,pljava-master/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-master,3/19/2019
11,CS11,NotHandlingExceptions,name,JNI_getStaticMethodIDOrNull,,,pljava-master/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-master,3/19/2019
12,CS12,NotHandlingExceptions,name,JNI_getFieldID,,,pljava-master/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-master,3/19/2019
13,CS13,NotHandlingExceptions,name,JNI_getStaticMethodID,,,pljava-master/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-master,3/19/2019
14,CS14,NotHandlingExceptions,name,JNI_getStaticFieldID,,,pljava-master/pljava-so/src/main/c/JNICalls.c,JNICalls.c,pljava,pljava-master,3/19/2019
15,CS15,UnusedDeclaration,,_isFiredByInsert,TriggerData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-master,3/19/2019
16,CS16,UnusedDeclaration,,_spiCursorClose,DualState<T>,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/DualState.java,DualState.java,pljava,pljava-master,3/19/2019
17,CS17,UnusedDeclaration,,_getInternalPos,ErrorData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-master,3/19/2019
18,CS18,UnusedDeclaration,,_formTuple,TupleDesc,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-master,3/19/2019
19,CS19,UnusedDeclaration,,_isFiredAfter,TriggerData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-master,3/19/2019
20,CS20,UnusedDeclaration,,_getFuncname,ErrorData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-master,3/19/2019
