Id_Table,ID,Name,Variable,Method,Class,Package,File Path,File Name,System,Version,Release
1,CS1,AssumingSafeMultiLanguageReturnValues,java/lang/String,devices,,,vlc-android-3.0.92/medialibrary/jni/medialibrary.cpp,medialibrary.cpp,vlc-android,vlc-android-3.0.92,12/18/2018
2,CS2,AssumingSafeMultiLanguageReturnValues,java/lang/String,entryPoints,,,vlc-android-3.0.92/medialibrary/jni/medialibrary.cpp,medialibrary.cpp,vlc-android,vlc-android-3.0.92,12/18/2018
3,CS3,NotHandlingExceptions,java/lang/String,devices,,,vlc-android-3.0.92/medialibrary/jni/medialibrary.cpp,medialibrary.cpp,vlc-android,vlc-android-3.0.92,12/18/2018
4,CS4,NotHandlingExceptions,java/lang/String,entryPoints,,,vlc-android-3.0.92/medialibrary/jni/medialibrary.cpp,medialibrary.cpp,vlc-android,vlc-android-3.0.92,12/18/2018
5,CS5,LocalReferencesAbuse,strings[i],Java_org_videolan_libvlc_LibVLC_nativeNew,,,vlc-android-3.0.92/libvlc/jni/libvlcjni.c,libvlcjni.c,vlc-android,vlc-android-3.0.92,12/18/2018
6,CS6,UnusedDeclaration,,nativeGetPagedArtists,Medialibrary,org.videolan.medialibrary,vlc-android-3.0.92/medialibrary/src/org/videolan/medialibrary/Medialibrary.java,Medialibrary.java,vlc-android,vlc-android-3.0.92,12/18/2018
7,CS7,UnusedDeclaration,,nativeGetRecentVideos,Medialibrary,org.videolan.medialibrary,vlc-android-3.0.92/medialibrary/src/org/videolan/medialibrary/Medialibrary.java,Medialibrary.java,vlc-android,vlc-android-3.0.92,12/18/2018
8,CS8,UnusedDeclaration,,nativeUnbanFolder,Medialibrary,org.videolan.medialibrary,vlc-android-3.0.92/medialibrary/src/org/videolan/medialibrary/Medialibrary.java,Medialibrary.java,vlc-android,vlc-android-3.0.92,12/18/2018
9,CS9,UnusedDeclaration,,nativeSearchPagedMedia,Medialibrary,org.videolan.medialibrary,vlc-android-3.0.92/medialibrary/src/org/videolan/medialibrary/Medialibrary.java,Medialibrary.java,vlc-android,vlc-android-3.0.92,12/18/2018
10,CS10,UnusedDeclaration,,nativeSearchPlaylist,Medialibrary,org.videolan.medialibrary,vlc-android-3.0.92/medialibrary/src/org/videolan/medialibrary/Medialibrary.java,Medialibrary.java,vlc-android,vlc-android-3.0.92,12/18/2018
11,CS11,UnusedDeclaration,,nativeGetFolders,Medialibrary,org.videolan.medialibrary,vlc-android-3.0.92/medialibrary/src/org/videolan/medialibrary/Medialibrary.java,Medialibrary.java,vlc-android,vlc-android-3.0.92,12/18/2018
