system;version;release;FileName;JNINativeFlag;Smelly;excessiveInterlangCommunication;Toomuchclustring;ToomuchScattering;UnusedMethodDeclaration;UnusedMethodImplementation;UnusedParameter;AssumingSafeReturnValue;ExcessiveObjects;NotHandlingExceptions;NotCachingObjects;NotSecuringLibraries;HardCodingLibraries;NotUsingRelativePath;MemoryManagementMismatch;LocalReferencesAbuse;CLOC;PrevFixing;CodeChurn;InducingFlag;Inducing;LOC
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;android-stub/src/main/java/com/android/org/conscrypt/OpenSSLSocketImpl.java;1;1;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;1;3;278
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;android-stub/src/main/java/dalvik/system/BlockGuard.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;android-stub/src/main/java/dalvik/system/CloseGuard.java;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;android-stub/src/main/java/javax/net/ssl/ExtendedSSLSession.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;android-stub/src/main/java/javax/net/ssl/SNIHostName.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;android-stub/src/main/java/org/apache/harmony/xnet/provider/jsse/NativeCrypto.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4147;1;10;1;2;56
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;android-stub/src/main/java/org/apache/harmony/xnet/provider/jsse/OpenSSLSocketImpl.java;1;1;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;1;1;279
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;android/src/main/java/org/conscrypt/KitKatPlatformOpenSSLSocketImplAdapter.java;1;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1788;1;0;1;1;454
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;android/src/main/java/org/conscrypt/NativeCryptoJni.java;1;1;0;0;0;0;0;0;0;0;0;0;3;0;6;0;0;0;0;0;0;0;35
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;android/src/main/java/org/conscrypt/Platform.java;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;23459;18;433;1;21;835
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;android/src/main/java/org/conscrypt/PreKitKatPlatformOpenSSLSocketAdapterFactory.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;android/src/main/java/org/conscrypt/PreKitKatPlatformOpenSSLSocketImplAdapter.java;1;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1788;1;0;1;1;454
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;api-doclet/src/main/java/org/conscrypt/doclet/FilterDoclet.java;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;benchmark-android/src/main/java/org/conscrypt/AndroidEngineFactory.java;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1875;3;6;1;2;80
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;benchmark-android/src/main/java/org/conscrypt/CaliperAlpnBenchmark.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;benchmark-android/src/main/java/org/conscrypt/CaliperClientSocketBenchmark.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89
