Dominant Topic,Topics,System,message
Data conversion,Data conversion,ztd-jni,"Fix all -Xcheck=jni warnings

Also add tests to validate that we produce the same
bytestream as the zstd binary at different levels (1,3,6,9)/"
,,ztd-jni,Zstd v0.4.4/
,,ztd-jni,Rebase it on top of zstd v0.2.1/
Restructuring the code,"Compression tasks, Restructuring the code",ztd-jni,"Reorder the static methods, All compression first then all decompression
then the rest, inputs checking + utility methods"
Data conversion,Data conversion,ztd-jni,"Fix the 32bit compatibility

We need to double cast the jlongs (always 64 bits)
through size_t (equals to pointer size) in order to
be able to cast it then as a pointer. Else we get
compiler warnings./"
,,ztd-jni,Upgrade to Zstd-0.4.0/
Compression tasks,Compression tasks,ztd-jni,Zstd 0.3 - add compression using HC variant/
Performance management,Performance management,ztd-jni,Concurrency fix/
,,ztd-jni,Zstd-0.4.1 and performance test in streaming mode/
,,ztd-jni,fix buffer sizes/
Performance management,Performance management,ztd-jni,"Use JNI_ABORT on releasing the source buffer critical

It is more clear that the source is not modified/"
Compression tasks,Compression tasks,ztd-jni,"Add support for InputStream.read()

FilterInputStream forwards read() directly to the underlying stream,
bypassing Zstd entirely.
compression decompression
Extend tests to exercise this for the first byte read in a few test
cases./"
,,ztd-jni,Add decompression support for the legacy v04 format/
API Management,API Management,ztd-jni,Move to the new streaming API/
,,ztd-jni,adding support for legacy dictionary trainer
,,ztd-jni,"Align the JNI names with the new streaming API, Move to the new streaming API, Use the ZBUFF based streaming compression"
,,ztd-jni,Zstd-0.7.4/
API Management,API Management,ztd-jni,"Finish the move to the new Zstd streaming API

On the decoding size we have gained ability to decode
multiple frames but we have lost:

- support for legacy formats bu it will be restored with
  zstd-1.0.0

- support for decoding un-finished streams, we have to
  figure out how it will play out with the multi-frame
  support./"
Compression tasks,Compression tasks,ztd-jni,"Add Java wrappers and C implementations of compress/decompress using direct ByteBuffer
compression decompression
The wrappers work a bit differently than the ones that operate on byte[] due to the different semantics of ByteBuffer.  I've tried to make this implementation operate on the position(), capacity(), and limit() properties of the buffers in the idiomatic way./"
API Management,"API Management, Compression tasks",ztd-jni,Align the JNI names with the new streaming API/
,,ztd-jni,"Use the ZBUFF based streaming compression

It simplifies the whole interaction as the zstd is taking
care of the buffers, blocks and allignments so we don't have
to know anything about its internals./"
Compression tasks,Compression tasks,ztd-jni,Zstd-1.1.0 update/
,,ztd-jni,"Make the continuous decompression a property if ZstdInputStream/Zstd streaming decompression done

Ignore the read size hints and read all the available
input up to ZSTD_DStreamInSize. This will handle when
when read hint = 1 that is ambigous (could mean read 1
byte or don't read, we have more data in the output
buffer.

This will also handle the skippable frames corner case
that was not handled correctly previously./"
,,ztd-jni,"Cleanup the streaming decompression

We still have to fix the first read size magic number./"
